param_07,param_08,drama_id,param_03,param_01,command_id,param_02,command_type,param_05,param_06,param_04
0,omp_talk_worry,1,1500,1,1010001,112511,1,-190,1.8,-140
1,omp_idle_normal,1,1500,1,1010002,112411,1,-190,1.8,140
"","",1,0,1,1010003,1,31,1,1,0
"","",1,"",1,1010004,"",93,"","",""
"","",1,0,vo_omp_7001,1010005,vo_omp_7001_000,21,"","",0
"","",1,10,112511,1010006,"우즈키, 괜찮아?\n야영이 계속돼서 피곤하지 않아?",11,1,"",1
"","",1,"",0,1010007,"",91,"","",""
"","",1,1,112511,1010008,omp_idle_worry,3,"",0,""
"","",1,1,112411,1010009,omp_talk_joy1,3,"",0,""
"","",1,0,vo_omp_7001,1010010,vo_omp_7001_001,21,"","",0
"","",1,10,112411,1010011,"네, 괜찮아요!\n모두와 함께 여행하는 거\n굉장히 즐거우니까요",11,1,"",1
"","",1,"",0,1010012,"",91,"","",""
"","",1,1,112411,1010013,omp_psn_20,3,"",0,""
"","",1,1,112511,1010014,omp_talk_normal,3,"",0,""
"","",1,0,vo_omp_7001,1010015,vo_omp_7001_002,21,"","",0
"","",1,10,112511,1010016,"그래\n우즈키는 어떤 때라도 즐거워 보여",11,1,"",1
"","",1,"",0,1010017,"",91,"","",""
"","",1,1,112511,1010018,omp_idle_normal,3,"",0,""
"","",1,1,112411,1010019,omp_talk_sad,3,"",0,""
"","",1,0,vo_omp_7001,1010020,vo_omp_7001_003,21,"","",0
"","",1,10,112411,1010021,"혹시…\n린은 즐겁지 않나요? ",11,1,"",1
"","",1,"",0,1010022,"",91,"","",""
"","",1,1,112411,1010023,omp_idle_sad,3,"",0,""
0.1,"",1,0,112511,1010024,omp_surprise,3,1,0,omp_idle_surprise1
"","",1,0,vo_omp_7001,1010025,vo_omp_7001_004,21,"","",0
"","",1,10,112511,1010026,"엇? 어째서?\n그렇지 않아\n나도… 엄청 즐거워",11,1,"",1
"","",1,"",2.5,1010027,1,93,"","",""
