branch_id_5,event_group,drama_type,chest_id,branch_id_2,zoom_offset_y,pattern,branch_id_1,top_icon_type,main_drama_id,branch_id_4,pre_drama_id,zoom_offset_x,top_event_id,branch_id_3
0,2,1,40001,0,7,1,0,1,20012,0,20011,0,2001,0
0,2,1,40001,0,7,1,0,1,20022,0,20021,0,2002,0
0,2,1,40001,0,7,1,0,1,20032,0,20031,0,2003,0
0,2,1,40001,0,7,1,0,1,20042,0,20041,0,2004,0
0,2,1,40001,0,7,1,0,1,20052,0,20051,0,2005,0
0,2,1,40001,0,7,1,0,1,20062,0,20061,0,2006,0
0,2,1,40001,0,7,1,0,1,20072,0,20071,0,2007,0
0,2,1,40001,0,7,1,0,1,20082,0,20081,0,2008,0
0,2,1,40001,0,7,1,0,1,20092,0,20091,0,2009,0
0,2,1,40001,0,7,1,0,1,20102,0,20101,0,2010,0
0,2,1,40001,0,7,1,0,1,20112,0,20111,0,2011,0
0,2,1,40001,0,7,1,0,1,20122,0,20121,0,2012,0
0,2,1,40001,0,7,1,0,1,20132,0,20131,0,2013,0
0,2,1,40001,0,7,1,0,1,20142,0,20141,0,2014,0
0,2,1,40001,0,7,1,0,1,20152,0,20151,0,2015,0
0,2,1,40001,0,7,1,0,1,20162,0,20161,0,2016,0
0,2,1,40001,0,7,1,0,1,20172,0,20171,0,2017,0
0,2,1,40001,0,7,1,0,1,20182,0,20181,0,2018,0
0,2,1,40001,0,7,1,0,1,20192,0,20191,0,2019,0
0,2,1,40001,0,7,1,0,1,20202,0,20201,0,2020,0
0,2,1,40001,0,7,1,0,1,20212,0,20211,0,2021,0
0,2,1,40001,0,7,1,0,1,20222,0,20221,0,2022,0
0,2,1,40001,0,7,1,0,1,20232,0,20231,0,2023,0
0,2,1,40001,0,7,1,0,1,20242,0,20241,0,2024,0
0,2,1,40001,0,7,1,0,1,20252,0,20251,0,2025,0
0,2,1,40001,0,7,1,0,1,20262,0,20261,0,2026,0
0,2,1,40001,0,7,1,0,1,20272,0,20271,0,2027,0
0,2,1,40001,0,7,1,0,1,20282,0,20281,0,2028,0
0,1,1,40001,0,7,1,0,1,30012,0,30011,40,3001,0
0,1,1,40001,0,7,5,0,1,30022,0,30021,40,3002,0
0,1,1,40001,0,7,6,0,1,30032,0,30031,40,3003,0
0,1,1,40001,0,0,6,0,2,30042,0,30041,-58,3004,0
0,1,1,40001,0,-20,1,0,1,30052,0,30051,-42,3005,0
0,1,1,40001,0,-20,5,0,1,30062,0,30061,-42,3006,0
0,1,1,40001,0,40,1,0,1,30072,0,30071,0,3007,0
0,1,1,40001,0,40,5,0,1,30082,0,30081,0,3008,0
0,1,1,40001,0,40,6,0,1,30092,0,30091,0,3009,0
0,1,2,40001,0,0,1,0,1,40012,0,40011,0,4001,0
0,1,2,40001,0,0,5,0,1,40022,0,40021,0,4002,0
0,1,2,40001,0,0,1,0,1,40052,0,40051,0,4005,0
0,1,2,40001,0,0,5,0,1,40062,0,40061,0,4006,0
0,1,2,40001,0,0,6,0,2,40072,0,40071,0,4007,0
0,1,2,40004,0,0,6,0,2,40092,0,40091,0,4009,0
0,1,2,40004,0,0,1,0,1,40102,0,40101,0,4010,0
0,1,2,40004,0,0,5,0,1,40112,0,40111,0,4011,0
0,1,2,40001,0,0,6,0,1,40122,0,40121,0,4012,0
0,1,2,40004,0,0,1,0,1,40132,0,40131,0,4013,0
0,1,2,40004,0,0,5,0,1,40142,0,40141,0,4014,0
0,1,2,40001,0,0,6,0,1,40152,0,40151,0,4015,0
0,1,2,40004,0,0,1,0,1,40162,0,40161,0,4016,0
0,1,2,40004,0,0,5,0,1,40172,0,40171,0,4017,0
0,1,2,40001,0,0,6,0,1,40182,0,40181,0,4018,0
