boss_ticket_id,unit_material_id_1,unit_material_id_6,gacha_ticket_id,event_id,unit_material_id_3,unit_material_id_4,unit_material_id_8,unit_material_id_9,unit_material_id_2,unit_material_id_5,unit_material_id_10,unit_material_id_7
60001,31012,0,60002,10001,0,0,0,0,31038,0,0,0
60011,31020,0,60012,10002,0,0,0,0,31004,0,0,0
60021,31010,0,60022,10003,0,0,0,0,31017,0,0,0
60031,31076,0,60032,10004,0,0,0,0,31028,0,0,0
60041,31080,0,60042,10005,0,0,0,0,31032,0,0,0
60051,31047,0,60052,10006,0,0,0,0,31034,0,0,0
60061,31082,0,60062,10007,0,0,0,0,31022,0,0,0
60071,31009,0,60072,10008,0,0,0,0,31051,0,0,0
60081,31085,0,60082,10009,0,0,0,0,31029,0,0,0
60091,31089,0,60092,10010,0,0,0,0,31002,0,0,0
60101,31090,0,60102,10011,0,0,0,0,31011,0,0,0
60111,31043,0,60112,10012,0,0,0,0,31008,0,0,0
60121,31093,0,60122,10013,0,0,0,0,31018,0,0,0
60131,31012,0,60132,10014,0,0,0,0,31038,0,0,0
60141,31053,0,60142,10015,0,0,0,0,31045,0,0,0
60151,31020,0,60152,10016,0,0,0,0,31004,0,0,0
60161,31098,0,60162,10017,0,0,0,0,31025,0,0,0
60171,31010,0,60172,10018,0,0,0,0,31017,0,0,0
60181,31101,0,60182,10019,0,0,0,0,31050,0,0,0
60191,31076,0,60192,10020,0,0,0,0,31028,0,0,0
60201,31105,0,60202,10021,0,0,0,0,31014,0,0,0
60211,31080,0,60212,10022,0,0,0,0,31032,0,0,0
60221,31056,0,60222,10023,0,0,0,0,31040,0,0,0
60231,31047,0,60232,10024,0,0,0,0,31034,0,0,0
60241,31112,0,60242,10025,0,0,0,0,31036,0,0,0
60251,31082,0,60252,10026,0,0,0,0,31022,0,0,0
60261,31037,0,60262,10027,0,0,0,0,31005,0,0,0
60271,31009,0,60272,10028,0,0,0,0,31051,0,0,0
60281,31116,0,60282,10029,0,0,0,0,31044,0,0,0
60291,31085,0,60292,10030,0,0,0,0,31029,0,0,0
60301,31121,0,60302,10031,0,0,0,0,31021,0,0,0
60311,31089,0,60312,10032,0,0,0,0,31002,0,0,0
60321,31123,0,60322,10033,0,0,0,0,31049,0,0,0
60331,31090,0,60332,10034,0,0,0,0,31011,0,0,0
60341,31126,0,60342,10035,0,0,0,0,31042,0,0,0
60341,31126,0,60342,10036,0,0,0,0,31042,0,0,0
60361,31043,0,60362,10037,0,0,0,0,31008,0,0,0
60371,31107,0,60372,10038,0,0,0,0,31046,0,0,0
60381,31093,0,60382,10039,0,0,0,0,31018,0,0,0
60391,31028,0,60392,10040,0,0,0,0,31033,0,0,0
60401,31053,0,60402,10041,0,0,0,0,31045,0,0,0
60411,31130,0,60412,10042,0,0,0,0,31065,0,0,0
60421,31101,0,60422,10043,0,0,0,0,31050,0,0,0
60431,31132,0,60432,10044,0,0,0,0,31027,0,0,0
60441,31105,0,60442,10045,0,0,0,0,31014,0,0,0
60451,31135,0,60452,10046,0,0,0,0,31023,0,0,0
60461,31056,0,60462,10047,0,0,0,0,31040,0,0,0
60471,31016,0,60472,10048,0,0,0,0,31013,0,0,0
60481,31112,0,60482,10049,0,0,0,0,31036,0,0,0
60491,31141,0,60492,10050,0,0,0,0,31054,0,0,0
60501,31037,0,60502,10051,0,0,0,0,31005,0,0,0
60511,31014,0,60512,10052,0,0,0,0,31037,0,0,0
60521,31098,0,60522,10053,0,0,0,0,31025,0,0,0
60531,31146,0,60532,10054,0,0,0,0,31048,0,0,0
60541,31116,0,60542,10055,0,0,0,0,31044,0,0,0
60551,31147,0,60552,10056,0,0,0,0,31060,0,0,0
60561,31121,0,60562,10057,0,0,0,0,31021,0,0,0
60571,31156,0,60572,10058,0,0,0,0,31003,0,0,0
60571,31156,0,60572,10059,0,0,0,0,31003,0,0,0
60591,31123,0,60592,10060,0,0,0,0,31049,0,0,0
60601,31158,0,60602,10061,0,0,0,0,31010,0,0,0
60611,31126,0,60612,10062,0,0,0,0,31042,0,0,0
60611,31126,0,60612,10063,0,0,0,0,31042,0,0,0
60631,31032,0,60632,10064,0,0,0,0,31031,0,0,0
60641,31107,0,60642,10065,0,0,0,0,31046,0,0,0
60651,31065,0,60652,10066,0,0,0,0,31015,0,0,0
60661,31028,0,60662,10067,0,0,0,0,31033,0,0,0
60671,31168,0,60672,10068,0,0,0,0,31040,0,0,0
60681,31130,0,60682,10069,0,0,0,0,31065,0,0,0
60691,31018,0,60692,10070,0,0,0,0,31050,0,0,0
60701,31132,0,60702,10071,0,0,0,0,31027,0,0,0
60711,31174,0,60712,10072,0,0,0,0,31109,0,0,0
60721,31135,0,60722,10073,0,0,0,0,31023,0,0,0
60731,31096,0,60732,10074,0,0,0,0,31051,0,0,0
60741,31016,0,60742,10075,0,0,0,0,31013,0,0,0
60751,31178,0,60752,10076,0,0,0,0,31047,0,0,0
60761,31141,0,60762,10077,0,0,0,0,31054,0,0,0
60771,31053,0,60772,10078,0,0,0,0,31055,0,0,0
60781,31014,0,60782,10079,0,0,0,0,31037,0,0,0
60791,31192,0,60792,10080,0,0,0,0,31006,0,0,0
60801,31146,0,60802,10081,0,0,0,0,31048,0,0,0
60811,31208,0,60812,10082,0,0,0,0,31044,0,0,0
60821,31147,0,60822,10083,0,0,0,0,31060,0,0,0
60831,31059,0,60832,10084,0,0,0,0,31060,0,0,0
60841,31212,0,60842,10085,0,0,0,0,31058,0,0,0
60851,31156,0,60852,10086,0,0,0,0,31003,0,0,0
60851,31156,0,60852,10087,0,0,0,0,31003,0,0,0
60871,31128,0,60872,10088,0,0,0,0,31026,0,0,0
60881,31158,0,60882,10089,0,0,0,0,31010,0,0,0
60891,31065,0,60892,10090,0,0,0,0,31046,0,0,0
60901,31032,0,60902,10091,0,0,0,0,31031,0,0,0
60911,31014,0,60912,10092,0,0,0,0,31031,0,0,0
60921,31065,0,60922,10093,0,0,0,0,31015,0,0,0
60931,31221,0,60932,10094,0,0,0,0,31034,0,0,0
60941,31168,0,60942,10095,0,0,0,0,31040,0,0,0
60951,31224,0,60952,10096,0,0,0,0,31002,0,0,0
60961,31018,0,60962,10097,0,0,0,0,31050,0,0,0
60971,31228,0,60972,10098,0,0,0,0,31036,0,0,0
60981,31174,0,60982,10099,0,0,0,0,31109,0,0,0
60991,31010,0,60992,10100,0,0,0,0,31023,0,0,0
61001,31096,0,61002,10101,0,0,0,0,31051,0,0,0
61011,31235,0,61012,10102,0,0,0,0,31013,0,0,0
61021,31178,0,61022,10103,0,0,0,0,31047,0,0,0
61031,31037,0,61032,10104,0,0,0,0,31005,0,0,0
61041,31053,0,61042,10105,0,0,0,0,31055,0,0,0
61051,31241,0,61052,10106,0,0,0,0,31047,0,0,0
61061,31192,0,61062,10107,0,0,0,0,31006,0,0,0
61071,31247,0,61072,10108,0,0,0,0,31066,0,0,0
61081,31208,0,61082,10109,0,0,0,0,31044,0,0,0
61091,31249,0,61092,10110,0,0,0,0,31029,0,0,0
61101,31249,0,61102,10111,0,0,0,0,31042,0,0,0
61111,31059,0,61112,10112,0,0,0,0,31060,0,0,0
61121,31212,0,61122,10113,0,0,0,0,31058,0,0,0
61131,31053,0,61132,10114,0,0,0,0,31046,0,0,0
61141,31128,0,61142,10115,0,0,0,0,31026,0,0,0
61151,31012,0,61152,10116,0,0,0,0,31038,0,0,0
61161,31065,0,61162,10117,0,0,0,0,31046,0,0,0
61171,31257,0,61172,10118,0,0,0,0,31057,0,0,0
61181,31014,0,61182,10119,0,0,0,0,31031,0,0,0
61191,31044,0,61192,10120,0,0,0,0,31008,0,0,0
61201,31221,0,61202,10121,0,0,0,0,31034,0,0,0
61211,31267,0,61212,10122,0,0,0,0,31048,0,0,0
