main_skill_lv_8,energy_recovery_rate,main_skill_lv_6,main_skill_lv_9,hp,physical_critical,ex_skill_lv_3,resist_status_id,ex_skill_lv_1,life_steal,main_skill_lv_2,energy_reduce_rate,atk,union_burst_level,main_skill_lv_7,main_skill_lv_1,physical_penetrate,rarity,level,accuracy,unit_id,main_skill_lv_10,hp_recovery_rate,main_skill_lv_4,dodge,magic_penetrate,main_skill_lv_5,main_skill_lv_3,ex_skill_lv_4,magic_def,enemy_id,wave_hp_recovery,def,ex_skill_lv_2,resist_variation_id,ex_skill_lv_5,wave_energy_recovery,promotion_level,magic_critical,magic_str
1,30,1,1,329,10,1,200000006,1,0,1,0,24,1,1,1,0,1,1,0,200100,1,0,1,1,0,1,1,1,3,670010001,0,4,1,0,1,0,1,10,0
2,30,2,2,338,10,2,200000006,2,0,2,0,28,2,2,2,0,1,2,0,200100,2,0,2,1,0,2,2,2,3,670010002,0,9,2,0,2,0,1,10,0
3,30,3,3,347,10,3,200000006,3,0,3,0,32,3,3,3,0,1,3,0,200100,3,0,3,1,0,3,3,3,4,670010003,0,5,3,0,3,0,1,10,0
4,30,4,4,347,10,4,200000006,4,0,4,0,32,4,4,4,0,1,4,0,200100,4,0,4,1,0,4,4,4,4,670010004,0,5,4,0,4,0,1,10,0
5,30,5,5,349,10,5,200000006,5,0,5,0,35,5,5,5,0,1,5,0,200100,5,0,5,1,0,5,5,5,4,670010005,0,5,5,0,5,0,1,10,0
6,30,6,6,367,10,6,200000006,6,0,6,0,48,6,6,6,0,1,6,0,200100,6,0,6,1,0,6,6,6,6,670010006,0,7,6,0,6,0,1,10,0
7,30,7,7,413,10,7,200000006,7,0,7,0,55,7,7,7,0,1,7,0,200100,7,0,7,1,0,7,7,7,7,670010007,0,8,7,0,7,0,1,10,0
8,30,8,8,459,10,8,200000006,8,0,8,0,62,8,8,8,0,1,8,0,200100,8,0,8,1,0,8,8,8,7,670010008,0,9,8,0,8,0,1,10,0
9,30,9,9,505,10,9,200000006,9,0,9,0,68,9,9,9,0,1,9,0,200100,9,0,9,1,0,9,9,9,8,670010009,0,9,9,0,9,0,1,10,0
10,30,10,10,551,10,10,200000006,10,0,10,0,75,10,10,10,0,1,10,0,200100,10,0,10,1,0,10,10,10,9,670010010,0,10,10,0,10,0,1,10,0
11,30,11,11,598,10,11,200000006,11,0,11,0,82,11,11,11,0,1,11,0,200100,11,0,11,1,0,11,11,11,9,670010011,0,11,11,0,11,0,1,10,0
12,30,12,12,644,10,12,200000006,12,0,12,0,89,12,12,12,0,1,12,0,200100,12,0,12,1,0,12,12,12,10,670010012,0,12,12,0,12,0,1,10,0
13,30,13,13,690,10,13,200000006,13,0,13,0,95,13,13,13,0,1,13,0,200100,13,0,13,1,0,13,13,13,11,670010013,0,12,13,0,13,0,1,10,0
14,30,14,14,736,10,14,200000006,14,0,14,0,102,14,14,14,0,1,14,0,200100,14,0,14,1,0,14,14,14,11,670010014,0,13,14,0,14,0,1,10,0
15,30,15,15,782,10,15,200000006,15,0,15,0,109,15,15,15,0,1,15,0,200100,15,0,15,1,0,15,15,15,12,670010015,0,14,15,0,15,0,1,10,0
