id,condition_num,destination_system_id,reward_type_1,category_icon,disp_group,reward_num_1,reward_num_3,revival_type,start_time,reward_id_1,condition_value,reward_id_2,mission_id,mission_type,reward_id_3,mission_group_id,mission_condition,description,reward_type_3,reward_num_2,reward_type_2
10110101,1,6114,2,601,101,10,0,1,"2026/02/27 15:00:00",62001,0,0,10101,1,0,101,9004,"이벤트 퀘스트를 1회 클리어하자",0,0,0
10120101,1,6113,2,601,201,50,0,2,"2026/02/27 15:00:00",62001,1,94002,20101,2,0,101,9002,"이벤트 스토리 오프닝을 열람하자",0,100000,12
10120102,1,6113,2,601,201,50,0,2,"2026/02/27 15:00:00",62001,2,94002,20102,2,0,101,9002,"이벤트 스토리 제1화(미궁여왕)를 열람하자",0,100000,12
10120103,1,6113,2,601,201,50,0,2,"2026/02/27 15:00:00",62001,3,94002,20103,2,0,101,9002,"이벤트 스토리 제1화(서약여군)를 열람하자",0,100000,12
10120104,1,6113,2,601,201,50,0,2,"2026/02/27 15:00:00",62001,4,94002,20104,2,0,101,9002,"이벤트 스토리 제1화(도약왕)를 열람하자",0,100000,12
10120105,1,6113,2,601,201,50,0,2,"2026/02/27 15:00:00",62001,5,94002,20105,2,0,101,9002,"이벤트 스토리 제2화를 열람하자",0,100000,12
10120106,1,6113,2,601,201,50,0,2,"2026/03/05 15:00:00",62001,6,94002,20106,2,0,101,9002,"이벤트 스토리 제3화를 열람하자",0,100000,12
10120107,1,6113,2,601,201,50,0,2,"2026/03/05 15:00:00",62001,7,94002,20107,2,0,101,9002,"이벤트 스토리 제4화(패동황제)를 열람하자",0,100000,12
10120108,1,6113,2,601,201,50,0,2,"2026/03/05 15:00:00",62001,8,94002,20108,2,0,101,9002,"이벤트 스토리 제4화(변모대비)를 열람하자",0,100000,12
10120109,1,6113,2,601,201,50,0,2,"2026/03/05 15:00:00",62001,9,94002,20109,2,0,101,9002,"이벤트 스토리 제4화(향도노군)를 열람하자",0,100000,12
10120110,1,6113,2,601,201,50,0,2,"2026/03/05 15:00:00",62001,10,94002,20110,2,0,101,9002,"이벤트 스토리 제5화를 열람하자",0,100000,12
10120111,1,6113,2,601,201,50,0,2,"2026/03/05 15:00:00",62001,11,94002,20111,2,0,101,9002,"이벤트 스토리 엔딩을 열람하자",0,100000,12
10120112,1,6113,2,601,201,50,0,2,"2026/03/05 15:00:00",62001,12,94002,20112,2,0,101,9002,"이벤트 스토리 에필로그를 열람하자",0,100000,12
10120201,1,6114,8,601,202,30,0,1,"2026/02/27 15:00:00",91002,1,22002,20201,2,0,101,9003,"이벤트 전편 퀘스트 N-1을 클리어하자",0,1,2
10120202,1,6114,8,601,202,30,0,1,"2026/02/27 15:00:00",91002,2,22002,20202,2,0,101,9003,"이벤트 전편 퀘스트 N-2를 클리어하자",0,1,2
10120203,1,6114,8,601,202,30,0,1,"2026/02/27 15:00:00",91002,3,22002,20203,2,0,101,9003,"이벤트 전편 퀘스트 N-3을 클리어하자",0,1,2
10120204,1,6114,8,601,202,30,0,1,"2026/02/27 15:00:00",91002,4,22002,20204,2,0,101,9003,"이벤트 전편 퀘스트 N-4를 클리어하자",0,1,2
10120205,1,6114,8,601,202,30,0,1,"2026/02/27 15:00:00",91002,5,22002,20205,2,0,101,9003,"이벤트 전편 퀘스트 N-5를 클리어하자",0,1,2
10120206,1,6114,8,601,202,30,0,1,"2026/02/27 15:00:00",91002,6,22002,20206,2,0,101,9003,"이벤트 전편 퀘스트 N-6을 클리어하자",0,1,2
10120207,1,6114,8,601,202,30,0,1,"2026/02/27 15:00:00",91002,7,22002,20207,2,0,101,9003,"이벤트 전편 퀘스트 N-7을 클리어하자",0,1,2
10120208,1,6114,8,601,202,30,0,1,"2026/02/27 15:00:00",91002,8,22002,20208,2,0,101,9003,"이벤트 전편 퀘스트 N-8을 클리어하자",0,1,2
10120209,1,6114,8,601,202,30,0,1,"2026/02/27 15:00:00",91002,9,22002,20209,2,0,101,9003,"이벤트 전편 퀘스트 N-9를 클리어하자",0,1,2
10120210,1,6114,8,601,202,30,0,1,"2026/02/27 15:00:00",91002,10,22002,20210,2,0,101,9003,"이벤트 전편 퀘스트 N-10을 클리어하자",0,1,2
10120211,1,6114,8,601,202,60,0,1,"2026/02/27 15:00:00",91002,11,22002,20211,2,0,101,9003,"이벤트 전편 퀘스트 H-1을 클리어하자",0,3,2
10120212,1,6114,8,601,202,60,0,1,"2026/02/27 15:00:00",91002,12,22002,20212,2,0,101,9003,"이벤트 전편 퀘스트 H-2를 클리어하자",0,3,2
10120213,1,6114,8,601,202,60,0,1,"2026/02/27 15:00:00",91002,13,22002,20213,2,0,101,9003,"이벤트 전편 퀘스트 H-3을 클리어하자",0,3,2
10120214,1,6114,8,601,202,30,0,1,"2026/03/05 15:00:00",91002,14,22002,20214,2,0,101,9003,"이벤트 후편 퀘스트 N-1을 클리어하자",0,1,2
10120215,1,6114,8,601,202,30,0,1,"2026/03/05 15:00:00",91002,15,22002,20215,2,0,101,9003,"이벤트 후편 퀘스트 N-2를 클리어하자",0,1,2
10120216,1,6114,8,601,202,30,0,1,"2026/03/05 15:00:00",91002,16,22002,20216,2,0,101,9003,"이벤트 후편 퀘스트 N-3을 클리어하자",0,1,2
10120217,1,6114,8,601,202,30,0,1,"2026/03/05 15:00:00",91002,17,22002,20217,2,0,101,9003,"이벤트 후편 퀘스트 N-4를 클리어하자",0,1,2
10120218,1,6114,8,601,202,30,0,1,"2026/03/05 15:00:00",91002,18,22002,20218,2,0,101,9003,"이벤트 후편 퀘스트 N-5를 클리어하자",0,1,2
10120219,1,6114,8,601,202,30,0,1,"2026/03/05 15:00:00",91002,19,22002,20219,2,0,101,9003,"이벤트 후편 퀘스트 N-6을 클리어하자",0,1,2
10120220,1,6114,8,601,202,30,0,1,"2026/03/05 15:00:00",91002,20,22002,20220,2,0,101,9003,"이벤트 후편 퀘스트 N-7을 클리어하자",0,1,2
10120221,1,6114,8,601,202,30,0,1,"2026/03/05 15:00:00",91002,21,22002,20221,2,0,101,9003,"이벤트 후편 퀘스트 N-8을 클리어하자",0,1,2
10120222,1,6114,8,601,202,30,0,1,"2026/03/05 15:00:00",91002,22,22002,20222,2,0,101,9003,"이벤트 후편 퀘스트 N-9를 클리어하자",0,1,2
10120223,1,6114,8,601,202,30,0,1,"2026/03/05 15:00:00",91002,23,22002,20223,2,0,101,9003,"이벤트 후편 퀘스트 N-10을 클리어하자",0,1,2
10120224,1,6114,8,601,202,60,0,1,"2026/03/05 15:00:00",91002,24,22002,20224,2,0,101,9003,"이벤트 후편 퀘스트 H-1을 클리어하자",0,3,2
10120225,1,6114,8,601,202,60,0,1,"2026/03/05 15:00:00",91002,25,22002,20225,2,0,101,9003,"이벤트 후편 퀘스트 H-2를 클리어하자",0,3,2
10120226,1,6114,8,601,202,60,0,1,"2026/03/05 15:00:00",91002,26,22002,20226,2,0,101,9003,"이벤트 후편 퀘스트 H-3을 클리어하자",0,3,2
10120301,1,6115,8,601,203,50,750000,1,"2026/02/27 15:00:00",91002,1,90005,20301,2,94002,101,9019,"전편 보스 배틀(SCENARIO)을 클리어하자",12,10,2
10120401,1,6115,8,601,204,50,750000,1,"2026/03/05 15:00:00",91002,1,90005,20401,2,94002,101,9028,"후편 보스 배틀(SCENARIO)을 클리어하자",12,10,2
10130101,1,6116,8,601,301,30,0,1,"2026/02/27 15:00:00",91002,1,62001,30101,3,0,101,9016,"전편 보스 배틀(SPECIAL) MODE1을 클리어하자",0,200,2
10130201,1,6116,8,601,302,30,0,1,"2026/02/27 15:00:00",91002,2,62001,30201,3,0,101,9016,"전편 보스 배틀(SPECIAL) MODE2를 클리어하자",0,200,2
10130301,1,6116,8,601,303,30,0,1,"2026/02/27 15:00:00",91002,3,94002,30301,3,0,101,9016,"전편 보스 배틀(SPECIAL)을 클리어하자",0,120000,12
10130401,1,6116,8,601,304,100,0,1,"2026/02/27 15:00:00",91002,5,0,30401,3,0,101,9015,"전편 보스 배틀(SPECIAL)을 도전 횟수 5회 이내로 클리어하자",0,0,0
10130501,1,6117,12,601,305,500000,0,1,"2026/02/27 15:00:00",94002,1,0,30501,3,0,101,9026,"전편 보스 배틀(SPECIAL+) MODE1을 클리어하자",0,0,0
10130601,1,6117,12,601,306,500000,0,1,"2026/02/27 15:00:00",94002,2,0,30601,3,0,101,9026,"전편 보스 배틀(SPECIAL+) MODE2를 클리어하자",0,0,0
10130701,1,6117,4,601,307,20,0,1,"2026/02/27 15:00:00",140001,5,94002,30701,3,0,101,9027,"전편 보스 배틀(SPECIAL+)을 도전 횟수 5회 이내로 클리어하자",0,1000000,12
10130801,1,6116,8,601,308,30,0,1,"2026/03/05 15:00:00",91002,1,62001,30801,3,0,101,9029,"후편 보스 배틀(SPECIAL) MODE1을 클리어하자",0,200,2
10130901,1,6116,8,601,309,30,0,1,"2026/03/05 15:00:00",91002,2,62001,30901,3,0,101,9029,"후편 보스 배틀(SPECIAL) MODE2를 클리어하자",0,200,2
10131001,1,6116,8,601,310,30,0,1,"2026/03/05 15:00:00",91002,3,94002,31001,3,0,101,9029,"후편 보스 배틀(SPECIAL)을 클리어하자",0,120000,12
10131101,1,6116,8,601,311,100,0,1,"2026/03/05 15:00:00",91002,5,0,31101,3,0,101,9030,"후편 보스 배틀(SPECIAL)을 도전 횟수 5회 이내로 클리어하자",0,0,0
10131201,1,6117,12,601,312,500000,0,1,"2026/03/05 15:00:00",94002,1,0,31201,3,0,101,9031,"후편 보스 배틀(SPECIAL+) MODE1을 클리어하자",0,0,0
10131301,1,6117,12,601,313,500000,0,1,"2026/03/05 15:00:00",94002,2,0,31301,3,0,101,9031,"후편 보스 배틀(SPECIAL+) MODE2를 클리어하자",0,0,0
10131401,1,6117,4,601,314,20,0,1,"2026/03/05 15:00:00",140001,5,94002,31401,3,0,101,9032,"후편 보스 배틀(SPECIAL+)을 도전 횟수 5회 이내로 클리어하자",0,1000000,12
