resist_status_id,magic_penetrate,unit_id,main_skill_lv_10,ex_skill_lv_3,main_skill_lv_1,magic_critical,resist_variation_id,main_skill_lv_5,main_skill_lv_4,magic_def,main_skill_lv_8,atk,main_skill_lv_2,main_skill_lv_9,energy_reduce_rate,accuracy,virtual_hp,ex_skill_lv_5,life_steal,physical_penetrate,break_durability,unique_equipment_flag_1,energy_recovery_rate,wave_energy_recovery,def,main_skill_lv_6,union_burst_level,dodge,promotion_level,ex_skill_lv_4,physical_critical,level,ex_skill_lv_2,hp_recovery_rate,hp,wave_hp_recovery,ex_skill_lv_1,name,main_skill_lv_7,main_skill_lv_3,magic_str,rarity,enemy_id
200000001,0,250700,0,0,3100,0,0,3100,3100,891,0,3775,3100,0,0,44,0,0,0,0,0,0,0,0,1109,0,3100,0,1,0,0,310,0,0,2863593,0,0,"골렘",0,3100,0,0,924070101
200000001,0,251200,0,0,3100,0,0,3100,3100,801,0,4364,3100,0,0,44,0,0,0,0,0,0,0,0,1319,0,3100,0,1,0,0,310,0,0,2663955,0,0,"고블린 가드",0,3100,0,0,924070102
200000001,0,604701,0,0,310,0,0,310,310,946,0,10499,310,0,5,44,0,0,0,0,0,1,40,0,876,0,310,26,32,0,535,310,0,69,4144500,0,0,"쥰의 섀도우",0,310,0,6,924070103
200000001,0,600301,0,0,310,0,0,310,310,946,0,21556,310,0,0,48,0,0,0,0,0,1,46,0,876,0,310,7,32,0,1645,310,0,40,3453750,0,0,"레이의 섀도우",0,310,0,6,924070104
200000001,0,256800,0,0,3100,0,0,3100,3100,645,0,16227,3100,0,0,44,0,0,0,0,0,0,0,0,792,0,3100,0,1,0,0,310,0,0,2703750,0,0,"케이브 에이프",0,3100,0,0,924070105
300000009,0,217300,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,5000,0,0,1,0,0,500,0,0,1000000000,0,0,"버스트 에너미",150,100,0,1,924070106
200000001,0,251000,0,0,3100,0,0,3100,3100,2239,0,10609,3100,0,0,44,0,0,0,0,0,0,0,0,995,0,3100,0,1,0,0,310,0,0,5736000,0,0,"움직이는 검사 석상",0,3100,0,0,924070201
200000001,0,250200,0,0,3100,0,0,3100,3100,1120,0,29183,3100,0,0,44,0,0,0,0,0,0,0,0,1244,0,3100,0,1,0,0,310,0,0,4624000,0,0,"마인 리자드",0,3100,0,0,924070202
200000001,0,625801,0,0,310,0,0,310,310,338,0,53569,310,0,0,44,0,0,0,0,0,1,34,0,378,0,310,4,32,0,1847,310,0,30,7368000,0,0,"리리(폴른)의 섀도우",0,310,0,5,924070203
200000001,0,614201,0,0,310,0,0,310,310,627,0,48013,310,0,1,44,0,0,0,0,0,1,33,0,654,0,310,14,32,0,1755,310,0,870,6999600,0,0,"모니카(매지컬)의 섀도우",0,310,0,5,924070204
200000001,0,258700,0,0,3100,0,0,3100,3100,374,0,14666,3100,0,0,44,0,0,0,0,0,0,0,0,249,0,3100,0,1,0,0,310,0,0,4320950,0,0,"비글",0,3100,0,0,924070205
