phase_num,reward_num_2,reward_type_3,reward_num_4,reward_type_5,reward_id_3,need_clear_num,reward_id_1,reward_num_1,reward_type_1,reward_type_4,reward_id_2,reward_num_3,reward_type_2,reward_id_5,reward_id_4,reward_num_5,schedule_id
1,8,4,3,12,150003,3,91002,100,8,2,20004,30,2,94002,90005,300000,1001
2,60,4,3,12,150004,3,91002,150,8,2,140001,30,4,94002,90005,400000,1001
3,10,4,3,12,150005,3,91002,150,8,2,20004,30,2,94002,90005,500000,1001
4,90,4,3,12,150006,3,91002,200,8,2,140001,30,4,94002,90005,750000,1001
5,1,4,3,12,150007,3,91002,200,8,2,21951,30,2,94002,90005,1000000,1001
1,8,4,3,12,150003,3,91002,100,8,2,20004,30,2,94002,90005,300000,1002
2,60,4,3,12,150004,3,91002,150,8,2,140001,30,4,94002,90005,400000,1002
3,10,4,3,12,150005,3,91002,150,8,2,20004,30,2,94002,90005,500000,1002
4,90,4,3,12,150006,3,91002,200,8,2,140001,30,4,94002,90005,750000,1002
5,1,4,3,12,150007,3,91002,200,8,2,21951,30,2,94002,90005,1000000,1002
1,8,4,100,12,150003,3,91002,50,8,4,20004,100,2,94002,150004,300000,1003
2,60,4,5,12,150005,3,91002,100,8,2,140001,50,4,94002,90005,400000,1003
3,10,4,500000,0,150006,3,91002,100,8,12,20004,50,2,0,94002,0,1003
4,90,4,10,12,150007,3,91002,150,8,2,140001,50,4,94002,90005,750000,1003
5,1,4,1000000,0,150008,3,91002,150,8,12,21951,50,2,0,94002,0,1003
1,8,4,100,12,150003,3,91002,50,8,4,20004,100,2,94002,150004,300000,1004
2,60,4,5,12,150005,3,91002,100,8,2,140001,50,4,94002,90005,400000,1004
3,10,4,500000,0,150006,3,91002,100,8,12,20004,50,2,0,94002,0,1004
4,90,4,10,12,150007,3,91002,150,8,2,140001,50,4,94002,90005,750000,1004
5,1,4,1000000,0,150008,3,91002,150,8,12,21951,50,2,0,94002,0,1004
1,8,4,100,12,150003,3,91002,50,8,4,20004,100,2,94002,150004,300000,1005
2,60,4,5,12,150005,3,91002,100,8,2,140001,50,4,94002,90005,400000,1005
3,10,4,500000,0,150006,3,91002,100,8,12,20004,50,2,0,94002,0,1005
4,90,4,10,12,150007,3,91002,150,8,2,140001,50,4,94002,90005,750000,1005
5,1,4,1000000,0,150008,3,91002,150,8,12,21951,50,2,0,94002,0,1005
1,8,4,100,12,150004,3,91002,50,8,4,20004,100,2,94002,150005,300000,1006
2,60,4,5,12,150006,3,91002,100,8,2,140001,50,4,94002,90005,400000,1006
3,10,4,500000,0,150007,3,91002,100,8,12,20004,50,2,0,94002,0,1006
4,90,4,10,12,150008,3,91002,150,8,2,140001,50,4,94002,90005,750000,1006
5,1,4,1000000,0,150009,3,91002,150,8,12,21951,50,2,0,94002,0,1006
