param_04,param_06,param_05,command_id,param_07,drama_id,param_01,command_type,param_03,param_08,param_02
"","","",4514001,"",4514,bgm_M321,25,"","",bgm_M321_2C
-1000,2,-70,4514002,0,4514,1,1,250,wac_birthday_idle_normal,105811
200,2,-270,4514003,1,4514,1,1,256,wac_birthday_idle_doya,106011
320,2,-310,4514004,1,4514,1,1,258,wac_birthday_idle_wish,105911
440,2,-290,4514005,1,4514,1,1,257,wac_birthday_idle_smile,106431
"","","",4514006,"",4514,105811,13,"","",300
"","","",4514007,"",4514,106011,13,"","",300
0,1,1,4514008,"",4514,600,31,0,"",600
0,0,1,4514009,"",4514,602,31,0,"",602
0,0,1,4514010,"",4514,603,31,0,"",603
60,1,1,4514011,"",4514,604,31,30,"",604
0,1,1,4514012,"",4514,611,31,0,"",611
0,0,1,4514013,"",4514,700,31,0,"",700
0,0,1,4514014,"",4514,701,31,0,"",701
0,0,1,4514015,"",4514,702,31,0,"",702
0,0,1,4514016,"",4514,800,31,0,"",800
60,1,1,4514017,"",4514,900,31,30,"",900
"","","",4514018,"",4514,1,93,"","",""
wac_birthday_reaction_03,0.2,1,4514019,0.2,4514,105911,3,0,"",wac_birthday_reaction_01
"","","",4514020,"",4514,0.1,93,"","",""
wac_birthday_reaction_04,0.2,1,4514021,0.2,4514,106011,3,0,"",wac_birthday_reaction_05
wac_birthday_reaction_03,0.2,1,4514022,0.2,4514,106431,3,0,"",wac_birthday_reaction_02
"","","",4514023,"",4514,0.3,93,"","",""
"",0.2,"",4514024,"",4514,105811,3,1,"",wac_birthday_run_01
3,"","",4514025,"",4514,105811,2,-70,"",0
"","","",4514026,"",4514,2.5,93,"","",""
"","","",4514027,"",4514,602,32,"","",1
"","","",4514028,"",4514,0.6,93,"","",""
"","","",4514029,"",4514,600,32,"","",0
"","","",4514030,"",4514,611,32,"","",0
"","","",4514031,"",4514,604,32,"","",0
"","","",4514032,"",4514,701,32,"","",1
0.01,"","",4514033,"",4514,900,33,0,"",0
wac_birthday_wish_02,0.2,1,4514034,0.2,4514,105811,3,0,"",wac_birthday_blowout_02
0.01,"","",4514035,"",4514,105811,2,-330,"",-200
"",0.2,"",4514036,"",4514,106011,3,1,"",wac_birthday_idle_doya
0.01,"","",4514037,"",4514,106011,2,-320,"",180
"",0.2,"",4514038,"",4514,105911,3,1,"",wac_birthday_idle_wish
0.01,"","",4514039,"",4514,105911,2,-360,"",300
"",0.2,"",4514040,"",4514,106431,3,1,"",wac_birthday_idle_smile
0.01,"","",4514041,"",4514,106431,2,-340,"",420
"","","",4514042,"",4514,0,93,"","",""
"","","",4514043,"",4514,800,32,"","",1
"","","",4514044,"",4514,0.7,93,"","",""
"","","",4514045,"",4514,702,32,"","",1
"","","",4514046,"",4514,0.5,93,"","",""
"","","",4514047,"",4514,se_common,23,0,"",se_sys_login_birthday_blow_candle
"","","",4514048,"",4514,701,32,"","",0
