reward_num,reward_id,reward_type,mission_reward_id,id
3000000,94002,12,100101,1
300,20004,2,100101,2
1000,90008,2,100102,3
6,25001,2,100103,4
1000000,94002,12,100104,5
300,20004,2,100104,6
1000,90008,2,100105,7
6,25001,2,100106,8
40,91002,8,100107,9
1000000,94002,12,100107,10
300,20004,2,100107,11
1000,90008,2,100108,12
1,41000,2,100109,13
7,25001,2,100109,14
1000000,94002,12,100110,15
400,20004,2,100110,16
1500,90008,2,100111,17
40,91002,8,100112,18
7,25001,2,100112,19
1000000,94002,12,100113,20
400,20004,2,100113,21
1500,90008,2,100114,22
1,41000,2,100115,23
7,25001,2,100115,24
1000000,94002,12,100116,25
500,20004,2,100116,26
40,91002,8,100117,27
1500,90008,2,100117,28
2000000,94002,12,100118,29
8,25001,2,100118,30
2000,90008,2,100118,31
3000000,94002,12,100201,32
300,20004,2,100201,33
1000,90008,2,100202,34
12,25001,2,100203,35
1000000,94002,12,100204,36
300,20004,2,100204,37
1000,90008,2,100205,38
10,25001,2,100206,39
40,91002,8,100207,40
1000000,94002,12,100207,41
300,20004,2,100207,42
1000,90008,2,100208,43
1,41000,2,100209,44
10,25001,2,100209,45
1000000,94002,12,100210,46
400,20004,2,100210,47
1500,90008,2,100211,48
40,91002,8,100212,49
9,25001,2,100212,50
1000000,94002,12,100213,51
400,20004,2,100213,52
1500,90008,2,100214,53
1,41000,2,100215,54
1000000,94002,12,100216,55
500,20004,2,100216,56
40,91002,8,100217,57
1500,90008,2,100217,58
2000000,94002,12,100218,59
2000,90008,2,100218,60
3000000,94002,12,100301,61
300,20004,2,100301,62
1000,90008,2,100302,63
12,25001,2,100303,64
1000000,94002,12,100304,65
300,20004,2,100304,66
1000,90008,2,100305,67
10,25001,2,100306,68
40,91002,8,100307,69
1000000,94002,12,100307,70
300,20004,2,100307,71
1000,90008,2,100308,72
1,41000,2,100309,73
10,25001,2,100309,74
1000000,94002,12,100310,75
400,20004,2,100310,76
1500,90008,2,100311,77
40,91002,8,100312,78
9,25001,2,100312,79
1000000,94002,12,100313,80
400,20004,2,100313,81
1500,90008,2,100314,82
1,41000,2,100315,83
1000000,94002,12,100316,84
500,20004,2,100316,85
40,91002,8,100317,86
1500,90008,2,100317,87
2000000,94002,12,100318,88
2000,90008,2,100318,89
3000000,94002,12,100401,90
300,20004,2,100401,91
1000,90008,2,100402,92
12,25001,2,100403,93
1000000,94002,12,100404,94
300,20004,2,100404,95
1000,90008,2,100405,96
10,25001,2,100406,97
40,91002,8,100407,98
1000000,94002,12,100407,99
300,20004,2,100407,100
1000,90008,2,100408,101
1,41000,2,100409,102
10,25001,2,100409,103
1000000,94002,12,100410,104
400,20004,2,100410,105
1500,90008,2,100411,106
40,91002,8,100412,107
9,25001,2,100412,108
1000000,94002,12,100413,109
400,20004,2,100413,110
1500,90008,2,100414,111
1,41000,2,100415,112
1000000,94002,12,100416,113
500,20004,2,100416,114
40,91002,8,100417,115
1500,90008,2,100417,116
2000000,94002,12,100418,117
2000,90008,2,100418,118
3000000,94002,12,100501,119
300,20004,2,100501,120
1000,90008,2,100502,121
12,25001,2,100503,122
1000000,94002,12,100504,123
300,20004,2,100504,124
1000,90008,2,100505,125
10,25001,2,100506,126
40,91002,8,100507,127
1000000,94002,12,100507,128
300,20004,2,100507,129
1000,90008,2,100508,130
1,41000,2,100509,131
10,25001,2,100509,132
1000000,94002,12,100510,133
400,20004,2,100510,134
1500,90008,2,100511,135
40,91002,8,100512,136
9,25001,2,100512,137
1000000,94002,12,100513,138
