shop_open_value,item_type,shop_start,category_action_type,category,max_level,cost_item_num,enable_remove,effect_id_1,sold_price,shop_end,id,condition_quest_id,shop_open_type,shop_new_disp_end,name,sort,max_possession_num,shop_open_id
0,1,"2015-04-01 14:00:00",0,101,34,500,1,1,0,"",1,0,0,"","카린의 책상",900143,1,0
0,5,"2015-04-01 14:00:00",0,903,1,-1,1,0,0,"",3,0,0,"","랜드솔 배경",900141,1,0
0,4,"2015-04-01 14:00:00",0,902,1,-1,1,0,0,"",4,0,0,"","길드 하우스 벽",900140,1,0
0,4,"2015-04-01 14:00:00",0,902,1,18000,1,0,9000,"",5,0,0,"","투명한 벽",900139,1,0
0,3,"2015-04-01 14:00:00",0,901,1,18000,1,0,9000,"",6,0,0,"","투명한 바닥",900138,1,0
0,1,"2015-04-01 14:00:00",1,199,1,300,1,0,150,"",7,0,0,"","무한 주먹밥",900137,1,0
0,1,"2015-04-01 14:00:00",1,299,1,300,1,0,150,"",8,0,0,"","마법의 책 받침대",900136,1,0
0,1,"2015-04-01 14:00:00",1,199,1,900,1,0,450,"",9,0,0,"","어디에서든 스튜 냄비",900135,1,0
0,1,"2015-04-01 14:00:00",1,299,1,1500,1,0,750,"",10,0,0,"","리마 봉제인형",900134,1,0
0,1,"2015-04-01 14:00:00",1,299,1,300,1,0,150,"",11,0,0,"","아로마 디퓨저①",900133,10,0
0,1,"2015-04-01 14:00:00",1,299,1,300,1,0,150,"",12,0,0,"","아로마 디퓨저②",900132,10,0
0,1,"2015-04-01 14:00:00",1,103,1,600,1,0,300,"",13,0,0,"","책장①",900131,10,0
0,1,"2015-04-01 14:00:00",1,103,1,600,1,0,300,"",14,0,0,"","책장②",900130,10,0
0,1,"2015-04-01 14:00:00",0,101,1,600,1,0,300,"",15,0,0,"","나무 테이블①",900129,10,0
0,1,"2015-04-01 14:00:00",0,101,1,1200,1,0,600,"",16,0,0,"","나무 테이블②",900128,10,0
