position_x,cursor_position,quest_detail_bg_id,result_boss_position_y,battle_report_monster_size,background,map_position_y,quest_detail_monster_height,position_y,quest_detail_monster_size,clan_battle_id,tap_height_ratio,tap_width_ratio,boss_thumb_id,scale_ratio,battle_report_monster_height,quest_detail_bg_position,order_num,wave_bgm,difficulty,boss_id,map_position_x
-480,210,101001,250,0.7,101001,10,0,-120,0.8,1001,1.0,1.0,1,0.6,-30,-30,1,bgm_M64,1,10010101,0
-260,200,101001,0,1.0,101001,10,0,-120,1.2,1001,1.0,1.0,2,0.75,0,-30,2,bgm_M64,1,10010102,0
-40,200,101001,100,1.0,101001,0,-50,0,1.1,1001,1.0,1.0,3,0.75,-10,-30,3,bgm_M64,1,10010103,0
240,200,101001,0,1.0,101001,0,0,-50,1.0,1001,1.0,1.0,4,0.7,0,-30,4,bgm_M64,1,10010104,0
480,250,101011,200,1.0,101011,0,0,-40,1.3,1001,1.0,1.0,5,1.2,0,-30,5,bgm_M55,1,10010105,0
-480,210,101001,250,0.7,101021,10,0,-155,0.8,1002,1.0,1.0,1,0.6,-30,-30,1,bgm_M64,1,10020101,0
-265,200,101001,250,1.0,101021,10,0,-120,1.2,1002,1.0,1.0,2,0.75,0,-30,2,bgm_M64,1,10020102,0
-30,200,101001,100,1.0,101021,0,-30,30,1.4,1002,1.0,1.0,3,0.9,-10,-30,3,bgm_M64,1,10020103,-15
220,200,101001,100,1.25,101021,0,-30,-90,1.5,1002,1.0,1.0,4,1.0,0,-30,4,bgm_M64,1,10020104,0
440,250,101011,200,1.6,101031,0,0,0,1.8,1002,1.0,1.0,5,1.4,0,-30,5,bgm_M55,1,10020105,0
-470,210,101041,250,0.7,101041,10,0,-155,0.8,1003,1.0,1.0,1,0.6,-30,-30,1,bgm_M64,1,10030101,0
-210,200,101041,250,1.0,101041,10,0,-95,1.2,1003,1.0,1.0,2,0.75,0,-30,2,bgm_M64,1,10030102,0
50,200,101041,100,1.0,101041,0,-50,-120,1.1,1003,1.0,1.0,3,0.75,-10,-30,3,bgm_M64,1,10030103,0
195,200,101041,100,1.2,101041,0,-30,35,1.5,1003,1.0,1.0,4,0.8,0,-30,4,bgm_M64,1,10030104,0
450,210,101042,150,1.35,101042,0,-50,-55,1.8,1003,1.0,1.0,5,1.1,0,-30,5,bgm_M55,1,10030105,0
-480,210,101161,250,0.7,101161,10,0,-120,0.8,1004,1.0,1.0,1,0.6,-30,-30,1,bgm_M64,1,10040101,0
-260,200,101161,0,1.0,101161,10,0,-120,1.2,1004,1.0,1.0,2,0.75,0,-30,2,bgm_M64,1,10040102,0
-20,200,101161,100,1.0,101161,0,-30,55,1.4,1004,1.0,1.0,3,0.9,-10,-30,3,bgm_M64,1,10040103,-15
180,200,101161,0,1.0,101161,0,-30,-30,1.3,1004,1.0,1.0,4,0.9,0,-30,4,bgm_M64,1,10040104,0
470,250,101162,200,0.9,101162,0,-50,-60,1.2,1004,1.0,1.0,5,0.9,-30,-30,5,bgm_M55,1,10040105,-40
-480,210,101161,250,0.7,101171,10,0,-120,0.8,1005,1.0,1.0,1,0.6,-30,-30,1,bgm_M64,1,10050101,0
-260,200,101161,0,1.0,101171,10,0,-120,1.2,1005,1.0,1.0,2,0.75,0,-30,2,bgm_M64,1,10050102,0
-20,200,101161,100,1.0,101171,0,-30,45,1.4,1005,1.0,1.0,3,0.9,-10,-30,3,bgm_M64,1,10050103,-15
190,200,101161,0,1.0,101171,0,0,-70,1.0,1005,1.0,1.0,4,0.7,0,-30,4,bgm_M64,1,10050104,0
445,240,101162,200,1.0,101172,0,-30,-25,1.3,1005,1.0,1.0,5,1.0,0,-30,5,bgm_M55,1,10050105,-40
-480,210,101161,250,0.7,101191,10,0,-120,0.8,1006,1.0,1.0,1,0.6,-30,-30,1,bgm_M64,1,10060101,0
-260,200,101161,0,1.0,101191,10,0,-100,1.2,1006,1.0,1.0,2,0.75,0,-30,2,bgm_M64,1,10060102,0
-10,200,101161,100,1.0,101191,0,0,65,1.1,1006,1.0,1.0,3,0.8,-10,-30,3,bgm_M64,1,10060103,-15
190,200,101161,0,1.0,101191,0,0,-110,1.2,1006,1.0,1.0,4,0.8,0,-30,4,bgm_M64,1,10060104,0
485,280,101162,270,1.0,101192,-10,-50,-70,1.15,1006,1.0,1.0,5,0.9,-45,-30,5,bgm_M55,1,10060105,0
-480,210,101161,250,0.7,101201,10,0,-120,0.8,1007,1.0,1.0,1,0.6,-30,-30,1,bgm_M64,1,10070101,0
-260,240,101161,120,1.0,101201,10,0,-120,1.2,1007,1.0,1.0,2,0.9,0,-30,2,bgm_M64,1,10070102,0
-10,200,101161,100,1.0,101201,0,0,65,1.1,1007,1.0,1.0,3,0.8,-10,-30,3,bgm_M64,1,10070103,-15
190,200,101161,100,1.0,101201,0,0,-110,1.2,1007,1.0,1.0,4,0.9,0,-30,4,bgm_M64,1,10070104,0
475,250,101162,270,1.0,101202,10,-50,-30,1.45,1007,1.0,1.0,5,1.0,-45,-30,5,bgm_M55,1,10070105,-20
-480,210,101161,250,0.7,101291,10,0,-120,0.8,1008,1.0,1.0,1,0.6,-30,-30,1,bgm_M64,1,10080101,0
-260,240,101161,120,1.0,101291,10,0,-120,1.2,1008,1.0,1.0,2,0.9,0,-30,2,bgm_M64,1,10080102,0
-40,200,101161,100,1.0,101291,0,0,65,1.1,1008,1.0,1.0,3,0.8,-10,-30,3,bgm_M64,1,10080103,-15
150,200,101161,100,1.3,101291,0,0,-110,1.3,1008,1.0,1.0,4,0.9,0,-30,4,bgm_M64,1,10080104,0
490,230,101162,45,1.3,101292,30,15,-15,1.45,1008,1.0,1.0,5,1.1,30,-30,5,bgm_M55,1,10080105,-20
-480,210,101161,250,0.7,101301,10,0,-120,0.8,1009,1.0,1.0,1,0.6,-30,-30,1,bgm_M64,1,10090101,0
-260,200,101161,120,1.0,101301,10,0,-120,1.2,1009,1.0,1.0,2,0.75,0,-30,2,bgm_M64,1,10090102,0
