dialog,team_level,quest_id,system_id,story_id
"",1,0,101,0
"메인 퀘스트 2-8(NORMAL) 클리어로 오픈",1,11002008,102,0
"메인 퀘스트 \n2-5(NORMAL) \n클리어로 오픈",1,11002005,103,0
"메인 퀘스트 \n2-12(NORMAL) \n클리어로 오픈",1,11002012,104,0
"메인 퀘스트 3-1(NORMAL) 클리어로 오픈",1,11003001,107,0
"메인 퀘스트 9-1(NORMAL) 클리어로 오픈",1,11009001,108,0
"메인 퀘스트 9-2(NORMAL) 클리어로 오픈",1,11009002,109,0
"메인 퀘스트 1-5(NORMAL) 클리어로 오픈",1,11001005,110,0
"메인 퀘스트 18-1(HARD) 클리어로 오픈",1,12018001,111,0
"메인 퀘스트 18-5(NORMAL) 클리어로 오픈",1,11018005,112,0
"메인 퀘스트 8-1(NORMAL) 클리어로 오픈",1,11008001,115,0
"메인 퀘스트 2-4(NORMAL) 클리어로 오픈",1,11002004,116,0
"메인 퀘스트 3-3(NORMAL) 클리어로 오픈",1,11003003,117,0
"메인 퀘스트 2-7(NORMAL) 클리어로 오픈",1,11002007,118,0
"메인 퀘스트 9-3(NORMAL) 클리어로 오픈",1,11009003,119,0
"메인 퀘스트 3-1(NORMAL) 클리어로 오픈",1,11003001,124,0
"루나의 탑 오프닝 스토리 열람으로 해방",1,0,125,0
"메인 퀘스트 10-1(NORMAL)\n클리어로 오픈",1,11010001,127,0
"메인 퀘스트 2-6(NORMAL) 클리어로 오픈",1,11002006,129,0
"메인 퀘스트 63-1(NORMAL)\n클리어로 오픈",1,11063001,130,0
"메인 퀘스트 10-1(NORMAL) 클리어로 오픈",1,11010001,131,0
"메인 퀘스트 64-1(NORMAL) 클리어로 오픈",1,11064001,132,0
"메인 퀘스트 \n72-1(NORMAL)\n클리어로 오픈",1,11072001,135,0
"",1,0,201,0
"메인 퀘스트 4-6(NORMAL) 클리어로 오픈",1,11004006,202,0
"메인 퀘스트 8-15(NORMAL) 클리어로 오픈",1,11008015,203,0
"메인 퀘스트 2-12(NORMAL) 클리어로 오픈",1,11002012,204,0
"메인 퀘스트 3-1(NORMAL) 클리어로 오픈",1,11003001,205,0
"메인 퀘스트 4-13(NORMAL) 클리어로 오픈",1,11004013,206,0
"",1,0,207,0
"",1,0,210,0
"메인 퀘스트 4-13(NORMAL) 클리어로 오픈",1,11004013,212,0
"메인 퀘스트 18-1(NORMAL) 클리어로 오픈",1,11018001,213,0
"메인 퀘스트 18-1(NORMAL) 클리어로 오픈",1,11018001,214,0
"메인 퀘스트 18-1(NORMAL) 클리어로 오픈",1,11018001,215,0
"",1,0,216,0
"메인 퀘스트 18-1(NORMAL) 클리어로 오픈",1,11018001,217,0
"메인 퀘스트 4-6(NORMAL) \n클리어로 오픈",1,11004006,401,0
"메인 퀘스트 8-15(NORMAL) \n클리어로 오픈",1,11008015,402,0
"메인 퀘스트 2-2(NORMAL) 클리어로 오픈",1,11002002,503,0
"메인 퀘스트 3-5(NORMAL) 클리어로 오픈",1,11003005,506,0
"메인 퀘스트 2-3(NORMAL) 클리어로 오픈",1,11002003,509,0
"메인 퀘스트 19-1(NORMAL) 클리어로 오픈",1,11019001,510,0
"메인 퀘스트 19-5(NORMAL) 클리어로 오픈",1,11019005,511,0
"메인 퀘스트 18-2(NORMAL) 클리어로 오픈",1,11018002,512,0
"메인 퀘스트 2-1(NORMAL) 클리어로 오픈",1,11002001,601,0
"메인 퀘스트 7-1(NORMAL) 클리어로 오픈",1,11007001,602,0
"메인 퀘스트 16-14(NORMAL) 클리어로 오픈",1,11016014,603,0
"메인 퀘스트 3-1(NORMAL) 클리어로 오픈",1,11003001,701,0
"메인 퀘스트 1-7(NORMAL) 클리어로 오픈",1,11001007,802,0
"메인 퀘스트 2-9(NORMAL) 클리어로 오픈",1,11002009,904,0
"메인 퀘스트 2-9(NORMAL) 클리어로 오픈",1,11002009,905,0
"",1,0,906,0
"메인 퀘스트 3-6(NORMAL) 클리어로 오픈",1,11003006,909,0
"메인 퀘스트 8-1(NORMAL) 클리어로 오픈",1,11008001,910,0
"메인 퀘스트 18-1\n(NORMAL) 클리어로 오픈",1,11018001,1001,0
"메인 퀘스트 3-2(NORMAL) 클리어로 오픈",1,11003002,8001,0
