end_point_block_id,remove_id_5,remove_id_3,remove_id_2,remove_id_1,shortcut_id,cost,remove_id_4
10050650,0,0,30050237,30050236,10050640,3000,0
10050670,0,0,30050414,30050413,10050659,3000,0
10050735,0,30050423,30050422,30050421,10050723,3000,0
10050360,0,30050426,30050425,30050424,10050818,3000,0
10060413,0,30060189,30060188,30060187,10060402,3000,30060190
10060492,0,30060193,30060192,30060191,10060480,3000,0
10060545,0,30060196,30060195,30060194,10060542,3000,30060197
10060606,30060212,30060210,30060209,30060208,10060591,3000,30060211
10070626,0,30070188,30070187,30070186,10070608,3000,30070189
10070926,30070202,30070200,30070199,30070198,10070914,3000,30070201
10071052,30070210,30070208,30070207,30070206,10071038,3000,30070209
10071131,0,30070195,30070194,30070193,10071117,3000,30070196
