value_3,value_2,value_4,value_6,action_type,target_type,value_5,value_1,action_id
0,600,0,0,21,0,0,1101002,1101001
600,2400,0,0,22,0,0,1101003,1101002
-1500,1,50,0,20,0,0,1,1101003
0,900,0,0,21,0,0,1101012,1101011
700,2100,0,0,22,0,0,1101013,1101012
-1500,1,200,0,20,0,0,1,1101013
0,400,0,0,21,0,0,1101022,1101021
500,2000,0,0,22,0,0,1101023,1101022
-1500,1,350,0,20,0,0,1,1101023
0,1000,0,0,21,0,0,1101032,1101031
900,1800,0,0,22,0,0,1101033,1101032
-1500,1,500,0,20,0,0,1,1101033
0,500,0,0,21,0,0,1101042,1101041
800,1600,0,0,22,0,0,1101043,1101042
-1500,1,750,0,20,0,0,1,1101043
2,1,2,0,1,2,0,25,1101101
-2000,1,-100,0,20,0,0,1,1102001
2,1,10,0,1,2,0,20,1102101
0,2,0,0,10,2,0,200000,1102102
0,500,0,0,21,0,0,1103002,1103001
0,0,0,0,3,2,0,1000,1103002
3000,3,0,0,2,2,0,-15,1202001
30000,3,0,0,2,1,0,15,1204001
30000,3,0,0,2,1,0,10,1205001
30000,3,0,0,2,1,0,10,1206001
30000,3,0,0,2,1,0,10,1207001
3000,2,0,0,2,1,0,15,1208001
3000,1,0,0,2,1,0,25,1209001
3000,2,0,0,2,1,0,10,1210001
0,3000,0,0,21,0,0,1210003,1210002
30000,1,0,0,2,1,0,15,1210003
3000,2,0,0,2,1,0,-10,1211001
0,3000,0,0,21,0,0,1211003,1211002
30000,1,0,0,2,2,0,-15,1211003
30000,1,0,0,2,2,0,-10,1213001
30000,2,0,0,2,2,0,-10,1213002
1500,3,0,0,2,2,0,-25,1214001
3000,3,0,0,2,2,0,-20,1216001
30000,3,0,0,2,1,0,20,1218001
30000,3,0,0,2,1,0,15,1219001
30000,3,0,0,2,1,0,15,1220001
30000,3,0,0,2,1,0,15,1221001
3000,2,0,0,2,1,0,20,1222001
3000,1,0,0,2,1,0,30,1223001
3000,2,0,0,2,1,0,15,1224001
0,3000,0,0,21,0,0,1224003,1224002
30000,1,0,0,2,1,0,20,1224003
3000,2,0,0,2,1,0,-10,1225001
0,3000,0,0,21,0,0,1225003,1225002
30000,1,0,0,2,2,0,-20,1225003
30000,1,0,0,2,2,0,-15,1227001
30000,2,0,0,2,2,0,-15,1227002
1500,3,0,0,2,2,0,-35,1228001
30000,3,0,0,2,1,0,20,1229001
3000,2,0,0,2,1,0,20,1230001
0,3000,0,0,21,0,0,1230003,1230002
30000,1,0,0,2,1,0,50,1230003
3000,3,0,0,2,2,0,-25,1232001
30000,3,0,0,2,1,0,25,1234001
30000,3,0,0,2,1,0,20,1235001
30000,3,0,0,2,1,0,20,1236001
30000,3,0,0,2,1,0,20,1237001
3000,2,0,0,2,1,0,25,1238001
3000,1,0,0,2,1,0,35,1239001
3000,2,0,0,2,1,0,20,1240001
0,3000,0,0,21,0,0,1240003,1240002
30000,1,0,0,2,1,0,25,1240003
3000,2,0,0,2,1,0,-10,1241001
0,3000,0,0,21,0,0,1241003,1241002
30000,1,0,0,2,2,0,-25,1241003
30000,1,0,0,2,2,0,-20,1242001
30000,2,0,0,2,2,0,-20,1242002
1500,3,0,0,2,2,0,-75,1244001
30000,3,0,0,2,1,0,20,1246001
30000,3,0,0,2,1,0,30,1247001
0,3000,0,0,21,0,0,1247003,1247002
3000,1,0,0,2,1,0,25,1247003
3000,1,0,0,2,1,0,75,1248001
1500,3,0,0,2,2,0,-90,1249001
30000,2,0,0,2,1,0,10,2101001
30000,2,0,0,2,1,0,10,2102001
3000,2,0,0,2,2,0,-15,2103001
3000,3,0,0,2,2,0,-15,2103002
3000,3,0,0,2,2,0,-25,2105001
30000,3,0,0,2,1,0,25,2107001
30000,3,0,0,2,1,0,10,2108001
30000,3,0,0,2,1,0,10,2109001
30000,3,0,0,2,1,0,10,2110001
3000,2,0,0,2,1,0,15,2111001
3000,1,0,0,2,1,0,25,2112001
3000,2,0,0,2,1,0,10,2113001
0,3000,0,0,21,0,0,2113003,2113002
30000,1,0,0,2,1,0,25,2113003
3000,2,0,0,2,1,0,-10,2114001
0,3000,0,0,21,1,0,2114003,2114002
30000,1,0,0,2,2,0,-25,2114003
30000,1,0,0,2,2,0,-10,2116001
30000,2,0,0,2,2,0,-10,2116002
1500,3,0,0,2,2,0,-50,2117001
0,300,0,0,21,0,0,3301002,3301001
30,2,20,0,20,0,0,1,3301002
1,1,100,0,1,2,0,0,3301101
1,1,40,0,1,2,0,0,3302001
1,1,60,0,1,2,0,0,3302002
1,1,12,0,1,2,0,0,3303001
1,1,28,0,1,2,0,0,3303002
1,1,40,0,1,2,0,0,3304001
1,1,100,0,1,2,0,0,3304002
0,200,0,0,21,0,0,3305011,3305001
0,200,0,0,21,0,0,3305012,3305002
0,200,0,0,21,0,0,3305013,3305003
0,200,0,0,21,0,0,3305014,3305004
0,200,0,0,21,0,0,3305015,3305005
0,200,0,0,21,0,0,3305016,3305006
26,2,15,0,20,0,30,1,3305011
29,2,8,0,20,0,15,1,3305012
30,2,0,0,20,0,0,1,3305013
29,2,-8,0,20,0,-15,1,3305014
26,2,-15,0,20,0,-30,1,3305015
180,1,0,0,10,1,0,30000,3305016
1,1,20,0,1,2,0,0,3305101
274,2,29,0,20,0,0,1,3402001
0,2000,0,0,11,3,0,500000,3402101
0,200,0,0,21,0,0,3403002,3403001
0,1,0,0,10,1,0,200000,3403002
0,0,0,0,4,3,0,0,4001001
0,0,0,0,1,3,0,99999,4001002
9,9,9,9,1,3,9,99999,4002001
