reward_num_3,reward_id_3,reward_type_1,rank_from,reward_type_3,id,reward_num_2,reward_id_4,reward_id_1,reward_id_2,reward_type_4,reward_num_4,reward_num_1,reward_type_5,reward_id_5,reward_type_2,rank_to,reward_num_5
20,20003,8,1,2,1,150000,22003,91002,94002,2,5,150,0,0,12,5,0
15,20003,8,6,2,2,100000,22003,91002,94002,2,2,145,0,0,12,9,0
11,20003,8,10,2,3,80000,22002,91002,94002,2,5,140,0,0,12,19,0
10,20003,8,20,2,4,80000,22002,91002,94002,2,5,130,0,0,12,29,0
9,20003,8,30,2,5,70000,22002,91002,94002,2,4,120,0,0,12,39,0
8,20003,8,40,2,6,70000,22002,91002,94002,2,4,110,0,0,12,49,0
7,20003,8,50,2,7,60000,22002,91002,94002,2,3,100,0,0,12,99,0
2,20003,8,100,2,8,40000,22002,91002,94002,2,2,80,0,0,12,499,0
7,20002,8,500,2,9,20000,22002,91002,94002,2,1,50,0,0,12,999,0
4,20002,8,1000,2,10,16000,22001,91002,94002,2,3,20,0,0,12,4999,0
3,20002,8,5000,2,11,9000,22001,91002,94002,2,2,15,0,0,12,9999,0
8,20001,8,10000,2,12,4000,22001,91002,94002,2,1,10,0,0,12,11999,0
7,20001,8,12000,2,13,3000,22001,91002,94002,2,1,5,0,0,12,13999,0
6,20001,8,14000,2,14,2000,22001,91002,94002,2,1,4,0,0,12,14999,0
5,20001,8,15000,2,15,1800,22001,91002,94002,2,1,3,0,0,12,30000,0
