reward_type_1,reward_num_2,id,reward_num_3,reward_num_1,reward_id_1,reward_type_3,reward_id_2,reward_id_3,reward_type_2,reward_group_id
8,8,1,31,10,91002,2,25021,25015,2,285001001
8,8,2,31,10,91002,2,25021,25015,2,285001002
8,8,3,32,10,91002,2,25021,25015,2,285001003
8,8,4,32,10,91002,2,25021,25015,2,285001004
8,8,5,33,10,91002,2,25021,25015,2,285001005
8,9,6,33,10,91002,2,25021,25015,2,285001006
8,9,7,34,10,91002,2,25021,25015,2,285001007
8,9,8,35,10,91002,2,25021,25015,2,285001008
8,9,9,35,10,91002,2,25021,25015,2,285001009
8,10,10,37,30,91002,2,25021,25015,2,285001010
8,10,11,41,10,91002,2,25021,25015,2,285001011
8,11,12,43,10,91002,2,25021,25015,2,285001012
8,11,13,46,10,91002,2,25021,25015,2,285001013
8,12,14,48,10,91002,2,25021,25015,2,285001014
8,12,15,50,10,91002,2,25021,25015,2,285001015
8,13,16,53,10,91002,2,25021,25015,2,285001016
8,14,17,55,10,91002,2,25021,25015,2,285001017
8,14,18,58,10,91002,2,25021,25015,2,285001018
8,15,19,60,10,91002,2,25021,25015,2,285001019
8,15,20,62,30,91002,2,25021,25015,2,285001020
8,16,21,68,10,91002,2,25021,25015,2,285001021
8,16,22,70,10,91002,2,25021,25015,2,285001022
8,16,23,72,10,91002,2,25021,25015,2,285001023
8,17,24,75,10,91002,2,25021,25015,2,285001024
8,18,25,77,10,91002,2,25021,25015,2,285001025
8,18,26,79,10,91002,2,25021,25015,2,285001026
8,19,27,82,10,91002,2,25021,25015,2,285001027
8,19,28,84,10,91002,2,25021,25015,2,285001028
8,19,29,86,10,91002,2,25021,25015,2,285001029
8,20,30,89,30,91002,2,25021,25015,2,285001030
8,20,31,94,10,91002,2,25021,25015,2,285001031
8,21,32,96,10,91002,2,25021,25015,2,285001032
8,21,33,99,10,91002,2,25021,25015,2,285001033
8,22,34,101,10,91002,2,25021,25015,2,285001034
8,22,35,103,10,91002,2,25021,25015,2,285001035
8,23,36,106,10,91002,2,25021,25015,2,285001036
8,23,37,108,10,91002,2,25021,25015,2,285001037
8,24,38,111,10,91002,2,25021,25015,2,285001038
8,25,39,113,10,91002,2,25021,25015,2,285001039
8,25,40,115,30,91002,2,25021,25015,2,285001040
8,26,41,121,10,91002,2,25021,25015,2,285001041
8,27,42,123,10,91002,2,25021,25015,2,285001042
8,28,43,125,10,91002,2,25021,25015,2,285001043
8,28,44,128,10,91002,2,25021,25015,2,285001044
8,29,45,130,10,91002,2,25021,25015,2,285001045
8,30,46,132,10,91002,2,25021,25015,2,285001046
8,30,47,135,10,91002,2,25021,25015,2,285001047
8,31,48,137,10,91002,2,25021,25015,2,285001048
8,31,49,139,10,91002,2,25021,25015,2,285001049
8,31,50,142,30,91002,2,25021,25015,2,285001050
8,32,51,144,10,91002,2,25021,25015,2,285001051
8,32,52,146,10,91002,2,25021,25015,2,285001052
8,32,53,149,10,91002,2,25021,25015,2,285001053
8,33,54,152,10,91002,2,25021,25015,2,285001054
8,33,55,155,10,91002,2,25021,25015,2,285001055
8,33,56,157,10,91002,2,25021,25015,2,285001056
8,34,57,160,10,91002,2,25021,25015,2,285001057
8,34,58,163,10,91002,2,25021,25015,2,285001058
8,34,59,166,10,91002,2,25021,25015,2,285001059
8,35,60,169,30,91002,2,25021,25015,2,285001060
8,35,61,171,10,91002,2,25021,25015,2,285001061
8,35,62,174,10,91002,2,25021,25015,2,285001062
8,36,63,177,10,91002,2,25021,25015,2,285001063
8,36,64,180,10,91002,2,25021,25015,2,285001064
8,36,65,182,10,91002,2,25021,25015,2,285001065
8,37,66,185,10,91002,2,25021,25015,2,285001066
8,37,67,187,10,91002,2,25021,25015,2,285001067
8,37,68,190,10,91002,2,25021,25015,2,285001068
8,38,69,193,10,91002,2,25021,25015,2,285001069
8,38,70,196,30,91002,2,25021,25015,2,285001070
