reward_id,reward_type,level,reward_count,distance_to,distance_from,bonus_label,label_text,id,season_id
53003,22,2,8,-1,15,2,"",10001,3
53003,22,1,5,14,1,1,"",10002,3
52019,23,0,2,0,0,0,"와카나의 시혜",10003,3
53003,22,2,8,-1,15,2,"",10004,4
53003,22,1,5,14,1,1,"",10005,4
52019,23,0,2,0,0,0,"와카나의 시혜",10006,4
53003,22,2,8,-1,15,2,"",10007,5
53003,22,1,5,14,1,1,"",10008,5
52019,23,0,2,0,0,0,"와카나의 시혜",10009,5
53003,22,2,8,-1,15,2,"",10010,6
53003,22,1,5,14,1,1,"",10011,6
52019,23,0,2,0,0,0,"와카나의 시혜",10012,6
53003,22,2,8,-1,15,2,"",10013,7
53003,22,1,5,14,1,1,"",10014,7
52019,23,0,2,0,0,0,"와카나의 시혜",10015,7
