9e4f04566860031865429ed5e1e86e9ecc25cda60c78b238dce0b6a88e4746fd,unit_enhance_id_1,battle_effect_id_2,challenge_id_3,challenge_id_2,unit_id_2,schedule_id,unit_id_3,unit_id_4,unit_enhance_id_4,unit_id_5,battle_effect_id_3,background,difficulty,battle_effect_id_4,round_id,unit_id_1,battle_effect_id_1,limit_time,quest_id,unit_enhance_id_3,bg_position,display_unit_id,battle_effect_id_5,unit_enhance_id_2,unit_enhance_id_5,start_time,challenge_id_1
100101,100101,0,100305,100303,105401,1001,180301,110301,100101,106001,0,100003,1,0,1,128801,14,90,1001001,100101,50,180301,0,100101,100101,"2025/07/05 12:00:00",100203
100201,100201,0,100101,100204,124501,1001,101801,123701,100201,106001,0,100003,1,0,2,110301,13,90,1001002,100201,50,123701,0,100201,100201,"2025/07/05 12:00:00",100203
100301,100301,0,100102,100101,117301,1001,110301,106901,100301,104001,0,100003,1,0,3,105401,20,90,1001003,100301,50,104001,0,100301,100301,"2025/07/05 12:00:00",100304
100401,100401,0,100304,100302,101801,1001,101401,123001,100402,129001,0,100003,1,0,4,103401,14,90,1001004,100401,50,101801,0,100401,100402,"2025/07/05 12:00:00",100202
100501,100501,0,100102,100101,103001,1001,102801,102601,100501,111001,0,100003,1,0,5,104901,13,90,1001005,100501,50,103001,0,100501,100501,"2025/07/05 12:00:00",100303
100601,100601,0,100304,100302,110301,1001,123001,106001,100601,100801,0,100003,1,0,6,106501,14,90,1001006,100602,50,100801,0,100601,100601,"2025/07/05 12:00:00",100202
100701,100702,2,100101,100203,103401,1001,105501,106001,100701,108301,0,100003,1,0,7,128301,13,90,1001007,100701,50,105501,0,100701,100701,"2025/07/05 12:00:00",100202
100801,100801,7,100102,100101,105301,1001,101801,112201,100801,123001,0,100003,1,0,8,105201,14,90,1001008,100801,50,105201,0,100801,100802,"2025/07/05 12:00:00",100303
100901,100901,11,100304,100302,108901,1001,113401,110301,100901,124501,0,100003,1,0,9,100701,20,90,1001009,100901,50,113401,0,100901,100901,"2025/07/05 12:00:00",100202
101001,101002,1,100102,100101,103401,1001,124101,100901,101002,115001,8,100003,2,0,10,106601,13,90,1001010,101005,50,100901,0,101002,101005,"2025/07/05 12:00:00",100303
101101,101102,16,100305,100303,117501,1001,110301,106901,101106,121301,18,100003,2,0,11,105401,14,90,1001011,101105,50,117501,0,101105,101105,"2025/07/05 12:00:00",100203
101201,101202,3,100101,100205,126101,1001,117301,123001,101206,129001,10,100003,2,0,12,108901,13,90,1001012,101205,50,117301,0,101206,101206,"2025/07/05 12:00:00",100203
101301,101302,6,100102,100101,123001,1001,106001,118501,101306,129001,11,100003,2,0,13,101401,14,90,1001013,101301,50,118501,0,101306,101306,"2025/07/06 12:00:00",100303
101401,101402,7,100305,100303,105301,1001,126101,105501,101402,123001,12,100003,2,0,14,103401,13,90,1001014,101406,50,126101,0,101402,101406,"2025/07/06 12:00:00",100203
101501,101502,2,100101,100205,103401,1001,106901,123001,101506,108301,9,100003,2,0,15,100501,14,90,1001015,101506,50,108301,0,101502,101504,"2025/07/06 12:00:00",100203
101601,101602,14,100101,100303,112201,1001,123001,118501,101606,129001,17,100003,3,18,16,101401,13,90,1001016,101606,50,101401,0,101605,101606,"2025/07/07 12:00:00",100203
101701,101702,14,100101,100303,100501,1001,101401,123001,101706,129001,15,100003,3,16,17,108901,13,90,1001017,101702,50,129001,0,101702,101706,"2025/07/07 12:00:00",100203
101801,101805,14,100101,100303,123301,1001,103401,105501,101802,129001,19,100003,3,0,18,120001,13,90,1001018,101802,50,120001,0,101805,101806,"2025/07/07 12:00:00",100203
100101,100101,0,100305,100303,180401,1002,121001,107501,100101,111801,0,100003,1,0,1,105801,14,90,1002001,100101,50,105801,0,100101,100101,"2025/08/08 12:00:00",100203
100201,100201,0,100101,100205,112001,1002,180601,106001,100201,127201,0,100003,1,0,2,121101,13,90,1002002,100201,50,106001,0,100201,100201,"2025/08/08 12:00:00",100203
100301,100301,0,100102,100101,105901,1002,107601,180501,100301,125301,0,100003,1,0,3,111901,20,90,1002003,100301,50,105901,0,100301,100301,"2025/08/08 12:00:00",100304
100401,100401,0,100304,100302,103401,1002,110301,101201,100401,111401,0,100003,1,0,4,104601,14,90,1002004,100401,50,111401,0,100401,100401,"2025/08/08 12:00:00",100202
100501,100501,0,100102,100101,103401,1002,106001,129001,100502,100801,0,100003,1,0,5,105401,13,90,1002005,100501,50,105401,0,100501,100501,"2025/08/08 12:00:00",100303
100601,100601,0,100304,100302,101101,1002,112201,129001,100602,100801,0,100003,1,0,6,106601,14,90,1002006,100601,50,106601,0,100601,100601,"2025/08/08 12:00:00",100202
100701,100701,1,100101,100205,108901,1002,100501,103401,100701,123001,0,100003,1,0,7,104501,13,90,1002007,100701,50,104501,0,100701,100702,"2025/08/08 12:00:00",100202
100801,100801,2,100102,100101,105501,1002,101401,123001,100802,108301,0,100003,1,0,8,103401,14,90,1002008,100801,50,103401,0,100801,100801,"2025/08/08 12:00:00",100303
100901,100901,3,100303,100302,128801,1002,103401,100901,100902,129001,0,100003,1,0,9,108901,20,90,1002009,100902,50,100901,0,100902,100902,"2025/08/08 12:00:00",100202
101001,101002,6,100102,100101,128801,1002,126101,123001,101006,129001,0,100003,2,0,10,100701,13,90,1002010,101006,50,128801,0,101006,101006,"2025/08/08 12:00:00",100302
101101,101102,7,100303,100302,106601,1002,103401,102201,101102,112201,0,100003,2,0,11,105201,14,90,1002011,101102,50,102201,0,101102,101105,"2025/08/08 12:00:00",100202
101201,101206,8,100101,100205,112201,1002,123001,129001,101206,100801,1,100003,2,0,12,129601,20,90,1002012,101206,50,112201,0,101205,101202,"2025/08/08 12:00:00",100202
101301,101302,9,100102,100101,123301,1002,123501,101101,101301,108301,2,100003,2,0,13,100501,14,90,1002013,101305,50,123301,0,101305,101304,"2025/08/09 12:00:00",100302
101401,101402,10,100303,100301,123001,1002,106001,118501,101406,129001,3,100003,2,0,14,101401,13,90,1002014,101401,50,123001,0,101406,101406,"2025/08/09 12:00:00",100203
101501,101505,19,100101,100205,103401,1002,105501,130801,101506,129001,0,100003,2,0,15,120001,14,90,1002015,101502,50,129001,0,101502,101506,"2025/08/09 12:00:00",100202
111601,111602,15,100101,100302,105301,1002,126101,105501,111602,123001,0,100003,3,0,16,103401,13,90,1002016,111606,50,126101,0,111602,111606,"2025/08/10 12:00:00",100305
111701,111705,16,100101,100303,104901,1002,129601,110301,111704,129001,0,100003,3,0,17,120001,14,90,1002017,111706,50,129601,0,111701,111706,"2025/08/10 12:00:00",100203
111801,111802,17,100101,100302,130901,1002,126101,129001,111806,100801,19,100003,3,0,18,108901,13,90,1002018,111806,50,108901,0,111806,111802,"2025/08/10 12:00:00",100203
100101,100101,0,100305,100303,106401,1003,105901,106001,100101,127201,0,100003,1,0,1,105801,13,90,1003001,100101,50,105801,0,100101,100101,"2025/09/09 12:00:00",100203
100201,100201,0,100101,100205,100301,1003,122501,122401,100201,100201,0,100003,1,0,2,100101,14,90,1003002,100201,50,100101,0,100201,100201,"2025/09/09 12:00:00",100203
100301,100301,0,100102,100101,103101,1003,104401,100601,100301,102201,0,100003,1,0,3,100701,13,90,1003003,100301,50,104401,0,100301,100301,"2025/09/09 12:00:00",100304
100401,100401,0,100304,100302,102701,1003,100901,105101,100401,101301,0,100003,1,0,4,105601,14,90,1003004,100401,50,105601,0,100401,100401,"2025/09/09 12:00:00",100202
100501,100501,0,100102,100101,105301,1003,103001,105501,100501,100801,0,100003,1,0,5,104501,13,90,1003005,100501,50,105301,0,100501,100501,"2025/09/09 12:00:00",100303
100601,100601,0,100304,100302,126901,1003,118201,131201,100602,118101,0,100003,1,0,6,123301,14,90,1003006,100602,50,118201,0,100602,100602,"2025/09/09 12:00:00",100202
100701,100701,14,100101,100205,106601,1003,103401,102201,100701,112201,0,100003,1,0,7,105201,13,90,1003007,100701,50,105201,0,100701,100701,"2025/09/09 12:00:00",100202
100801,100801,14,100102,100101,115001,1003,112201,123001,100802,180601,0,100003,1,0,8,103401,13,90,1003008,100801,50,103401,0,100801,100801,"2025/09/09 12:00:00",100303
