catch_copy,age,voice_id,birth_day,favorite,blood_type,guild,birth_month,self_text,voice,unit_id,race,height,guild_id,weight,unit_name
"다른 사람을 돕기 좋아하는 낙천적인 격투 소녀",16,0,27,"다른 사람 돕기, 응원",A,"트윙클 위시",8,"안녕! 히요리야!\n곤란한 사람이 있으면 도와줄게!\n괜찮으면 같이 갈래?","토야마 나오",100101,"수인족",155,2,44,"히요리"
"전투 지원이 특기인 마음씨 고운 소녀",17,0,5,"요리, 인간 관찰",O,"트윙클 위시",4,"도움이 될 수 있을지는 잘 모르겠지만…\n나도 열심히 모두를 서포트할게!","타네다 리사",100201,"휴먼족",158,2,47,"유이"
"쿨하고 올곧은 검술사",18,0,12,"독서, 승마, 차 마시기",B,"트윙클 위시",1,"너랑 만난 것도 분명 인연일 거야\n함께 탑의 정상을 목표로 하는\n동료로서 힘내자 잘 부탁해","하야미 사오리",100301,"마족",163,2,46,"레이"
"탐험을 좋아하는 장난꾸러기",9,0,10,"장난, 탐험",O,"리틀 리리컬",8,"함정이라면 맡겨줘!\n오빠, 빠지지 않도록 조심해~","모로호시 스미레",100401,"휴먼족",128,5,27,"미소기"
"히어로를 동경하는 견습 기사 소녀",12,0,25,"히어로 놀이",O,"왕궁기사단(NIGHTMARE)",11,???,"시모다 아사미",100501,"수인족",146,8,40,"마츠리"
"애교 만점인 모두의 인기인",13,0,22,"색소폰",O,"악마왕국군(디아볼로스)",11,"아카리는 아직 모르는 게 많아서…\n그러니까 앞으로 이것저것 가르쳐주세요, 오빠!","아사쿠라 아즈미",100601,"마족",150,7,42,"아카리"
"푸딩을 좋아하는 유령 소녀",14,0,23,"푸딩 먹기",B,"악마왕국군(디아볼로스)",1,"어려운 건 모르는 거야~\n그냥 매일 푸딩을 먹을 수 있다면\n유령이어도 좋은 거야~","아마미야 소라",100701,"마족",130,7,32,"미야코"
"나는 누구보다도 아름다워",14,0,10,"거울로 자기 얼굴 보기",AB,"바이스플뤼겔 랜드솔 지부",10,"난 정말 아름다워…\n귀엽고 아름답다니, 정말 죄라고 생각하지만\n원래 이렇게 태어났으니 어쩔 수 없어♪","오오조라 나오미",100801,"엘프족",150,15,40,"유키"
"전생을 믿고 있는 중2병 환자. 「질풍의 명희」",17,0,5,"소설 집필",A,"트와일라이트 캐러밴",7,"알겠나? 절대 내 본명을 불러서는 안 된다\n항상 「기관」의 눈과 귀를 의심해라\n그것이 살아남기 위한 기술이다…!","타카노 아사미",100901,"마족",159,13,45,"안나"
"마호마호 왕국의 공주",16,0,22,"공상에 잠기기, 인형 수집",O,"자경단(카온)",9,"마호마호 왕국의 공주인 마호 공주이옵니다!\n왜 이상한 표정을 짓고 계시옵니까?\n마호마호 왕국은 저 먼 곳에 있는 나라이옵니다","우치다 마아야",101001,"수인족",155,10,42,"마호"
"붙임성 있는 투 머치 토커형 여동생 소녀",15,0,25,"재봉",A,"라비린스",8,"기억나지 않으실 거 같지만… 저는 여동생이에요!\n그러니까 오빠라고 불러도 될까요?","아스미 카나",101101,"휴먼족",156,3,44,"리노"
"모두를 위해 초능력을 사용하는 잠꾸러기 공주",17,0,24,"여동생과 놀기, 한 번 깼다가 다시 자기, 낮잠, 일찍 자기",A,"포레스티에",12,"난 하츠네! 도움이 필요한 사람 편이야!\n도움이 필요할 땐 언제든 말해♪\n내 초… 마, 마법으로 도와줄 테니까!","오오하시 아야카",101201,"엘프족",156,6,46,"하츠네"
"완전 오타쿠 마법 소녀",18,0,21,"독서, 마법",O,"트와일라이트 캐러밴",8,"","요시무라 하루카",101301,"마족",166,13,55,"나나카"
"두뇌 명석한 미소녀 탐정",15,0,3,"독서, 추리",AB,"자경단(카온)",11,test,"미나세 이노리",101401,"수인족",152,10,41,"카스미"
"모성이 넘치고 자상한 모두의 「미사토 선생님」",21,0,5,"그림책 만들기",O,"포레스티에",9,test,"코우다 마리코",101501,"엘프족",165,6,54,"미사토"
"천진난만한 인기 카리스마 모델",18,0,10,"패션",O,"루센트 학원",4,"히데사이, 하이욤~!\n난 한자랑 계산은 쫌… 이랄까 겁나 답없어~\n그치만 패션은 맡겨달라고~!","우에사카 스미레",101601,"마족",167,14,48,"스즈나"
"항상 「어떻게든 될 거야~」라는 천진난만한 소녀",19,0,7,"댄스, 공수도",A,"자경단(카온)",7,"안녀~엉! 노래하고 춤추고\n최고로 신난다~! 자자, 너도 같이 춤추자~!","타카모리 나츠미",101701,"수인족",158,10,53,"카오리"
"남자를 매료시키는 순수한 여교사",23,0,14,"연애 소설, 연애극, 연애 만화 감상",B,"루센트 학원",8,"항상 구해줘서 고마워\n내가 연상인데 항상 의지만 해서 미안해~","이토 시즈카",101801,"마족",162,14,52,"이오"
"노래도 당근도 토끼도 너무 좋아♪",10,0,3,"귀여운 것 수집하기",O,"리틀 리리컬",4,"깡총깡총, 토끼가 되고 싶어~♪\n미미, 토끼가 되면\n맨 처음으로 오빠한테 보여줄게!","히다카 리나",102001,"수인족",117,5,21,"미미"
"울보, 겁쟁이에 보살펴 주고 싶은 소녀",12,0,9,"연극 감상, 소꿉놀이",B,"사렌디아 구호원",6,"저기, 그게… 저, 쿠, 쿠루미예요오…\n자기소개하면 되는 건가…\n부, 부끄러워서… 죄, 죄송해요오오!","우에다 카나",102101,"휴먼족",150,9,40,"쿠루미"
"낯가림 심한 새침데기 소녀",13,0,22,"게임 전반",O,"악마왕국군(디아볼로스)",11,"저, 저기… 이, 이럴 땐\n뭐라고 말하면 되는 거지…\m으으, 왜 말이 잘 안 나오는 걸까…","하라 사유리",102201,"마족",150,7,40,"요리"
