order,name,active_trigger_id_2,is_leader,passive_support_id_3,passive_support_id_1,active_trigger_id_1,skin_id,effect_title,effect_description,passive_support_id_2,bsm_chara_id,unlock_solo_mode_id
2,"야마토",0,0,0,10000101,2210101,130011,"공격력과 공격 속도 (소) 증가","공격력을 15％ 증가시키고 공격 속도를 10％\n증가시킨다.",0,100001,0
2,"와카나",0,0,0,10000201,2210201,130111,"최대 HP와 공격 속도 (소) 증가","최대 HP를 15％ 증가시키고 공격 속도를 10％\n증가시킨다.",0,100002,0
2,"후부키",0,0,0,0,2210301,130211,"적의 이동 속도와 공격 속도 (소) 감소","전투 시작부터 3초간 적의 이동 속도와 공격\n속도를 15％ 감소시킨다.",0,100003,0
2,"페코린느",0,0,0,10000401,0,105811,"최대 HP (중) 증가","최대 HP를 25％ 증가시킨다.",0,100004,1
2,"캬루",0,0,0,0,2210501,106011,"적의 이동 속도 (중) 감소","전투 시작부터 3초간 적의 이동 속도를 25％\n감소시킨다.",0,100005,2
2,"콧코로",0,0,0,10000601,0,105911,"비용 상한 (대) 증가","비용 상한을 50％ 증가시킨다.",0,100006,3
3,"셰피",0,0,0,0,2210701,106411,"이동 속도 (중) 증가","이동 속도를 25％ 증가시킨다.",0,100007,4
2,"리리",0,0,0,10000801,2210801,131311,"공격력과 이동 속도 (소) 증가","공격력을 15％ 증가시키고 이동 속도를 10％\n증가시킨다.",0,100008,5
2,"크리아",0,0,0,10000901,2210901,131411,"최대 HP와 이동 속도 (소) 증가","최대 HP를 15％ 증가시키고 이동 속도를 10％\n증가시킨다.",0,100009,6
2,"프레시아",0,0,0,10001001,2211001,131511,"비용 상한과 이동 속도 (소) 증가","비용 상한을 25％ 증가시키고 이동 속도를 \n10％ 증가시킨다.",0,100010,7
2,"클로체",0,0,0,10001101,2211101,126411,"공격력과 공격 속도 (소) 증가","공격력을 10％ 증가시키고 전투 시작부터 \n3초간 공격 속도를 15％ 증가시킨다.",0,100011,8
3,"라이라엘",0,0,0,0,2211201,126511,"공격력 (중) 증가","전투 시작부터 3초간 공격력을 25％ 증가\n시킨다.",0,100012,9
2,"린드",0,0,0,0,2211301,127711,"공격 속도와 공격력 증가","전투 시작부터 3초간 공격 속도를 10％ 증가\n시키고 그 후 공격력을 25％ 증가시킨다.",0,100013,10
2,"블룸",0,0,0,0,2211401,127811,"자신의 공격 속도와 적의 공격력 감소","전투 시작부터 3초간 자신의 공격 속도를\n10％ 감소시키고 그 후 적의 공격력을 25％\n감소시킨다.",0,100014,11
3,"쿠루루",0,0,0,10001501,0,130911,"비용 상한과 HP (소) 증가","비용 상한을 25％ 증가시키고 HP를 15％\n증가시킨다.",10001502,100015,12
2,"아네모네",0,0,0,0,2211601,129611,"상대의 공격력과 공격 속도 (소) 감소","적의 공격력과 공격 속도를 10％ 감소시킨다.",0,100016,13
3,"네피＝네라",0,0,0,0,2211701,129711,"상대의 이동 속도 (대) 감소","전투 시작부터 1.5초간 적의 이동 속도를 \n50％ 감소시킨다.",0,100017,14
1,"야마토",0,1,0,0,3110101,130011,"적에게 참격을 날려 공격한다","남은 HP가 50％ 이하가 됐을 때 발동한다.\n3초간 참격을 날려 (대) 데미지를 입힌다.",0,101001,0
