icon_id,wave_group_id_3,position_y,end_time,clear_reward_group,reward_image_4,drop_reward_group,recommended_knight_rank,quest_id,position_x,area_id,wave_group_id_1,drop_gold,quest_name,limit_time,reward_image_2,team_exp,reward_image_5,love,stamina,daily_bonus_reward_group,wave_group_id_2,unit_exp,reward_image_1,start_time,reward_image_3
100160,0,25,"2030/12/17 14:59:59",281001001,0,181001001,10,81001001,0,81001,810010011,182100,"홍염의 심역 1-1",90,25011,10,0,10,10,381001001,0,215,25021,"2025/03/13 8:00:00",0
100160,0,100,"2030/12/17 14:59:59",281001002,0,181001002,10,81001002,200,81001,810010021,182100,"홍염의 심역 1-2",90,25011,10,0,10,10,381001002,0,215,25021,"2025/03/13 8:00:00",0
100160,0,175,"2030/12/17 14:59:59",281001003,0,181001003,10,81001003,400,81001,810010031,182100,"홍염의 심역 1-3",90,25011,10,0,10,10,381001003,0,215,25021,"2025/03/13 8:00:00",0
100160,0,50,"2030/12/17 14:59:59",281001004,0,181001004,10,81001004,550,81001,810010041,182100,"홍염의 심역 1-4",90,25011,10,0,10,10,381001004,0,215,25021,"2025/03/13 8:00:00",0
100160,0,125,"2030/12/17 14:59:59",281001005,0,181001005,10,81001005,750,81001,810010051,182100,"홍염의 심역 1-5",90,25011,10,0,10,10,381001005,0,215,25021,"2025/03/13 8:00:00",0
100170,0,200,"2030/12/17 14:59:59",281001006,0,181001006,10,81001006,950,81001,810010061,182100,"홍염의 심역 1-6",90,25011,10,0,10,10,381001006,0,215,25021,"2025/03/13 8:00:00",0
100160,0,25,"2030/12/17 14:59:59",281001007,0,181001007,10,81001007,1100,81001,810010071,182100,"홍염의 심역 1-7",90,25011,10,0,10,10,381001007,0,215,25021,"2025/03/13 8:00:00",0
100160,0,100,"2030/12/17 14:59:59",281001008,0,181001008,10,81001008,1300,81001,810010081,182100,"홍염의 심역 1-8",90,25011,10,0,10,10,381001008,0,215,25021,"2025/03/13 8:00:00",0
100160,0,175,"2030/12/17 14:59:59",281001009,0,181001009,10,81001009,1500,81001,810010091,182100,"홍염의 심역 1-9",90,25011,10,0,10,10,381001009,0,215,25021,"2025/03/13 8:00:00",0
81001,0,50,"2030/12/17 14:59:59",281001010,0,181001010,10,81001010,1750,81001,810010101,182100,"홍염의 심역 1-10",90,25011,10,0,10,10,381001010,0,215,25021,"2025/03/13 8:00:00",0
100160,0,25,"2030/12/17 14:59:59",281001011,0,181001011,20,81001011,2000,81001,810010111,182100,"홍염의 심역 2-1",90,25011,10,0,10,10,381001011,0,215,25021,"2025/03/13 8:00:00",0
100160,0,100,"2030/12/17 14:59:59",281001012,0,181001012,20,81001012,2200,81001,810010121,182100,"홍염의 심역 2-2",90,25011,10,0,10,10,381001012,0,215,25021,"2025/03/13 8:00:00",0
