reward_id,reward_count,sub_story_id,title,condition_sub_story_id,condition_boss_id,contents_type,original_event_id,emblem_id,read_condition_time,condition_quest_id,reward_type,page_num
0,0,10130011,"1번째 사진",0,1015901,1,10130,0,"2024/11/28 15:00:00",10159115,0,1
91002,20,10130012,"1번째 메시지",10130011,0,2,10130,0,"2024/11/28 15:00:00",0,8,1
91002,20,10130013,"어엿한 모험가를 목표로",0,0,3,10130,11001276,"2024/12/01 5:00:00",0,8,8
0,0,10130021,"2번째 사진",10130011,0,1,10130,0,"2024/11/29 5:00:00",0,0,2
91002,20,10130022,"2번째 메시지",10130011,0,2,10130,0,"2024/11/28 15:00:00",0,8,1
0,0,10130031,"3번째 사진",10130021,0,1,10130,0,"2024/11/29 5:00:00",0,0,3
91002,20,10130032,"3번째 메시지",10130021,0,2,10130,0,"2024/11/29 5:00:00",0,8,2
0,0,10130041,"4번째 사진",10130031,0,1,10130,0,"2024/11/30 5:00:00",0,0,4
91002,20,10130042,"4번째 메시지",10130021,0,2,10130,0,"2024/11/29 5:00:00",0,8,2
0,0,10130051,"5번째 사진",10130041,0,1,10130,0,"2024/11/30 5:00:00",0,0,5
91002,20,10130052,"5번째 메시지",10130031,0,2,10130,0,"2024/11/29 5:00:00",0,8,3
0,0,10130061,"6번째 사진",10130051,0,1,10130,0,"2024/12/01 5:00:00",0,0,6
91002,20,10130062,"6번째 메시지",10130031,0,2,10130,0,"2024/11/29 5:00:00",0,8,3
0,0,10130071,"7번째 사진",10130061,0,1,10130,0,"2024/12/01 5:00:00",0,0,7
91002,20,10130072,"7번째 메시지",10130041,0,2,10130,0,"2024/11/30 5:00:00",0,8,4
91002,20,10130082,"8번째 메시지",10130041,0,2,10130,0,"2024/11/30 5:00:00",0,8,4
91002,20,10130092,"9번째 메시지",10130051,0,2,10130,0,"2024/11/30 5:00:00",0,8,5
91002,20,10130102,"10번째 메시지",10130051,0,2,10130,0,"2024/11/30 5:00:00",0,8,5
91002,20,10130112,"11번째 메시지",10130061,0,2,10130,0,"2024/12/01 5:00:00",0,8,6
91002,20,10130122,"12번째 메시지",10130061,0,2,10130,0,"2024/12/01 5:00:00",0,8,6
91002,20,10130132,"13번째 메시지",10130071,0,2,10130,0,"2024/12/01 5:00:00",0,8,7
91002,20,10130142,"14번째 메시지",10130071,0,2,10130,0,"2024/12/01 5:00:00",0,8,7
