sp_label_text,normal_label_text,unit_id
"장비 중","평상시",106101
"특수 스킬","평상시",106701
"권능 해방 중","평상시",106801
"특수 스킬","평상시",106901
"변신 중","평상시",115801
"특수 스킬","평상시",116401
"특수 스킬","평상시",118201
"특수 스킬","평상시",118501
"특수 스킬","평상시",118601
"초회 발동 시","평상시",120801
"특수 스킬","평상시",122001
"공투 중","평상시",122301
"특수 스킬","평상시",122701
"특수 스킬","평상시",123001
"공투 중","평상시",125001
"특수 스킬","평상시",125801
"특수 스킬","평상시",126001
"특수 스킬","평상시",126101
"특수 스킬","평상시",126201
"【풀 충전】 중","평상시",126401
"특수 스킬","평상시",126501
"특수 스킬","평상시",129001
"특수 스킬","평상시",129301
"특수 스킬","평상시",129401
"초회 발동 시","평상시",129501
"특수 스킬","평상시",129601
"특수 스킬","평상시",129701
"특수 스킬","평상시",130001
"특수 스킬","평상시",130101
"특수 스킬","평상시",131201
"특수 스킬","평상시",131801
"초회 발동 시","평상시",132901
"특수 스킬","평상시",181201
