command_id,param_01,param_02,param_05,drama_id,command_type,param_03,param_08,param_06,param_04,param_07
110010001,2,1000001,-250,1001,1,55,<weapon>_idle,1.3,-100,0
110010002,100,100,1,1001,31,0,"",1,0,""
110010003,101,101,1,1001,31,0,"",0,0,""
110010004,4,4,1,1001,31,0,"",1,0,""
110010005,5,5,1,1001,31,94.5,"",1,0,""
110010006,0,0,"",1001,91,"","","","",""
110010007,0.4,0,"",1001,93,"","","","",""
110010008,1000001,<weapon>_joy_short,"",1001,3,0,"",0.2,"",""
110010009,1.3,0,"",1001,93,"","","","",""
110010010,1000001,<weapon>_run,"",1001,3,1,"",0,"",""
110010011,1000001,800,0,1001,2,-250,"","",1,""
110010012,0.7,0,"",1001,93,"","","","",""
110010013,101,1,"",1001,32,"","","","",""
110010014,0.7,0,"",1001,93,"","","","",""
111010001,2,1000001,-250,1101,1,55,<weapon>_run,1.3,-640,0
111010002,100,100,1,1101,31,0,"",1,0,""
111010003,101,101,1,1101,31,0,"",0,0,""
111010004,4,4,1,1101,31,0,"",1,0,""
111010005,4,0,"",1101,35,"","","","",""
111010006,5,5,1,1101,31,0,"",1,0,""
111010007,10,10,1,1101,31,0,"",1,0,""
111010008,0,"","",1101,91,"","","","",""
111010009,100,1,"",1101,35,"","","","",""
111010010,1000001,640,0,1101,2,-250,"","",2.1,""
111010011,1.7,0,"",1101,93,"","","","",""
111010012,101,1,"",1101,32,"","","","",""
111010013,0.7,0,"",1101,93,"","","","",""
120010001,1,1000001,-240,2001,1,55,look_loop,1.3,0,0
120010002,1,1,1,2001,31,0,"",0,0,0
120010003,1,0,"",2001,35,"","","","",""
120010004,1,1,"",2001,32,"","","","",""
120010005,2,2,1,2001,31,345.4,"",1,0,0
120010006,2,0,"",2001,35,"","","","",""
120010007,3,3,1,2001,31,345.4,"",0,0,0
120010008,3,0,"",2001,35,"","","","",""
120010009,3,1,"",2001,32,"","","","",""
120010010,31000001,31000001,1,2001,31,-345.4,"",1,0,""
120010011,31000002,31000002,1,2001,31,345.4,"",1,0,""
120010012,100,100,1,2001,31,0,"",1,0,""
120010013,101,101,1,2001,31,0,"",0,0,""
120010014,0,"","",2001,91,"","","","",""
120010015,100,1,"",2001,35,"","","","",""
120010016,1000001,look_in,1,2001,3,0,"",0,look_loop,0
120010017,1.3,0,"",2001,93,"","","","",""
121010001,12,998,1,2101,31,0,"",0,0,""
121010002,14,997,1,2101,31,0,"",0,0,""
121010003,16,996,1,2101,31,0,"",0,0,""
121010004,31000001,0,"",2101,32,"","","","",""
121010005,31000002,0,"",2101,32,"","","","",""
121010006,0,0,0,2101,121,-1,"",0,1,""
121010007,1,1,"",2101,35,"","","","",""
121010008,3,1,"",2101,35,"","","","",""
121010009,1000001,pointing,"",2101,3,0,"",0,"",""
121010010,1,0,"",2101,93,"","","","",""
121010011,505,100,2,2101,121,-1.47,"",0,1.47,""
121010012,1000001,run_talk1,"",2101,3,1,"",0.2,"",""
121010013,1000001,100,0,2101,2,-240,"","",1,""
121010014,se_travel,se_travel_treasure_cha_run,"",2101,23,0,"","","",""
