category,asm_type,detail,genre_id,difficulty,asm_id,image_id
1,2,"「플라티나」라고도 불리는 금속은 「금」이다",1,1,1110001,0
1,2,"로마 숫자로 「1」을 표현할 때 쓰는 알파벳은 「I」다",1,1,1110002,0
1,2,"영어로 「토네이도」는 「태풍」을 의미한다",1,1,1110003,0
1,2,"「미확인 비행 물체」의 약칭은 「USO」이다",1,1,1110004,0
1,2,"감기약으로 사용되는 한방약인 「葛根湯」은 「갈근탕」이라고 읽는다",1,1,1110005,0
1,2,"「지능 지수」는 알파벳 2글자로 쓰면 「ID」이다",1,1,1110006,0
1,2,"「횡단보도」는 영어로 「스트라이프 존」이라고 한다",1,1,1110007,0
1,2,"초승달 모양을 하고 있다고 하여 이름이 붙은 빵은 「크루아상」이다",1,1,1110008,0
1,2,"영어로 아쿠아리움이라고 부르는 것은 「미술관」을 의미한다",1,1,1110009,0
1,2,"시나 시조를 셀 때는 「한 구, 두 구」로 센다",1,1,1110011,0
1,2,"「너」 혹은 「당신」 등, 상대를 지칭하는 말을 「일인칭」이라고 한다",1,1,1110014,0
1,2,"업무 도중 불필요한 이야기 등을 하는 것을 「농땡이 부리다」라고 한다",1,1,1110015,0
1,2,"엘리베이터에서 「B」라고 하면 「주차장」을 의미한다",1,1,1110016,0
1,2,"같은 것을 반복하면서 진척이 없는 것을 「다람쥐 쳇바퀴」라고 한다",1,1,1110017,0
1,2,"「꿀 먹은 벙어리」는 「자고 있는」 상태를 표현하는 말이다",1,1,1110019,0
1,2,"실제로는 쓸 데가 없는 것을 비유할 때 「그림의 떡」이라고 한다",1,1,1110020,0
1,2,"어떤 일에나 빠짐없이 끼어드는 사람을 「약방의 감초」라고 한다",1,1,1110021,0
1,2,"자신의 악행이 자신에게 돌아온다는 것을 「각골난망」이라고 한다",1,1,1110022,0
1,2,"의미에 계절이 포함된 말 중 「서늘맞이」는 「여름」을 함의하고 있다",1,1,1110024,0
1,2,"「신중」의 반대말은 「경솔」이다",1,1,1110026,0
