character_name,voice_id,luck_pattern,login_bonus_id,id,day_count,message,rate,additional_param,character_id,type,additional_type
"카린",1,0,60000,1,0,"새해를 맞이하여 새롭게 시작하는 하루를\n점괘 뽑기로 확인해 보시지 않겠어요?\n좋은 운세가 나오면 선물도 잔뜩 받을 수 있어요♪",1,"",190804,1,0
"",0,1,60000,2,0,"오늘의 운세는 희길! 모든 운이 최고라고 하네요! 지금이라면 전설의 흡혈귀도 부릴 수 있으니, 세계정복도 꿈이 아니에요!",1,"",0,2,0
"",0,1,60000,3,0,"오늘의 운세는 희길! 모든 일이 최고조! 장난 아니네요☆ 행운의 아이템은 주먹밥! 배가 든든해서 행복이 지속될 거예요!",1,"",0,2,0
"",0,1,60000,4,0,"오늘의 운세는 희길! 이 끝내주는 운빨은 그야말로 쇼군 그 자체! 넘치는 위광은 사람들을 끌어당길 겁니다!",2,"",0,2,0
"",0,2,60000,5,0,"오늘의 운세는 대길! 운이 쑥쑥 상승하고 있네요! 무슨 일을 해도 최대 효율로 최고 결과가 나올 거예요♪",1,"",0,2,0
"",0,2,60000,6,0,"오늘의 운세는 대길! 무슨 일을 해도 잘 풀려서 대활약! 그런 멋진 당신을 보고 뒤에서 누군가가…… 쿡쿡♪",1,"",0,2,0
"",0,2,60000,7,0,"오늘의 운세는 대길! 운이 좋아 무언가에 도전해도 좋은 결과 나올 거야! 숨겨진 재능을 빛을 발할지도! 목표는 히데사… 아니, 수재!",2,"",0,2,0
"",0,3,60000,8,0,"오늘의 운세는 중길! 장사운이 좋습니다! 행운의 아이템은 붕어빵! 붕어빵 파워로 매출 UP이에요!",1,"",0,2,0
"",0,3,60000,9,0,"오늘의 운세는 중길! 여행운이 점점 상승 중! 어쩌면 「마호마호 왕국」에도 갈 수 있을지도 모르옵니다♪",1,"",0,2,0
"",0,3,60000,10,0,"오늘의 운세는 중길! 업무운이 급상승하고 있어요! 분명 「연옥에서 춤추는 일진의 질풍」처럼 활약할 수 있을 거예요!",1,"",0,2,0
"",0,3,60000,11,0,"오늘의 운세는 중길! 때를 기다리면 좋은 결과가! 행운의 아이템인 푸딩을 먹고 행운을 불러드려요!",1,"",0,2,0
"",0,3,60000,12,0,"오늘의 운세는 중길! 착실히 운이 상승하고 있어요! 정령의 가호를 받은 것처럼 많은 일이 잘 풀릴 거예요♪",2,"",0,2,0
