reward_type,order,condition_quest_id,title,reward_id,original_event_id,unit_id,reward_count,sub_story_id,is_last,note_id
0,1,10143105,"라쿤의 생태 메모①",0,10116,207300,0,10116111,0,1
0,2,0,"라쿤 생태 메모②",0,10116,207300,0,10116112,0,1
0,3,0,"라쿤 생태 메모③",0,10116,207300,0,10116113,0,1
0,4,0,"라쿤 생태 메모④",0,10116,207300,0,10116114,0,1
8,5,0,"빨래 스승님",91002,10116,207300,75,10116115,1,1
0,1,0,"장난 너구리 생태 메모①",0,10116,207000,0,10116121,0,1
0,2,0,"장난 너구리 생태 메모②",0,10116,207000,0,10116122,0,1
0,3,0,"장난 너구리 생태 메모③",0,10116,207000,0,10116123,0,1
0,4,0,"장난 너구리 생태 메모④",0,10116,207000,0,10116124,0,1
8,5,0,"작은 재회와 요술 한 번",91002,10116,207000,75,10116125,1,1
0,1,0,"고블린 그레이트 생태 메모①",0,10116,305700,0,10116131,0,1
0,2,0,"고블린 그레이트 생태 메모②",0,10116,305700,0,10116132,0,1
0,3,0,"고블린 그레이트 생태 메모③",0,10116,305700,0,10116133,0,1
0,4,0,"고블린 그레이트 생태 메모④",0,10116,305700,0,10116134,0,1
8,5,0,"배움은 일단 장비부터",91002,10116,305700,75,10116135,1,1
0,1,10143105,"슬리피 아울 생태 메모①",0,10116,206900,0,10116211,0,2
0,2,0,"슬리피 아울 생태 메모②",0,10116,206900,0,10116212,0,2
0,3,0,"슬리피 아울 생태 메모③",0,10116,206900,0,10116213,0,2
0,4,0,"슬리피 아울 생태 메모④",0,10116,206900,0,10116214,0,2
8,5,0,"승천할 것 같은 편안함",91002,10116,206900,75,10116215,1,2
0,1,0,"라이라이 생태 메모①",0,10116,304600,0,10116221,0,2
0,2,0,"라이라이 생태 메모②",0,10116,304600,0,10116222,0,2
0,3,0,"라이라이 생태 메모③",0,10116,304600,0,10116223,0,2
0,4,0,"라이라이 생태 메모④",0,10116,304600,0,10116224,0,2
8,5,0,"각자의 삶을 소중히",91002,10116,304600,75,10116225,1,2
0,1,0,"냣토 생태 메모①",0,10116,215300,0,10116231,0,2
0,2,0,"냣토 생태 메모②",0,10116,215300,0,10116232,0,2
0,3,0,"냣토 생태 메모③",0,10116,215300,0,10116233,0,2
0,4,0,"냣토 생태 메모④",0,10116,215300,0,10116234,0,2
8,5,0,"당신이 가르쳐 준 것",91002,10116,215300,75,10116235,1,2
