banner_id_4,banner_id_1,banner_id_6,gacha_id,banner_id_2,banner_id_7,banner_id_9,banner_id_8,banner_id_3,banner_id_10,banner_id_5
0,10001,0,50018,10002,0,0,0,10003,0,0
0,10001,0,50023,10002,0,0,0,10003,0,0
0,10001,0,50027,10002,0,0,0,10003,0,0
0,10001,0,50033,10002,0,0,0,10003,0,0
0,10001,0,50047,10002,0,0,0,10003,0,0
0,10001,0,50051,10002,0,0,0,10003,0,0
10004,10001,0,50061,10002,0,0,0,10003,0,0
10005,10001,0,50067,10002,0,0,0,10003,0,0
10005,10001,0,50079,10002,0,0,0,10003,0,10006
10005,10001,10007,50084,10002,0,0,0,10003,0,10006
10005,10001,10007,50094,10002,10008,0,0,10003,0,10006
10005,10001,10007,50108,10002,10008,0,10009,10003,0,10006
10005,10001,10007,50116,10002,10008,0,10009,10003,0,10006
10005,10001,10007,50119,10002,10008,10010,10009,10003,0,10006
10005,10001,10007,50129,10002,10008,10010,10009,10003,0,10006
10005,10001,10007,50140,10002,10008,10010,10009,10003,10011,10006
10006,10002,10008,50151,10003,10009,10011,10010,10005,10012,10007
10012,10009,0,50162,10010,0,0,0,10011,0,10013
10013,10010,0,50172,10011,0,0,0,10012,0,10014
10014,10011,0,50183,10012,0,0,0,10013,0,10015
10007,10013,0,50190,10014,0,0,0,10015,0,10005
10015,10012,0,50195,10013,0,0,0,10014,0,10016
10003,10014,0,50200,10015,0,0,0,10016,0,10002
10016,10013,0,50217,10014,0,0,0,10015,0,10017
10010,10015,0,50231,10016,0,0,0,10017,0,10009
10017,10014,0,50237,10015,0,0,0,10016,0,10018
0,10019,0,50248,0,0,0,0,0,0,0
0,10011,0,50261,0,0,0,0,0,0,0
0,10020,0,50267,0,0,0,0,0,0,0
0,10021,0,50278,0,0,0,0,0,0,0
0,10006,0,50291,0,0,0,0,0,0,0
0,10022,0,50298,0,0,0,0,0,0,0
0,10023,0,50309,0,0,0,0,0,0,0
0,10024,0,50321,0,0,0,0,0,0,0
0,10025,0,50331,0,0,0,0,0,0,0
0,10026,0,50341,0,0,0,0,0,0,0
0,10027,0,50354,0,0,0,0,0,0,0
0,10028,0,50365,0,0,0,0,0,0,0
