clan_battle_id,battle_start_time,interval_start_time,interval_end_time,battle_end_time,training_id
1038,"2022/05/22 12:00:00","2022/05/30 00:00:00","2022/06/22 11:59:59","2022/05/29 23:59:59",1038
1039,"2022/06/22 12:00:00","2022/06/30 00:00:00","2022/07/21 11:59:59","2022/06/29 23:59:59",1039
1040,"2022/07/21 12:00:00","2022/07/29 00:00:00","2022/08/21 11:59:59","2022/07/28 23:59:59",1040
1041,"2022/08/21 12:00:00","2022/08/29 00:00:00","2022/09/21 11:59:59","2022/08/28 23:59:59",1041
1042,"2022/09/21 12:00:00","2022/09/29 00:00:00","2022/10/22 11:59:59","2022/09/28 23:59:59",1042
1043,"2022/10/22 12:00:00","2022/10/30 00:00:00","2022/11/22 11:59:59","2022/10/29 23:59:59",1043
1044,"2022/11/22 12:00:00","2022/11/30 00:00:00","2022/12/21 11:59:59","2022/11/29 23:59:59",1044
1045,"2022/12/21 12:00:00","2022/12/29 00:00:00","2023/01/22 11:59:59","2022/12/28 23:59:59",1045
1046,"2023/01/22 12:00:00","2023/01/30 00:00:00","2023/02/22 11:59:59","2023/01/29 23:59:59",1046
1047,"2023/02/22 12:00:00","2023/03/02 00:00:00","2023/03/21 11:59:59","2023/03/01 23:59:59",1047
1048,"2023/03/21 12:00:00","2023/03/29 00:00:00","2023/04/23 11:59:59","2023/03/28 23:59:59",1048
1049,"2023/04/23 12:00:00","2023/05/01 00:00:00","2023/05/22 11:59:59","2023/04/30 23:59:59",1049
1050,"2023/05/22 12:00:00","2023/05/30 00:00:00","2023/06/21 11:59:59","2023/05/29 23:59:59",1050
1051,"2023/06/21 12:00:00","2023/06/29 00:00:00","2023/07/22 11:59:59","2023/06/28 23:59:59",1051
1052,"2023/07/22 12:00:00","2023/07/30 00:00:00","2023/08/22 11:59:59","2023/07/29 23:59:59",1052
1053,"2023/08/22 12:00:00","2023/08/30 00:00:00","2023/09/23 11:59:59","2023/08/29 23:59:59",1053
1054,"2023/09/23 12:00:00","2023/10/01 00:00:00","2023/10/22 11:59:59","2023/09/30 23:59:59",1054
1055,"2023/10/22 12:00:00","2023/10/30 00:00:00","2023/11/22 11:59:59","2023/10/29 23:59:59",1055
1056,"2023/11/22 12:00:00","2023/11/30 00:00:00","2023/12/20 11:59:59","2023/11/29 23:59:59",1056
1057,"2023/12/20 12:00:00","2023/12/28 00:00:00","2024/01/21 11:59:59","2023/12/27 23:59:59",1057
1058,"2024/01/21 12:00:00","2024/01/29 00:00:00","2024/02/21 11:59:59","2024/01/28 23:59:59",1058
1059,"2024/02/21 12:00:00","2024/02/29 00:00:00","2024/03/20 11:59:59","2024/02/28 23:59:59",1059
1060,"2024/03/20 12:00:00","2024/03/28 00:00:00","2024/04/22 11:59:59","2024/03/27 23:59:59",1060
1061,"2024/04/22 12:00:00","2024/04/30 00:00:00","2024/05/21 11:59:59","2024/04/29 23:59:59",1061
1063,"2024/05/21 12:00:00","2024/05/29 00:00:00","2024/06/21 11:59:59","2024/05/28 23:59:59",1063
1064,"2024/06/21 12:00:00","2024/06/29 00:00:00","2024/07/22 11:59:59","2024/06/28 23:59:59",1064
1065,"2024/07/22 12:00:00","2024/07/30 00:00:00","2024/08/20 11:59:59","2024/07/29 23:59:59",1065
1066,"2024/08/20 12:00:00","2024/08/28 00:00:00","2024/09/21 11:59:59","2024/08/27 23:59:59",1066
1067,"2024/09/21 12:00:00","2024/09/29 00:00:00","2024/10/21 11:59:59","2024/09/28 23:59:59",1067
1068,"2024/10/21 12:00:00","2024/10/29 00:00:00","2024/11/20 11:59:59","2024/10/28 23:59:59",1068
1069,"2024/11/20 12:00:00","2024/11/28 00:00:00","2024/12/22 11:59:59","2024/11/27 23:59:59",1069
1070,"2024/12/22 12:00:00","2024/12/30 00:00:00","2025/01/21 11:59:59","2024/12/29 23:59:59",1070
1071,"2025/01/21 12:00:00","2025/01/29 00:00:00","2025/02/19 11:59:59","2025/01/28 23:59:59",1071
1072,"2025/02/19 12:00:00","2025/02/27 00:00:00","2025/03/19 11:59:59","2025/02/26 23:59:59",1072
1073,"2025/03/19 12:00:00","2025/03/27 00:00:00","2025/04/20 11:59:59","2025/03/26 23:59:59",1073
1074,"2025/04/20 12:00:00","2025/04/28 00:00:00","2025/05/21 11:59:59","2025/04/27 23:59:59",1074
1075,"2025/05/21 12:00:00","2025/05/29 00:00:00","2025/06/22 11:59:59","2025/05/28 23:59:59",1075
1076,"2025/06/22 12:00:00","2025/06/30 00:00:00","2025/07/21 11:59:59","2025/06/29 23:59:59",1076
1077,"2025/07/21 12:00:00","2025/07/29 00:00:00","2025/08/21 11:59:59","2025/07/28 23:59:59",1077
1078,"2025/08/21 12:00:00","2025/08/29 00:00:00","2025/09/23 11:59:59","2025/08/28 23:59:59",1078
1079,"2025/09/23 12:00:00","2025/10/01 00:00:00","2025/10/23 11:59:59","2025/09/30 23:59:59",1079
1080,"2025/10/23 12:00:00","2025/10/31 00:00:00","2025/11/23 11:59:59","2025/10/30 23:59:59",1080
