enemy_id_4,disp_reward_type_3,disp_reward_type_5,0e19bc2949ff73cfdea1bdb4f24deea865c7326def72223b8af59509563eb51c,difficulty,enemy_id_1,reward_group_id_1,disp_reward_type_1,reward_odds_2,reward_odds_1,85a5079c733faa6fecffe17e429cb9b072f4bb2373d734e7cbaaab123f5b3495,fa3e19d86990ff837365d4e926076be0227bdc275604ad0daa03c885f1b7ece3,reward_odds_3,ca9bc02553fa3ea22487baee020255896d6b83e0d1cd453df659073b04e22b55,f1e7b8a799549e3f7cb7bd09fd51228e3a8848876e09e05668adf33eb868f2e3,disp_reward_id_3,enemy_id_2,disp_reward_id_1,wave,enemy_id_5,reward_odds_4,drop_gold_1,b8b91413a6490a7d40fbb8ee5610a6049991a1243ea5c2d7652721f8e1c17b40,wave_group_id,reward_lot_count_3,5c79d53c28929edd9d99c87d5c81cfa67d6039064e65ec58edb1e1b928045f76,c1e3b4139084aede18c15b22a2079f2e931f58aa1f602179833b98f001b9c48a,disp_reward_id_5,cb20e4458bd00d1d61ffb961a689b5080721d5bf4492f543ba7044c441709a83,disp_reward_type_4,disp_reward_id_4,disp_reward_id_2,reward_group_id_3,reward_group_id_2,disp_reward_type_2,id,9a572cbd7645120670f1773943fc94227ea690f2b3128b9a2303adf579aadbc9,reward_lot_count_4,reward_group_id_4,enemy_id_3,7d9881936b80720fb5eeada78ac42991727a1f23adf6776adcde556c5232fe62
0,0,0,0,1,620060001,61001005,0,18,30,0,1,36,1001,0,0,620090001,0,1,0,0,258,0,600110011,1,0,1001,0,0,0,0,0,61001007,61001004,0,600000001,0,0,0,620130001,1
0,0,0,0,1,620060001,61001005,0,18,30,0,1,36,2001,0,0,620090001,0,1,0,0,258,0,600110021,1,0,2001,0,0,0,0,0,61001007,61001004,0,600000002,0,0,0,620130001,1
0,0,0,0,1,620060001,61001005,0,18,30,0,1,36,3001,0,0,620090001,0,1,0,0,258,0,600110031,1,0,3001,0,0,0,0,0,61001007,61001004,0,600000003,0,0,0,620130001,1
0,0,0,0,1,620060001,61001005,0,18,30,0,1,36,4001,0,0,620090001,0,1,0,0,258,0,600110041,1,0,4001,0,0,0,0,0,61001007,61001004,0,600000004,0,0,0,620130001,1
0,0,0,0,1,620060002,61001005,0,18,30,0,1,36,5001,0,0,620090002,0,1,0,0,268,0,600110051,1,0,5001,0,0,0,0,0,61001007,61001004,0,600000005,0,0,0,620130002,1
0,0,0,0,1,620060003,61001005,0,18,30,0,1,36,6001,0,0,620090003,0,1,0,0,273,0,600110061,1,0,6001,0,0,0,0,0,61001007,61001004,0,600000006,0,0,0,620130003,1
0,0,0,0,1,620060004,61001005,0,18,30,0,1,36,7001,0,0,620090004,0,1,0,0,281,0,600110071,1,0,7001,0,0,0,0,0,61001007,61001004,0,600000007,0,0,0,620130004,1
0,0,0,0,1,620060005,61001005,0,18,30,0,1,36,8001,0,0,620090005,0,1,0,0,288,0,600110081,1,0,8001,0,0,0,0,0,61001007,61001004,0,600000008,0,0,0,620130005,1
0,0,0,0,1,620060006,61001005,0,18,30,0,1,36,9001,0,0,620090006,0,1,0,0,298,0,600110091,1,0,9001,0,0,0,0,0,61001007,61001004,0,600000009,0,0,0,620130006,1
0,0,0,0,1,620060007,61001005,0,18,30,0,1,36,10001,0,0,620090007,0,1,0,0,309,0,600110101,1,0,10001,0,0,0,0,0,61001007,61001004,0,600000010,0,0,0,620130007,1
