legion_battle_effect_id,text_id,skill_id,enemy_id,target_type,icon_id
1005,211,2114001,802100290,1,212
1006,211,2114002,802100290,1,212
1007,211,2114003,802100290,1,212
1008,211,2114004,802100290,1,212
100501,104,2113061,802100266,0,100
100502,104,2113062,802100266,0,100
100503,105,2113063,802100266,0,102
100504,106,2113064,802100266,0,103
100505,104,2113065,802100266,0,100
100506,104,2113066,802100266,0,100
100507,105,2113067,802100266,0,102
100508,106,2113068,802100266,0,103
100509,104,2113069,802100266,0,100
100510,104,2113070,802100266,0,100
100511,104,2113071,802100267,0,100
100512,104,2113072,802100267,0,100
100513,105,2113073,802100267,0,102
100514,106,2113074,802100267,0,103
100515,104,2113075,802100267,0,100
100516,104,2113076,802100267,0,100
100517,105,2113077,802100267,0,102
100518,106,2113078,802100267,0,103
100519,104,2113079,802100267,0,100
100520,104,2113080,802100267,0,100
100521,104,2113081,802100268,0,100
100522,104,2113082,802100268,0,100
100523,105,2113083,802100268,0,102
100524,106,2113084,802100268,0,103
100525,104,2113085,802100268,0,100
100526,208,2113086,802100268,1,112
100527,201,2113087,802100268,1,110
100528,104,2113088,802100268,0,100
100529,105,2113089,802100268,0,102
100530,106,2113090,802100268,0,103
100601,203,2113031,802100263,1,114
100602,202,2113032,802100263,1,113
100603,105,2113033,802100263,0,102
100604,106,2113034,802100263,0,103
100605,203,2113035,802100263,1,114
100606,202,2113036,802100263,1,113
100607,204,2113037,802100263,1,111
100608,202,2113038,802100263,1,113
100609,202,2113039,802100263,1,113
100610,106,2113040,802100263,0,103
100611,203,2113041,802100264,1,114
100612,202,2113042,802100264,1,113
100613,105,2113043,802100264,0,102
100614,106,2113044,802100264,0,103
100615,203,2113045,802100264,1,114
100616,202,2113046,802100264,1,113
100617,204,2113047,802100264,1,111
100618,202,2113048,802100264,1,113
100619,202,2113049,802100264,1,113
100620,106,2113050,802100264,0,103
100621,105,2113051,802100265,0,102
100622,203,2113052,802100265,1,114
100623,202,2113053,802100265,1,113
100624,204,2113054,802100265,1,111
100625,106,2113055,802100265,0,103
100626,208,2113056,802100265,1,112
100627,201,2113057,802100265,1,110
100628,203,2113058,802100265,1,114
100629,202,2113059,802100265,1,113
100630,106,2113060,802100265,0,103
100701,205,2113091,802100269,1,112
100702,206,2113092,802100269,1,112
100703,102,2113093,802100269,0,117
100704,105,2113094,802100269,0,102
100705,105,2113095,802100269,0,102
100706,202,2113096,802100269,1,113
100707,203,2113097,802100269,1,114
100708,102,2113098,802100269,0,117
100709,105,2113099,802100269,0,102
100710,202,2113100,802100269,1,113
100711,205,2115001,802100270,1,112
100712,102,2115002,802100270,0,117
100713,105,2115003,802100270,0,102
100714,106,2115004,802100270,0,103
100715,203,2115005,802100270,1,114
100716,202,2115006,802100270,1,113
100717,207,2115007,802100270,1,112
100718,105,2115008,802100270,0,102
100719,106,2115009,802100270,0,103
100720,202,2115010,802100270,1,113
100721,205,2115011,802100271,1,112
100722,208,2115012,802100271,1,112
100723,102,2115013,802100271,0,117
100724,105,2115014,802100271,0,102
100725,106,2115015,802100271,0,103
100726,208,2115016,802100271,1,112
100727,201,2115017,802100271,1,110
100728,102,2115018,802100271,0,117
100729,105,2115019,802100271,0,102
100730,106,2115020,802100271,0,103
100801,103,2113001,802100260,0,104
100802,104,2113002,802100260,0,100
100803,104,2113003,802100260,0,100
100804,105,2113004,802100260,0,102
100805,105,2113005,802100260,0,102
100806,104,2113006,802100260,0,100
100807,104,2113007,802100260,0,100
100808,105,2113008,802100260,0,102
100809,105,2113009,802100260,0,102
100810,107,2113010,802100260,0,101
100811,103,2113011,802100261,0,104
100812,104,2113012,802100261,0,100
100813,104,2113013,802100261,0,100
100814,105,2113014,802100261,0,102
100815,106,2113015,802100261,0,103
100816,104,2113016,802100261,0,100
100817,104,2113017,802100261,0,100
100818,105,2113018,802100261,0,102
100819,106,2113019,802100261,0,103
100820,104,2113020,802100261,0,100
100821,103,2113021,802100262,0,104
100822,104,2113022,802100262,0,100
100823,104,2113023,802100262,0,100
100824,105,2113024,802100262,0,102
100825,105,2113025,802100262,0,102
100826,208,2113026,802100262,1,112
100827,201,2113027,802100262,1,110
100828,105,2113028,802100262,0,102
100829,106,2113029,802100262,0,103
100830,103,2113030,802100262,0,104
