exskill_display,start_time,unit_name,only_disp_owned,guild_id,cutin2_star6,cutin_2,cutin_1,cutin1_star6,comment,original_unit_id,end_time,unit_id,rarity,atk_type,normal_atk_cast_time,search_area_width,prefab_id,kana,move_speed,prefab_id_battle,se_type,motion_type,is_limited
0,"2015/04/01 15:00:00","히요리",0,7,0,0,100101,100101,"【물리】전열에서 적의 전선을 공격하는 웃는 얼굴의 활기찬 소녀. 전열에 큰 데미지를 입히는 유니온 버스트와 자신의 공격력을 강화하는 스킬을 가진 공격 타입.",0,"2030/12/31 15:00:00",100101,1,1,2.295,200,100101,"히요리",450,0,1,1,0
0,"2015/04/01 15:00:00","유이",0,7,0,0,100201,100201,"【마법】최후열에서 아군의 회복과 보조를 담당하는 마법사. 물리 방어력은 약하지만 높은 마법 공격력을 가졌고 랭크를 올리면 공격도 보조도 밸런스 좋게 소화할 수 있게 된다.",0,"2030/12/31 15:00:00",100201,1,2,2.27,800,100201,"유이",450,0,7,7,0
0,"2015/04/01 15:00:00","레이",0,7,0,0,100301,100301,"【물리】전열에서 일점 돌파로 적을 쓰러뜨리는 고고한 검사. 유니온 버스트와 스킬 모두 적을 쓰러뜨리기에 적합. 공격 스킬이나 카운터를 구사하여 전선에 힘을 실어준다.",0,"2030/12/31 15:00:00",100301,1,1,1.965,250,100301,"레이",450,0,4,4,0
0,"2015/04/01 15:00:00","미소기",0,13,0,0,100401,100401,"【물리】최전열에서 적의 물리 공격을 방해하는 개구쟁이 소녀. 눈앞의 적을 암흑 상태로 만들어 명중률을 큰 폭으로 낮추는 한편, 적 하나의 물리 공격력을 낮추는 스킬을 가지고 있다.",0,"2030/12/31 15:00:00",100401,1,1,2.17,205,100401,"미소기",450,0,1,1,0
0,"2018/09/18 15:00:00","마츠리",0,2,0,0,100501,100501,"【물리】전열에서 기민한 움직임으로 적을 혼란시키는 견습 기사. 유니온 버스트로 상대의 진형 한가운데에 뛰어들어 자신의 주변에 있는 상대에게 공격을 퍼붓는다.",0,"2030/12/31 15:00:00",100501,2,1,2.125,185,100501,"마츠리",450,0,2,2,0
0,"2015/04/01 15:00:00","아카리",0,14,0,0,100601,100601,"【마법】중열에서 마법 파티의 강화를 담당하는 쌍둥이 여동생. 적의 마법 방어력을 큰 폭으로 낮추는 스킬이나 마법 공격력을 상승시켜 회복 효과를 부여하는 유니온 버스트를 사용한다.",0,"2030/12/31 15:00:00",100601,2,2,2.19,570,100601,"아카리",450,0,6,6,0
0,"2015/04/01 15:00:00","미야코",0,14,0,0,100701,100701,"【물리】최전열에서 적의 공격을 끊임없이 피하는 유령 소녀. 유령으로 변신하는 스킬로 적의 공격을 피하고 유니온 버스트를 통해 적을 푸딩으로 만들어 먹어버린다.",0,"2030/12/31 15:00:00",100701,2,1,1.7,125,100701,"미야코",450,0,3,3,0
0,"2015/04/01 15:00:00","유키",0,12,0,0,100801,100801,"【마법】후열에서 물리 공격 파티를 보조하는 걸어 다니는 예술 작품. 아군의 유니온 버스트 발동을 촉진하는 스킬 외에도 적을 암흑 상태로 만드는 스킬로 물리 공격을 막는다.",0,"2030/12/31 15:00:00",100801,2,2,2.07,805,100801,"유키",450,0,7,21,0
0,"2015/04/01 15:00:00","안나",0,11,0,0,100901,100901,"【마법】중열에서 압도적인 마력으로 공격하는 질풍의 명희. 유니온 버스트로 적 전체에 큰 데미지를 줄 수 있지만 마력 소비가 심해 자기자신도 큰 리스크를 얻는다.",0,"2030/12/31 15:00:00",100901,3,2,2.25,440,100901,"안나",450,0,5,5,0
0,"2015/04/01 15:00:00","마호",0,4,0,0,101001,101001,"【마법】후열에서 아군의 서포트를 담당하는 메르헨 소녀. 아군 전체를 강화하여 TP를 회복하는 유니온 버스트나 HP 회복, 적을 암흑에 빠지게 하는 스킬로 전황을 호전시킨다.",0,"2030/12/31 15:00:00",101001,3,2,2.27,795,101001,"마호",450,0,7,7,0
