reward_num_1,reward_num_3,reward_id_1,reward_num_2,id,reward_id_3,reward_type_1,reward_id_2,reward_group_id,reward_type_2,reward_type_3
10,31,91002,8,1,25015,8,25021,285001001,2,2
10,31,91002,8,2,25015,8,25021,285001002,2,2
10,32,91002,8,3,25015,8,25021,285001003,2,2
10,32,91002,8,4,25015,8,25021,285001004,2,2
10,33,91002,8,5,25015,8,25021,285001005,2,2
10,33,91002,9,6,25015,8,25021,285001006,2,2
10,34,91002,9,7,25015,8,25021,285001007,2,2
10,35,91002,9,8,25015,8,25021,285001008,2,2
10,35,91002,9,9,25015,8,25021,285001009,2,2
30,37,91002,10,10,25015,8,25021,285001010,2,2
10,41,91002,10,11,25015,8,25021,285001011,2,2
10,43,91002,11,12,25015,8,25021,285001012,2,2
10,46,91002,11,13,25015,8,25021,285001013,2,2
10,48,91002,12,14,25015,8,25021,285001014,2,2
10,50,91002,12,15,25015,8,25021,285001015,2,2
10,53,91002,13,16,25015,8,25021,285001016,2,2
10,55,91002,14,17,25015,8,25021,285001017,2,2
10,58,91002,14,18,25015,8,25021,285001018,2,2
10,60,91002,15,19,25015,8,25021,285001019,2,2
30,62,91002,15,20,25015,8,25021,285001020,2,2
10,68,91002,16,21,25015,8,25021,285001021,2,2
10,70,91002,16,22,25015,8,25021,285001022,2,2
10,72,91002,16,23,25015,8,25021,285001023,2,2
10,75,91002,17,24,25015,8,25021,285001024,2,2
10,77,91002,18,25,25015,8,25021,285001025,2,2
10,79,91002,18,26,25015,8,25021,285001026,2,2
10,82,91002,19,27,25015,8,25021,285001027,2,2
10,84,91002,19,28,25015,8,25021,285001028,2,2
10,86,91002,19,29,25015,8,25021,285001029,2,2
30,89,91002,20,30,25015,8,25021,285001030,2,2
10,94,91002,20,31,25015,8,25021,285001031,2,2
10,96,91002,21,32,25015,8,25021,285001032,2,2
10,99,91002,21,33,25015,8,25021,285001033,2,2
10,101,91002,22,34,25015,8,25021,285001034,2,2
10,103,91002,22,35,25015,8,25021,285001035,2,2
10,106,91002,23,36,25015,8,25021,285001036,2,2
10,108,91002,23,37,25015,8,25021,285001037,2,2
10,111,91002,24,38,25015,8,25021,285001038,2,2
10,113,91002,25,39,25015,8,25021,285001039,2,2
30,115,91002,25,40,25015,8,25021,285001040,2,2
10,121,91002,26,41,25015,8,25021,285001041,2,2
10,123,91002,27,42,25015,8,25021,285001042,2,2
10,125,91002,28,43,25015,8,25021,285001043,2,2
10,128,91002,28,44,25015,8,25021,285001044,2,2
10,130,91002,29,45,25015,8,25021,285001045,2,2
10,132,91002,30,46,25015,8,25021,285001046,2,2
10,135,91002,30,47,25015,8,25021,285001047,2,2
10,137,91002,31,48,25015,8,25021,285001048,2,2
10,139,91002,31,49,25015,8,25021,285001049,2,2
30,142,91002,31,50,25015,8,25021,285001050,2,2
10,144,91002,32,51,25015,8,25021,285001051,2,2
10,146,91002,32,52,25015,8,25021,285001052,2,2
10,149,91002,32,53,25015,8,25021,285001053,2,2
10,152,91002,33,54,25015,8,25021,285001054,2,2
10,155,91002,33,55,25015,8,25021,285001055,2,2
10,157,91002,33,56,25015,8,25021,285001056,2,2
10,160,91002,34,57,25015,8,25021,285001057,2,2
10,163,91002,34,58,25015,8,25021,285001058,2,2
10,166,91002,34,59,25015,8,25021,285001059,2,2
30,169,91002,35,60,25015,8,25021,285001060,2,2
10,171,91002,35,61,25015,8,25021,285001061,2,2
10,174,91002,35,62,25015,8,25021,285001062,2,2
10,177,91002,36,63,25015,8,25021,285001063,2,2
10,180,91002,36,64,25015,8,25021,285001064,2,2
10,182,91002,36,65,25015,8,25021,285001065,2,2
10,185,91002,37,66,25015,8,25021,285001066,2,2
10,187,91002,37,67,25015,8,25021,285001067,2,2
10,190,91002,37,68,25015,8,25021,285001068,2,2
10,193,91002,38,69,25015,8,25021,285001069,2,2
30,196,91002,38,70,25015,8,25021,285001070,2,2
