tower_schedule_id,end_time,recovery_disable_time,max_tower_area_id,count_start_time,start_time,opening_story_id
1001,"2019/10/20 14:59:59","2019/10/20 14:59:59",1,"2019/10/19 14:59:59","2019/10/15 15:00:00",7001000
1002,"2019/11/17 14:59:59","2019/11/17 14:59:59",2,"2019/11/16 14:59:59","2019/11/12 15:00:00",7002000
1003,"2019/12/24 14:59:59","2019/12/24 14:59:59",3,"2019/12/23 14:59:59","2019/12/19 15:00:00",7003000
1004,"2020/01/21 14:59:59","2020/01/21 14:59:59",4,"2020/01/20 14:59:59","2020/01/16 15:00:00",7003003
1005,"2020/02/18 14:59:59","2020/02/18 14:59:59",5,"2020/02/17 14:59:59","2020/02/13 15:00:00",7004000
1006,"2020/03/17 14:59:59","2020/03/17 14:59:59",6,"2020/03/16 14:59:59","2020/03/12 15:00:00",7004003
1007,"2020/04/21 14:59:59","2020/04/21 14:59:59",7,"2020/04/20 14:59:59","2020/04/16 15:00:00",7005000
1008,"2020/05/19 14:59:59","2020/05/19 14:59:59",8,"2020/05/18 14:59:59","2020/05/14 15:00:00",7005003
1009,"2020/06/16 14:59:59","2020/06/16 14:59:59",9,"2020/06/15 14:59:59","2020/06/11 15:00:00",7006000
1010,"2020/07/19 14:59:59","2020/07/19 14:59:59",10,"2020/07/18 14:59:59","2020/07/14 15:00:00",7006003
1011,"2020/08/20 14:59:59","2020/08/20 14:59:59",11,"2020/08/19 14:59:59","2020/08/13 15:00:00",7007000
1012,"2020/09/20 14:59:59","2020/09/20 14:59:59",12,"2020/09/19 14:59:59","2020/09/15 15:00:00",7007003
1013,"2020/10/19 14:59:59","2020/10/19 14:59:59",13,"2020/10/18 14:59:59","2020/10/14 15:00:00",7008000
1014,"2020/11/18 14:59:59","2020/11/18 14:59:59",14,"2020/11/17 14:59:59","2020/11/13 15:00:00",7008003
1015,"2020/12/20 14:59:59","2020/12/20 14:59:59",15,"2020/12/19 14:59:59","2020/12/15 15:00:00",7009000
