dear_point,chara_index,reward_type_1,reward_type_5,reward_type_3,event_id,id,reward_count_2,reward_count_1,reward_count_3,reward_type_2,mission_detail,reward_count_5,reward_id_1,reward_id_4,reward_count_4,reward_id_2,reward_id_3,reward_id_5,reward_type_4
100,1,12,0,0,10053,1,0,10000,0,0,"신뢰도를 100까지 달성하자",0,94002,0,0,0,0,0,0
200,1,12,0,0,10053,2,0,25000,0,0,"신뢰도를 200까지 달성하자",0,94002,0,0,0,0,0,0
500,1,8,0,0,10053,3,0,50,0,0,"신뢰도를 500까지 달성하자",0,91002,0,0,0,0,0,0
800,1,12,0,0,10053,4,0,50000,0,0,"신뢰도를 800까지 달성하자",0,94002,0,0,0,0,0,0
1000,1,8,0,0,10053,5,0,100,0,0,"신뢰도를 MAX로 만들자",0,91002,0,0,0,0,0,0
100,2,12,0,0,10053,6,0,10000,0,0,"신뢰도를 100까지 달성하자",0,94002,0,0,0,0,0,0
200,2,12,0,0,10053,7,0,25000,0,0,"신뢰도를 200까지 달성하자",0,94002,0,0,0,0,0,0
500,2,8,0,0,10053,8,0,50,0,0,"신뢰도를 500까지 달성하자",0,91002,0,0,0,0,0,0
800,2,12,0,0,10053,9,0,50000,0,0,"신뢰도를 800까지 달성하자",0,94002,0,0,0,0,0,0
1000,2,8,0,0,10053,10,0,100,0,0,"신뢰도를 MAX로 만들자",0,91002,0,0,0,0,0,0
100,3,12,0,0,10053,11,0,10000,0,0,"신뢰도를 100까지 달성하자",0,94002,0,0,0,0,0,0
200,3,12,0,0,10053,12,0,25000,0,0,"신뢰도를 200까지 달성하자",0,94002,0,0,0,0,0,0
500,3,8,0,0,10053,13,0,50,0,0,"신뢰도를 500까지 달성하자",0,91002,0,0,0,0,0,0
800,3,12,0,0,10053,14,0,50000,0,0,"신뢰도를 800까지 달성하자",0,94002,0,0,0,0,0,0
1000,3,8,0,0,10053,15,0,100,0,0,"신뢰도를 MAX로 만들자",0,91002,0,0,0,0,0,0
100,1,12,0,0,20015,1001901,0,15000,0,0,"신뢰도를 100까지 달성하자",0,94002,0,0,0,0,0,0
200,1,12,0,0,20015,1001902,0,37500,0,0,"신뢰도를 200까지 달성하자",0,94002,0,0,0,0,0,0
500,1,8,0,0,20015,1001903,0,75,0,0,"신뢰도를 500까지 달성하자",0,91002,0,0,0,0,0,0
800,1,12,0,0,20015,1001904,0,75000,0,0,"신뢰도를 800까지 달성하자",0,94002,0,0,0,0,0,0
1000,1,8,0,0,20015,1001905,0,150,0,0,"신뢰도를 MAX로 만들자",0,91002,0,0,0,0,0,0
100,2,12,0,0,20015,1001906,0,15000,0,0,"신뢰도를 100까지 달성하자",0,94002,0,0,0,0,0,0
200,2,12,0,0,20015,1001907,0,37500,0,0,"신뢰도를 200까지 달성하자",0,94002,0,0,0,0,0,0
500,2,8,0,0,20015,1001908,0,75,0,0,"신뢰도를 500까지 달성하자",0,91002,0,0,0,0,0,0
800,2,12,0,0,20015,1001909,0,75000,0,0,"신뢰도를 800까지 달성하자",0,94002,0,0,0,0,0,0
1000,2,8,0,0,20015,1001910,0,150,0,0,"신뢰도를 MAX로 만들자",0,91002,0,0,0,0,0,0
100,1,12,0,0,20017,1002301,0,10000,0,0,"신뢰도를 100까지 달성하자",0,94002,0,0,0,0,0,0
200,1,12,0,0,20017,1002302,0,25000,0,0,"신뢰도를 200까지 달성하자",0,94002,0,0,0,0,0,0
500,1,8,0,0,20017,1002303,0,50,0,0,"신뢰도를 500까지 달성하자",0,91002,0,0,0,0,0,0
800,1,12,0,0,20017,1002304,0,50000,0,0,"신뢰도를 800까지 달성하자",0,94002,0,0,0,0,0,0
1000,1,8,0,0,20017,1002305,0,100,0,0,"신뢰도를 MAX로 만들자",0,91002,0,0,0,0,0,0
100,2,12,0,0,20017,1002306,0,10000,0,0,"신뢰도를 100까지 달성하자",0,94002,0,0,0,0,0,0
200,2,12,0,0,20017,1002307,0,25000,0,0,"신뢰도를 200까지 달성하자",0,94002,0,0,0,0,0,0
500,2,8,0,0,20017,1002308,0,50,0,0,"신뢰도를 500까지 달성하자",0,91002,0,0,0,0,0,0
800,2,12,0,0,20017,1002309,0,50000,0,0,"신뢰도를 800까지 달성하자",0,94002,0,0,0,0,0,0
1000,2,8,0,0,20017,1002310,0,100,0,0,"신뢰도를 MAX로 만들자",0,91002,0,0,0,0,0,0
100,3,12,0,0,20017,1002311,0,10000,0,0,"신뢰도를 100까지 달성하자",0,94002,0,0,0,0,0,0
200,3,12,0,0,20017,1002312,0,25000,0,0,"신뢰도를 200까지 달성하자",0,94002,0,0,0,0,0,0
500,3,8,0,0,20017,1002313,0,50,0,0,"신뢰도를 500까지 달성하자",0,91002,0,0,0,0,0,0
800,3,12,0,0,20017,1002314,0,50000,0,0,"신뢰도를 800까지 달성하자",0,94002,0,0,0,0,0,0
1000,3,8,0,0,20017,1002315,0,100,0,0,"신뢰도를 MAX로 만들자",0,91002,0,0,0,0,0,0
100,1,12,0,0,20018,1002501,0,10000,0,0,"신뢰도를 100까지 달성하자",0,94002,0,0,0,0,0,0
200,1,12,0,0,20018,1002502,0,25000,0,0,"신뢰도를 200까지 달성하자",0,94002,0,0,0,0,0,0
500,1,8,0,0,20018,1002503,0,50,0,0,"신뢰도를 500까지 달성하자",0,91002,0,0,0,0,0,0
800,1,12,0,0,20018,1002504,0,50000,0,0,"신뢰도를 800까지 달성하자",0,94002,0,0,0,0,0,0
1000,1,8,0,0,20018,1002505,0,100,0,0,"신뢰도를 MAX로 만들자",0,91002,0,0,0,0,0,0
100,2,12,0,0,20018,1002506,0,10000,0,0,"신뢰도를 100까지 달성하자",0,94002,0,0,0,0,0,0
200,2,12,0,0,20018,1002507,0,25000,0,0,"신뢰도를 200까지 달성하자",0,94002,0,0,0,0,0,0
500,2,8,0,0,20018,1002508,0,50,0,0,"신뢰도를 500까지 달성하자",0,91002,0,0,0,0,0,0
800,2,12,0,0,20018,1002509,0,50000,0,0,"신뢰도를 800까지 달성하자",0,94002,0,0,0,0,0,0
1000,2,8,0,0,20018,1002510,0,100,0,0,"신뢰도를 MAX로 만들자",0,91002,0,0,0,0,0,0
100,3,12,0,0,20018,1002511,0,10000,0,0,"신뢰도를 100까지 달성하자",0,94002,0,0,0,0,0,0
200,3,12,0,0,20018,1002512,0,25000,0,0,"신뢰도를 200까지 달성하자",0,94002,0,0,0,0,0,0
500,3,8,0,0,20018,1002513,0,50,0,0,"신뢰도를 500까지 달성하자",0,91002,0,0,0,0,0,0
800,3,12,0,0,20018,1002514,0,50000,0,0,"신뢰도를 800까지 달성하자",0,94002,0,0,0,0,0,0
1000,3,8,0,0,20018,1002515,0,100,0,0,"신뢰도를 MAX로 만들자",0,91002,0,0,0,0,0,0
100,1,12,0,0,20019,1002701,0,10000,0,0,"신뢰도를 100까지 달성하자",0,94002,0,0,0,0,0,0
200,1,12,0,0,20019,1002702,0,25000,0,0,"신뢰도를 200까지 달성하자",0,94002,0,0,0,0,0,0
500,1,8,0,0,20019,1002703,0,50,0,0,"신뢰도를 500까지 달성하자",0,91002,0,0,0,0,0,0
800,1,12,0,0,20019,1002704,0,50000,0,0,"신뢰도를 800까지 달성하자",0,94002,0,0,0,0,0,0
1000,1,8,0,0,20019,1002705,0,100,0,0,"신뢰도를 MAX로 만들자",0,91002,0,0,0,0,0,0
100,2,12,0,0,20019,1002706,0,10000,0,0,"신뢰도를 100까지 달성하자",0,94002,0,0,0,0,0,0
200,2,12,0,0,20019,1002707,0,25000,0,0,"신뢰도를 200까지 달성하자",0,94002,0,0,0,0,0,0
500,2,8,0,0,20019,1002708,0,50,0,0,"신뢰도를 500까지 달성하자",0,91002,0,0,0,0,0,0
