insert_word_type,unit_id,voice_id,description,id,trigger,time,beloved_step,face_id
0,100101,1,"여기에 곤란한 사람은 없는 거지…?\n다행이다♪",1,1,0,1,1
0,100101,2,"모험할 준비…\n응, 잊은 물건 없음!\n…앗!",2,1,0,1,1
0,100101,3,"리듬을 의식해서…\n하나 둘~ 하나 둘~!\n응, 컨디션은 완벽해",3,1,0,1,1
0,100101,4,"여기서 특훈해도 돼?\n물건은 부수지 않도록 조심할 테니까!",4,1,0,1,1
0,100101,5,"어쩐지 진정이 안 돼\n어쩌면 곤란한 사람이\n근처에 있는 걸까…?",5,1,0,1,1
0,100101,101,"에헤헤… 언제나 함께 있어줘서\n고마워!",6,1,0,4,1
0,100101,102,"분명히 기억하고 있어\n기사 군의 목소리…\n그때는 고마웠어!",7,1,0,8,1
0,100101,1,"아하핫! 잘도 했겠다~!\n반격이다~! 간질간질간질…",8,2,0,1,1
0,100101,2,"왜 그래? 혹시 곤란한 일 있어?\n나한테 맡겨줘!",9,2,0,1,1
0,100101,3,"저기 말이야…\n꼬리는 만지면 안 된다?",10,2,0,1,1
0,100101,4,"반응하지 않는 특훈…\n이었지만 무리야~!\n분해애~!",11,2,0,1,1
0,100101,101,"와앗? 당했다~!\n뺨 주물럭거리지 마~",12,2,0,4,1
0,100101,102,"에헤헤… 기사 군의 손이다…\n따뜻해…♪",13,2,0,8,1
0,100101,1,"좋은 아침~!\n오늘도 힘차게 가자~!",14,2,1,1,1
0,100101,2,"유이한테 과자\n만들어 달라고 할까~♪",15,2,2,1,1
0,100101,3,"자는 것도 수행이라고\n얼마 전에\n레이 씨가 말했어…",16,2,3,1,1
0,100101,1,"제대로 치료해서\n상처가 남지 않도록\n 해야 해…",17,3,0,1,1
0,100101,2,"한 번 쉬면\n그대로 계속\n쉴 것 같아…",18,3,0,1,1
0,100101,3,"새로운 연습 상대를…\n농담이야, 농담!\n진심이 아니라니까!",19,3,0,1,1
0,100101,4,"편하다~ \n마음뿐만 아니라\n몸도 풀리는 것 같아♪",20,3,0,1,1
0,100101,5,"따뜻한 곳에\n있으면 몸이\n 움츠러들어…",21,3,0,1,1
0,100101,6,"언제 무슨 일이 일어날지\n모르니까… 좀 더\n힘을 키우지 않으면!",22,3,0,1,1
0,100101,7,"맛있지만 \n과식하지 않도록\n해야지…!!",23,3,0,1,1
0,100101,8,"글자가 많아서\n잠이 온다…\n위험해, 큰일이야!",24,3,0,1,1
0,100102,1,"리듬을 의식해서…\n하나 둘~ 하나 둘~!\n응, 컨디션은 완벽해",26,1,0,1,1
0,100102,2,"느긋하게 보내는 건\n지루할지도…\n같이 놀지 않을래?",27,1,0,1,1
0,100102,3,"집 보는 건 좀…\n싫을지도…\n뭔가 쓸쓸한 걸",28,1,0,1,1
0,100102,4,"내 친구도\n불러도 돼?\n분명 즐거울 거야!",29,1,0,1,1
0,100102,5,"누구 곤란한 사람 없지?\n…뭘 하면 좋을지\n모르겠어",30,1,0,1,1
0,100102,101,"분명히 기억하고 있어\n기사 군의 목소리…\n그때는 고마웠어!",31,1,0,8,1
0,100102,102,"…어째서 난\n기사 군만\n보고 있는 걸까…",32,1,0,8,1
0,100102,1,"반응하지 않는 특훈…\n이었지만 n무리야~!\n분해애~!",33,2,0,1,1
0,100102,2,"만지는 거 즐거워?\n…그래?\n조금만이다…?",34,2,0,1,1
0,100102,3,"내 기운을 나눠줄게!\n파이팅~! 파이팅~!",35,2,0,1,1
0,100102,4,"왠지 근질거리네?!\n앗, 기사 군이잖아~\n무슨 일이야?",36,2,0,1,1
0,100102,101,"하윽! 정말… \n꼬리는 안 된다니까\n다음엔 꿀밤!",37,2,0,8,1
0,100102,102,"에헤헤… 기사 군의 손이다…\n따뜻해…♪",38,2,0,8,1
0,100102,1,"아침밥과 운동!\n이게 내 건강의\n비결이야!",39,2,1,1,1
0,100102,2,"유이한테 과자\n만들어 달라고 할까~♪",40,2,2,1,1
0,100102,3,"자는 것도 수행이라고\n얼마 전에\n레이 씨가 말했어…",41,2,3,1,1
0,100102,1,"이걸로 됐다\n기사 군\n눈치챌까…?",42,3,0,1,1
0,100102,2,"한 번 쉬면\n그대로 계속\n쉴 것 같아…",43,3,0,1,1
0,100102,3,"새로운 연습 상대를…\n농담이야, 농담!\n진심이 아니라니까!",44,3,0,1,1
0,100102,4,"이런 거 어쩐지\n신경 쓰여서\n계속 보게 돼",45,3,0,1,1
0,100102,5,"따뜻한 곳에\n있으면 몸이\n 움츠러들어…",46,3,0,1,1
0,100102,6,"언제 무슨 일이 일어날지\n모르니까… 좀 더\n힘을 키우지 않으면!",47,3,0,1,1
0,100102,7,"배고프면\n어쩐지 힘이…\n나질 않아…",48,3,0,1,1
0,100102,8,"다양한 것들을\n 알아두는 것은\n중요해!",49,3,0,1,1
0,100201,1,"청소도 끝났고\n다음은\n빨래라도 갤까?",51,1,0,1,1
0,100201,2,"이 마음을\n더 확실히\n전하지 않으면…",52,1,0,1,1
0,100201,3,"차를 마시려고 했는데\n마시고 싶은 사람 없을까?",53,1,0,1,1
0,100201,4,"싸움은 특기가 아니지만\n요리라면…!",54,1,0,1,1
0,100201,5,"이런 평화로운\n시간이 좀 더\n이어졌으면 좋겠다",55,1,0,1,1
0,100201,101,"나…\n좀만 더 용기\n내볼까…",56,1,0,4,1
0,100201,102,"다들 너무 좋아\n무, 물론 기사 군도…\n도, 동료로서!",57,1,0,8,1
0,100201,1,"하윽! 뭐, 뭐야?\n깜짝 놀랐어…",58,2,0,1,1
0,100201,2,"남자는 역시 크네\n저기… 손이라든가\n그 외에도 여러모로…",59,2,0,1,1
0,100201,3,"곤란한 일이\n있으면\n언제든지 말해",60,2,0,1,1
0,100201,4,"엑! 버, 벌레?!\n떼줘, 떼줘!\n빨리~!",61,2,0,1,1
0,100201,101,"저기… 같이\n외출하고 싶은데…\n안 될까?",62,2,0,4,1
0,100201,102,"기사 군에게\n말하고 싶은게 있어\n무척 소중한…\n다, 다음에 말할게!",63,2,0,8,1
0,100201,1,"아, 안녕! 저기…\n아침밥은?\n벌써 먹었어?",64,2,1,1,1
0,100201,2,"점심시간이네\n저기…괜찮으면\n도시락… 먹을래?",65,2,2,1,1
0,100201,3,"늦게까지 수고!\n내일도 힘내자\n하암…",66,2,3,1,1
