bonus_label,early_to,early_level,reward_count,early_from,season_id,id,reward_type,reward_id
5,-1,7,8,6,1,10001,22,53003
5,-1,7,4,6,1,10002,22,53002
4,5,6,6,5,1,10101,22,53003
4,5,6,5,5,1,10102,22,53002
3,4,5,5,4,1,10201,22,53003
3,4,5,5,4,1,10202,22,53002
3,3,4,4,3,1,10301,22,53003
3,3,4,3,3,1,10302,22,53002
2,2,3,3,2,1,10401,22,53003
2,2,3,2,2,1,10402,22,53002
1,1,2,2,1,1,10501,22,53003
1,1,2,1,1,1,10502,22,53002
1,0,1,2,0,1,10601,22,53002
5,-1,7,8,6,2,10701,22,53003
5,-1,7,4,6,2,10702,22,53002
4,5,6,6,5,2,10801,22,53003
4,5,6,5,5,2,10802,22,53002
3,4,5,5,4,2,10901,22,53003
3,4,5,5,4,2,10902,22,53002
3,3,4,4,3,2,11001,22,53003
3,3,4,3,3,2,11002,22,53002
2,2,3,3,2,2,11101,22,53003
2,2,3,2,2,2,11102,22,53002
1,1,2,2,1,2,11201,22,53003
1,1,2,1,1,2,11202,22,53002
1,0,1,2,0,2,11301,22,53002
5,-1,7,8,6,3,11401,22,53003
5,-1,7,4,6,3,11402,22,53002
4,5,6,6,5,3,11501,22,53003
4,5,6,5,5,3,11502,22,53002
3,4,5,5,4,3,11601,22,53003
3,4,5,5,4,3,11602,22,53002
3,3,4,4,3,3,11701,22,53003
3,3,4,3,3,3,11702,22,53002
2,2,3,3,2,3,11801,22,53003
2,2,3,2,2,3,11802,22,53002
1,1,2,2,1,3,11901,22,53003
1,1,2,1,1,3,11902,22,53002
1,0,1,2,0,3,12001,22,53002
5,-1,7,8,6,4,12101,22,53003
5,-1,7,4,6,4,12102,22,53002
4,5,6,6,5,4,12201,22,53003
4,5,6,5,5,4,12202,22,53002
3,4,5,5,4,4,12301,22,53003
3,4,5,5,4,4,12302,22,53002
3,3,4,4,3,4,12401,22,53003
3,3,4,3,3,4,12402,22,53002
2,2,3,3,2,4,12501,22,53003
2,2,3,2,2,4,12502,22,53002
1,1,2,2,1,4,12601,22,53003
1,1,2,1,1,4,12602,22,53002
1,0,1,2,0,4,12701,22,53002
5,-1,7,8,6,5,12801,22,53003
5,-1,7,4,6,5,12802,22,53002
4,5,6,6,5,5,12901,22,53003
4,5,6,5,5,5,12902,22,53002
3,4,5,5,4,5,13001,22,53003
3,4,5,5,4,5,13002,22,53002
3,3,4,4,3,5,13101,22,53003
3,3,4,3,3,5,13102,22,53002
2,2,3,3,2,5,13201,22,53003
2,2,3,2,2,5,13202,22,53002
1,1,2,2,1,5,13301,22,53003
1,1,2,1,1,5,13302,22,53002
1,0,1,2,0,5,13401,22,53002
5,-1,7,8,6,6,13501,22,53003
5,-1,7,4,6,6,13502,22,53002
4,5,6,6,5,6,13601,22,53003
4,5,6,5,5,6,13702,22,53002
3,4,5,5,4,6,13801,22,53003
3,4,5,5,4,6,13902,22,53002
3,3,4,4,3,6,14001,22,53003
3,3,4,3,3,6,14002,22,53002
2,2,3,3,2,6,14101,22,53003
2,2,3,2,2,6,14102,22,53002
1,1,2,2,1,6,14201,22,53003
1,1,2,1,1,6,14202,22,53002
1,0,1,2,0,6,14301,22,53002
5,-1,7,8,6,7,14401,22,53003
5,-1,7,4,6,7,14402,22,53002
4,5,6,6,5,7,14501,22,53003
4,5,6,5,5,7,14502,22,53002
3,4,5,5,4,7,14601,22,53003
3,4,5,5,4,7,14701,22,53002
3,3,4,4,3,7,14801,22,53003
3,3,4,3,3,7,14802,22,53002
2,2,3,3,2,7,14901,22,53003
2,2,3,2,2,7,14902,22,53002
1,1,2,2,1,7,15001,22,53003
1,1,2,1,1,7,15002,22,53002
1,0,1,2,0,7,15101,22,53002
