image_id_1,choice_2,choice_1,image_id_2,image_id_4,image_id_3,choice_3,asm_id,choice_4,correct_answer
0,"버크","버그",0,0,0,"허그",2110001,"퍼그",1
0,"테크닉","테크놀로지",0,0,0,"테이크",2110003,"테이큰",1
0,"눈보라","눈사태",0,0,0,"땅울림",2110005,"동상",1
0,"화석","자석",0,0,0,"흑요석",2110006,"대리석",1
0,"리버","오션",0,0,0,"걸프",2110007,"미스트",1
0,"랫 사인","앳 사인",0,0,0,"배드 사인",2110008,"커트 사인",1
0,"햇볕이 닿지 않는 곳","햇볕이 닿는 곳",0,0,0,"항상 시원한 곳",2110010,"건물 안",1
0,"더블 데이트","업데이트",0,0,0,"해피 데이트",2110011,"발렌타인 데이트",1
0,"불도저","블리자드",0,0,0,"오브리가도",2110012,"바리케이드",1
0,"달","태양",0,0,0,"지구",2110014,"화성",1
0,"포물선","지평선",0,0,0,"전화선",2110016,"경춘선",1
0,"백역사","흑역사",0,0,0,"적역사",2110018,"청역사",1
0,"미림","간장",0,0,0,"식초",2110019,"된장",1
0,"손목","발목",0,0,0,"목",2110021,"생목",1
0,"연락없다","영락없다",0,0,0,"어처구니없다",2110022,"어이없다",1
0,"프레스 코드","드레스 코드",0,0,0,"바코드",2110023,"인코드",1
0,"다루마오토시","코케라오토시",0,0,0,"야쿠오토시",2110024,"마쿠오토시",1
0,"코일","코인",0,0,0,"라이스",2110025,"라인",1
0,"패럴렐","어패럴",0,0,0,"내추럴",2110026,"파라솔",1
0,"워터파크","워터마크",0,0,0,"파이어마크",2110028,"파이어파크",1
0,"에두르다","여의찮다",0,0,0,"안심찮다",2110031,"아우르다",1
0,"뇌","경",0,0,0,"시",2110032,"랩",1
0,"집게","날개",0,0,0,"발톱",2110034,"꼬리",1
0,"레모네이드","물",0,0,0,"콜라",2110035,"사이다",1
0,"덮개","뚜껑",0,0,0,"냄비",2110036,"천장",1
0,"눈곱","눈엣가시",0,0,0,"눈썹",2110037,"눈물자국",1
0,"두 치","한 치",0,0,0,"세 치",2110038,"네 치",1
0,"수박","호박",0,0,0,"주박",2110039,"노각",1
0,"엎친","덮친",0,0,0,"미친",2110040,"거친",1
0,"묵","죽",0,0,0,"쑥",2110041,"축",1
0,"風","水",0,0,0,"火",2110042,"土",1
0,"寒","冷",0,0,0,"氷",2110043,"水",1
0,"韓","朝",0,0,0,"散",2110044,"脇",1
0,"不適切","不可",0,0,0,"不道德",2110045,"不在中",1
0,"先生","宣誓",0,0,0,"先制",2110046,"占星",1
0,"氣象","起牀",0,0,0,"稀少",2110047,"氣相",1
0,"비","불",0,0,0,"무",2110049,"미",1
0,"불","비",0,0,0,"무",2110050,"미",1
0,"불","무",0,0,0,"비",2110051,"미",1
0,"불","미",0,0,0,"비",2110052,"무",1
0,"馬耳東風","作心三日",0,0,0,"一日千秋",2110053,"有名無実",1
0,"미역국","김칫국",0,0,0,"아욱국",2110054,"된장국",1
0,"키위","포도",0,0,0,"수박",2110056,"참외",1
0,"十","百",0,0,0,"千",2110058,"万 ",1
0,"九","十",0,0,0,"八",2110060,"七",1
0,"저지먼트","해피 엔딩",0,0,0,"베케이션",2111001,"하이텐션",1
0,"치에룬~☆","두두두두두~★",0,0,0,"장난 아니네요★",2111002,"꿈은 슈퍼스타☆☆★",1
0,"짐승의 귀와 꼬리","뾰족하고 긴 귀",0,0,0,"가장 인구가 많은 것",2111003,"뿔이 두 개 있는 머리",1
0,"쿠온","카온",0,0,0,"파온",2111004,"캬온",1
0,"빛나다","성장하다",0,0,0,"비싸다",2111005,"교육하다",1
0,"황금","황동",0,0,0,"순은",2120002,"청동",1
0,Lever,Liver,0,0,0,Lava,2120004,Level,1
0,"프네우마","트라우마",0,0,0,"수마트라",2120005,"스트레스",1
0,"줄비","떡비",0,0,0,"밥비",2120006,"술비",1
0,"흑동","백동",0,0,0,"은동",2120009,"금동",1
0,"소들보","대들보",0,0,0,"중들보",2120011,"상들보",1
0,"전차","전보",0,0,0,"전원",2120012,"전등",1
0,"간장","미림",0,0,0,"식초",2120013,"된장",1
0,"중작","세작",0,0,0,"대작",2120014,"우전",1
0,"투자","개발",0,0,0,"예산",2120016,"기사",1
0,"초연","휴식",0,0,0,"입장",2120017,"퇴장",1
0,"롱웨이","하이웨이",0,0,0,"플라이어웨이",2120018,"레일웨이",1
0,"바위","계란",0,0,0,"칼등",2120021,"주먹",1
0,"음악가","구두쇠",0,0,0,"낚시꾼",2120022,"수학자",1
0,"4년","3년",0,0,0,"2년",2120023,"5년",1
0,"제삿날","장날",0,0,0,"설날",2120025,"살날",1
0,"목","간",0,0,0,"위",2120026,"뇌",1
0,"一鳥一石","一朝一夕",0,0,0,"一長一短",2120027,"一兆一億",1
0,"2개","4개",0,0,0,"6개",2120028,"8개",1
0,hallo,hello,0,0,0,herro,2120029,harro,1
0,"불언실행","우유부단",0,0,0,"일진일퇴",2120031,"일진월보",1
0,"목요일","금요일",0,0,0,"일요일",2120033,"월요일",1
0,"금요일","수요일",0,0,0,"목요일",2120034,"화요일",1
0,"더빙 메시지","다잉 메시지",0,0,0,"댄싱 메시지",2120035,"다이빙 메시지",1
0,"은","금",0,0,0,"동",2120036,"백금",1
0,"침실","화장실",0,0,0,"옷장",2120037,"부엌",1
0,"거울 귀","거울 감",0,0,0,"거울 울",2120038,"거울 거",1
0,"三","森",0,0,0,"參",2120039,"滲",1
0,"시작","중간",0,0,0,"끝",2120042,"집",1
0,"신수","세 집",0,0,0,"평생",2120045,"없음",1
0,"콩","쌀",0,0,0,"팥",2120046,"없음",1
0,"종로","등",0,0,0,"한강",2120047,"없음",1
0,"팔면육비","구사일생",0,0,0,"사분오열",2120048,"십인십색",1
0,"백발백중","천재일우",0,0,0,"사면초가",2120049,"일망타진",1
0,"자동차","비행기",0,0,0,"크루즈",2120050,"전세기",1
0,9,10,0,0,0,2,2120051,7,1
0,"빨강","파랑",0,0,0,"검정",2120053,"하양",1
0,"거위","오리",0,0,0,"백조",2120054,"참새",1
0,"가족","적",0,0,0,"커플",2120055,"사제",1
0,"표고","죽순",0,0,0,"두릅",2120056,"아스파라거스",1
0,"시루","비지",0,0,0,"망개",2120057,"찹쌀",1
0,"발","손",0,0,0,"입",2120058,"팔",1
0,"밤","밥",0,0,0,"물",2120059,"술",1
0,"참외","수박",0,0,0,"사과",2120060,"자두",1
0,"狸","狐",0,0,0,"猫",2120061,"兎",1
0,"바닥쿵 방랑단","바이바이 외톨단",0,0,0,"보람찬 방위단",2121001,"알바만 반복단",1
0,"더 바탤리언 오브 하데스 이모탈스","디 오더 오브 게헤나 이모탈스",0,0,0,"더 바탤리언 오브 게헤나 이모탈스",2121002,"디 오더 오브 하데스 이모탈스",1
0,"서약여군","절대처군",0,0,0,"성야여군",2121003,"용맹여군",1
0,"질풍의 아테나","질풍의 헤카테",0,0,0,"질풍의 메티스",2121004,"질풍의 다크 프린세스",1
0,10000000,1000000,0,0,0,1000,2121005,100000000,1
0,"엄지","약지",0,0,0,"소지",2130004,"중지",1
0,"약지","중지",0,0,0,"엄지",2130005,"검지",1
0,"중지","검지",0,0,0,"약지",2130006,"엄지",1
0,"고기","술",0,0,0,"야채",2130007,"쌀",1
0,"가난함","세상 물정을 모름",0,0,0,"고집이 셈",2130008,"병을 앓음",1
0,"病","床",0,0,0,"原",2130009,"尾",1
0,"東","南",0,0,0,"西",2130011,"北",1
0,"화장실","부엌",0,0,0,"거실",2130014,"드레스룸",1
0,"七","九",0,0,0,"六",2130015,"八",1
0,"거문고","샤미센",0,0,0,"기타",2130016,"피아노",1
0,"再三再四","天衣無法",0,0,0,"各樣各色",2130018,"馬耳東風",1
0,"靑","赤",0,0,0,"蒼",2130019,"碧",1
0,"皮","掛軸",0,0,0,"革",2130020,"韋",1
0,"起承轉結","羊頭苦肉",0,0,0,"無錢取食",2130021,"一誤再誤",1
0,"春","秋",0,0,0,"夏",2130022,"冬",1
0,"한","반",0,0,0,"혼",2130023,"단",1
0,"인","탄",0,0,0,"산",2130024,"군",1
0,"인","침",0,0,0,"근",2130025,"전",1
0,"伊乃木","木乃伊",0,0,0,"木伊乃",2130026,"乃伊木",1
0,"열온탕","미온탕",0,0,0,"냉온탕",2130027,"허브탕",1
0,"手風琴","自鳴琴",0,0,0,"口風琴",2130028,"鉄琴",1
0,"点描","素描",0,0,0,"線描",2130029,"寸描",1
0,"대담하다","욕심을 부린다",0,0,0,"부주의하다",2130030,"평범하다",1
0,"하의","상의",0,0,0,"양말",2130031,"모자",1
0,"도박","낚시",0,0,0,"식사",2130033,"여성",1
0,"말","소",0,0,0,"용",2130034,"뱀",1
0,"나쁜 순간에 도움","좋은 일에 방해",0,0,0,"돌연 찾아온 기회",2130035,"고생이 겹치다",1
0,"비료","진토",0,0,0,"표토",2130036,"염료",1
0,"말","소",0,0,0,"쥐",2130037,"닭",1
0,"배 한 척","실 한 오리",0,0,0,"물 한 방울",2130039,"풀 한 포기",1
0,"잠","지폐",0,0,0,"물 위",2130041,"짐승의 얼굴",1
0,"남을 믿지 않는다","남을 쉽게 믿는다",0,0,0,"남에게 의지한다",2130044,"남을 무시한다",1
