gacha10_special_odds_star3,movie_id,description_sp,gacha_times_limit10,chara_odds_star2,description,329d5d8cff546cdf6c22260c4eae7c8bcba231ec454b47a6cd709f694430565e,discount_price,chara_odds_star1,pickup_badge,tab_name,gacha_type,gacha_id,gacha_odds_star2,gacha_odds,special_id,pick_up_chara_text,rarity_odds,title_id,gacha_detail,pickup_id,free_gacha_interval_time,gacha_bonus_id,gacha10_special_odds_star2,description_2,prizegacha_id,gacha_cost_type,exchange_id,free_gacha_type,parallel_id,price,start_time,free_gacha_count,gacha10_special_odds_star1,ticket_id,gacha_name,a14fba2d3f5c51e36dc002d3e0f851b4f2734af4fbac83e07bc9c3cbf37a4a15,chara_odds_star3,ticket_id_10,end_time
0,0,"",0,0,"아이템이나 메모리 피스를 GET!",0,0,0,0,"",0,10001,"",10001,0,"",0,0,1,0,0,0,0,"",0,3,0,1,0,0,"2015/04/01 15:00:00",10,0,0,"노멀 뽑기",0,0,0,"2019/03/27 14:59:59"
0,0,"",0,0,"아이템이나 메모리 피스를 GET!",0,0,0,0,"",0,10002,"",10002,0,"",0,0,1,0,0,0,0,"",0,3,0,1,0,0,"2019/03/27 15:00:00",10,0,0,"노멀 뽑기",0,0,0,"2019/04/19 14:59:59"
0,0,"",0,0,"아이템이나 메모리 피스를 GET!",0,0,0,0,"",0,10003,"",10003,0,"",0,0,1,0,0,0,0,"",0,3,0,1,0,0,"2019/04/19 15:00:00",10,0,0,"노멀 뽑기",0,0,0,"2019/05/02 14:59:59"
0,0,"",0,0,"아이템이나 메모리 피스를 GET!",0,0,0,0,"",0,10004,"",10004,0,"",0,0,1,0,0,0,0,"",0,3,0,1,0,0,"2019/05/02 15:00:00",10,0,0,"노멀 뽑기",0,0,0,"2019/05/16 14:59:59"
0,0,"",0,0,"아이템이나 메모리 피스를 GET!",0,0,0,0,"",0,10005,"",10005,0,"",0,0,1,0,0,0,0,"",0,3,0,1,0,0,"2019/05/16 15:00:00",10,0,0,"노멀 뽑기",0,0,0,"2019/05/29 14:59:59"
0,0,"",0,0,"아이템이나 메모리 피스를 GET!",0,0,0,0,"",0,10006,"",10006,0,"",0,0,1,0,0,0,0,"",0,3,0,1,0,0,"2019/05/29 15:00:00",10,0,0,"노멀 뽑기",0,0,0,"2019/06/13 14:59:59"
0,0,"",0,0,"아이템이나 메모리 피스를 GET!",0,0,0,0,"",0,10007,"",10007,0,"",0,0,1,0,0,0,0,"",0,3,0,1,0,0,"2019/06/13 15:00:00",10,0,0,"노멀 뽑기",0,0,0,"2019/06/27 14:59:59"
0,0,"",0,0,"아이템이나 메모리 피스를 GET!",0,0,0,0,"",0,10008,"",10008,0,"",0,0,1,0,0,0,0,"",0,3,0,1,0,0,"2019/06/27 15:00:00",10,0,0,"노멀 뽑기",0,0,0,"2019/07/16 14:59:59"
0,0,"",0,0,"아이템이나 메모리 피스를 GET!",0,0,0,0,"",0,10009,"",10009,0,"",0,0,1,0,0,0,0,"",0,3,0,1,0,0,"2019/07/16 15:00:00",10,0,0,"노멀 뽑기",0,0,0,"2019/07/30 14:59:59"
0,0,"",0,0,"아이템이나 메모리 피스를 GET!",0,0,0,0,"",0,10010,"",10010,0,"",0,0,1,0,0,0,0,"",0,3,0,1,0,0,"2019/07/30 15:00:00",10,0,0,"노멀 뽑기",0,0,0,"2019/08/14 14:59:59"
0,0,"",0,0,"아이템이나 메모리 피스를 GET!",0,0,0,0,"",0,10011,"",10011,0,"",0,0,1,0,0,0,0,"",0,3,0,1,0,0,"2019/08/14 15:00:00",10,0,0,"노멀 뽑기",0,0,0,"2019/08/29 14:59:59"
0,0,"",0,0,"아이템이나 메모리 피스를 GET!",0,0,0,0,"",0,10012,"",10012,0,"",0,0,1,0,0,0,0,"",0,3,0,1,0,0,"2019/08/29 15:00:00",10,0,0,"노멀 뽑기",0,0,0,"2019/09/17 14:59:59"
0,0,"",0,0,"아이템이나 메모리 피스를 GET!",0,0,0,0,"",0,10013,"",10013,0,"",0,0,1,0,0,0,0,"",0,3,0,1,0,0,"2019/09/17 15:00:00",10,0,0,"노멀 뽑기",0,0,0,"2019/10/01 14:59:59"
0,0,"",0,0,"아이템이나 메모리 피스를 GET!",0,0,0,0,"",0,10014,"",10014,0,"",0,0,1,0,0,0,0,"",0,3,0,1,0,0,"2019/10/01 15:00:00",10,0,0,"노멀 뽑기",0,0,0,"2019/10/15 14:59:59"
0,0,"",0,0,"아이템이나 메모리 피스를 GET!",0,0,0,0,"",0,10015,"",10015,0,"",0,0,1,0,0,0,0,"",0,3,0,1,0,0,"2019/10/15 15:00:00",10,0,0,"노멀 뽑기",0,0,0,"2019/10/30 14:59:59"
0,0,"",0,0,"아이템이나 메모리 피스를 GET!",0,0,0,0,"",0,10016,"",10016,0,"",0,0,1,0,0,0,0,"",0,3,0,1,0,0,"2019/10/30 15:00:00",10,0,0,"노멀 뽑기",0,0,0,"2019/11/13 14:59:59"
0,0,"",0,0,"아이템이나 메모리 피스를 GET!",0,0,0,0,"",0,10017,"",10017,0,"",0,0,1,0,0,0,0,"",0,3,0,1,0,0,"2019/11/13 15:00:00",10,0,0,"노멀 뽑기",0,0,0,"2019/11/28 14:59:59"
0,0,"",0,0,"아이템이나 메모리 피스를 GET!",0,0,0,0,"",0,10018,"",10018,0,"",0,0,1,0,0,0,0,"",0,3,0,1,0,0,"2019/11/28 15:00:00",10,0,0,"노멀 뽑기",0,0,0,"2019/12/03 14:59:59"
0,0,"",0,0,"아이템이나 메모리 피스를 GET!",0,0,0,0,"",0,10019,"",10019,0,"",0,0,1,0,0,0,0,"",0,3,0,1,0,0,"2019/12/03 15:00:00",10,0,0,"노멀 뽑기",0,0,0,"2019/12/17 14:59:59"
0,0,"",0,0,"아이템이나 메모리 피스를 GET!",0,0,0,0,"",0,10020,"",10020,0,"",0,0,1,0,0,0,0,"",0,3,0,1,0,0,"2019/12/17 15:00:00",10,0,0,"노멀 뽑기",0,0,0,"2019/12/31 14:59:59"
0,0,"",0,0,"아이템이나 메모리 피스를 GET!",0,0,0,0,"",0,10021,"",10021,0,"",0,0,1,0,0,0,0,"",0,3,0,1,0,0,"2019/12/31 15:00:00",10,0,0,"노멀 뽑기",0,0,0,"2020/01/16 14:59:59"
0,0,"",0,0,"아이템이나 메모리 피스를 GET!",0,0,0,0,"",0,10022,"",10022,0,"",0,0,1,0,0,0,0,"",0,3,0,1,0,0,"2020/01/16 15:00:00",10,0,0,"노멀 뽑기",0,0,0,"2020/01/30 14:59:59"
0,0,"",0,0,"아이템이나 메모리 피스를 GET!",0,0,0,0,"",0,10023,"",10023,0,"",0,0,1,0,0,0,0,"",0,3,0,1,0,0,"2020/01/30 15:00:00",10,0,0,"노멀 뽑기",0,0,0,"2020/02/03 14:59:59"
0,0,"",0,0,"아이템이나 메모리 피스를 GET!",0,0,0,0,"",0,10024,"",10024,0,"",0,0,1,0,0,0,0,"",0,3,0,1,0,0,"2020/02/03 15:00:00",10,0,0,"노멀 뽑기",0,0,0,"2020/02/13 14:59:59"
0,0,"",0,0,"아이템이나 메모리 피스를 GET!",0,0,0,0,"",0,10025,"",10025,0,"",0,0,1,0,0,0,0,"",0,3,0,1,0,0,"2020/02/13 15:00:00",10,0,0,"노멀 뽑기",0,0,0,"2020/02/27 14:59:59"
0,0,"",0,0,"아이템이나 메모리 피스를 GET!",0,0,0,0,"",0,10026,"",10026,0,"",0,0,1,0,0,0,0,"",0,3,0,1,0,0,"2020/02/27 15:00:00",10,0,0,"노멀 뽑기",0,0,0,"2020/03/18 14:59:59"
0,0,"",0,0,"아이템이나 메모리 피스를 GET!",0,0,0,0,"",0,10027,"",10027,0,"",0,0,1,0,0,0,0,"",0,3,0,1,0,0,"2020/03/18 15:00:00",10,0,0,"노멀 뽑기",0,0,0,"2020/04/01 14:59:59"
0,0,"",0,0,"아이템이나 메모리 피스를 GET!",0,0,0,0,"",0,10028,"",10028,0,"",0,0,1,0,0,0,0,"",0,3,0,1,0,0,"2020/04/01 15:00:00",10,0,0,"노멀 뽑기",0,0,0,"2020/04/16 14:59:59"
0,0,"",0,0,"아이템이나 메모리 피스를 GET!",0,0,0,0,"",0,10029,"",10029,0,"",0,0,1,0,0,0,0,"",0,3,0,1,0,0,"2020/04/16 15:00:00",10,0,0,"노멀 뽑기",0,0,0,"2020/04/29 14:59:59"
0,0,"",0,0,"아이템이나 메모리 피스를 GET!",0,0,0,0,"",0,10030,"",10030,0,"",0,0,1,0,0,0,0,"",0,3,0,1,0,0,"2020/04/29 15:00:00",10,0,0,"노멀 뽑기",0,0,0,"2020/05/13 14:59:59"
0,0,"",0,0,"아이템이나 메모리 피스를 GET!",0,0,0,0,"",0,10031,"",10031,0,"",0,0,1,0,0,0,0,"",0,3,0,1,0,0,"2020/05/13 15:00:00",10,0,0,"노멀 뽑기",0,0,0,"2020/05/28 14:59:59"
0,0,"",0,0,"아이템이나 메모리 피스를 GET!",0,0,0,0,"",0,10032,"",10032,0,"",0,0,1,0,0,0,0,"",0,3,0,1,0,0,"2020/05/28 15:00:00",10,0,0,"노멀 뽑기",0,0,0,"2020/06/02 14:59:59"
0,0,"",0,0,"아이템이나 메모리 피스를 GET!",0,0,0,0,"",0,10033,"",10033,0,"",0,0,1,0,0,0,0,"",0,3,0,1,0,0,"2020/06/02 15:00:00",10,0,0,"노멀 뽑기",0,0,0,"2020/06/09 14:59:59"
0,0,"",0,0,"아이템이나 메모리 피스를 GET!",0,0,0,0,"",0,10034,"",10034,0,"",0,0,1,0,0,0,0,"",0,3,0,1,0,0,"2020/06/09 15:00:00",10,0,0,"노멀 뽑기",0,0,0,"2020/06/15 14:59:59"
0,0,"",0,0,"아이템이나 메모리 피스를 GET!",0,0,0,0,"",0,10035,"",10035,0,"",0,0,1,0,0,0,0,"",0,3,0,1,0,0,"2020/06/15 15:00:00",10,0,0,"노멀 뽑기",0,0,0,"2020/06/17 14:59:59"
