reward_count,score,nbb_chara_type,id,detail,reward_type,reward_id
10,2500,1,101,"스코어를 누적 2500pt 획득하자",8,91002
10,5000,1,102,"스코어를 누적 5000pt 획득하자",8,91002
10,10000,1,103,"스코어를 누적 10000pt 획득하자",8,91002
10,12500,1,104,"스코어를 누적 12500pt 획득하자",8,91002
10,15000,1,105,"스코어를 누적 15000pt 획득하자",8,91002
10,20000,1,106,"스코어를 누적 20000pt 획득하자",8,91002
10,25000,1,107,"스코어를 누적 25000pt 획득하자",8,91002
10,30000,1,108,"스코어를 누적 30000pt 획득하자",8,91002
10,35000,1,109,"스코어를 누적 35000pt 획득하자",8,91002
10,40000,1,110,"스코어를 누적 40000pt 획득하자",8,91002
10,45000,1,111,"스코어를 누적 45000pt 획득하자",8,91002
1,50000,1,112,"스코어를 누적 50000pt 획득하자",15,11001302
10,2500,2,201,"스코어를 누적 2500pt 획득하자",8,91002
10,5000,2,202,"스코어를 누적 5000pt 획득하자",8,91002
10,10000,2,203,"스코어를 누적 10000pt 획득하자",8,91002
10,12500,2,204,"스코어를 누적 12500pt 획득하자",8,91002
10,15000,2,205,"스코어를 누적 15000pt 획득하자",8,91002
10,20000,2,206,"스코어를 누적 20000pt 획득하자",8,91002
10,25000,2,207,"스코어를 누적 25000pt 획득하자",8,91002
10,30000,2,208,"스코어를 누적 30000pt 획득하자",8,91002
10,35000,2,209,"스코어를 누적 35000pt 획득하자",8,91002
10,40000,2,210,"스코어를 누적 40000pt 획득하자",8,91002
10,45000,2,211,"스코어를 누적 45000pt 획득하자",8,91002
1,50000,2,212,"스코어를 누적 50000pt 획득하자",15,11001303
