rail_2,difficulty_level,rail_1,course_id,time,type,length,rail_3,peek_pos,feature
1001,1,1002,1100001,32.0,1,10590,1003,575,1
1004,1,1005,1100002,32.0,1,10590,1006,575,1
1007,1,1008,1100003,32.0,1,10590,1009,575,2
1010,1,1011,1100004,33.0,1,11820,1012,500,1
1013,1,1014,1100005,33.0,1,11820,1015,500,1
1016,1,1017,1100006,33.0,1,11820,1018,500,2
1019,1,1020,1100007,33.0,1,11820,1021,500,4
1022,1,1023,1100008,35.0,1,13050,1024,375,1
1025,1,1026,1100009,35.0,1,13050,1027,375,1
1028,1,1029,1100010,35.0,1,13050,1030,375,6
2001,2,2002,1200001,34.0,1,10590,2003,575,1
2004,2,2005,1200002,34.0,1,10590,2006,575,1
2007,2,2008,1200003,34.0,1,10590,2009,575,1
2010,2,2011,1200004,34.0,1,10590,2012,575,1
2013,2,2014,1200005,34.0,1,10590,2015,575,2
2016,2,2017,1200006,34.0,1,10590,2018,575,4
2019,2,2020,1200007,34.0,1,10590,2021,575,6
2022,2,2023,1200008,35.0,1,11820,2024,500,1
2025,2,2026,1200009,35.0,1,11820,2027,500,1
2028,2,2029,1200010,35.0,1,11820,2030,500,1
2031,2,2032,1200011,35.0,1,11820,2033,500,1
2034,2,2035,1200012,35.0,1,11820,2036,500,4
2037,2,2038,1200013,35.0,1,11820,2039,500,6
2040,2,2041,1200014,38.0,1,13050,2042,375,1
2043,2,2044,1200015,38.0,1,13050,2045,375,1
2046,2,2047,1200016,38.0,1,13050,2048,375,1
2049,2,2050,1200017,38.0,1,13050,2051,375,1
2052,2,2053,1200018,38.0,1,13050,2054,375,2
2055,2,2056,1200019,38.0,1,13050,2057,375,4
2058,2,2059,1200020,38.0,1,13050,2060,375,6
3001,3,3002,1300001,37.0,1,10590,3003,575,1
3004,3,3005,1300002,37.0,1,10590,3006,575,1
3007,3,3008,1300003,37.0,1,10590,3009,575,1
3010,3,3011,1300004,37.0,1,10590,3012,575,1
3013,3,3014,1300005,37.0,1,10590,3015,575,1
3016,3,3017,1300006,37.0,1,10590,3018,575,1
3019,3,3020,1300007,37.0,1,10590,3021,575,2
3022,3,3023,1300008,37.0,1,10590,3024,575,2
3025,3,3026,1300009,37.0,1,10590,3027,575,4
3028,3,3029,1300010,37.0,1,10590,3030,575,6
3031,3,3032,1300011,38.0,1,11820,3033,500,1
3034,3,3035,1300012,38.0,1,11820,3036,500,1
3037,3,3038,1300013,38.0,1,11820,3039,500,1
3040,3,3041,1300014,38.0,1,11820,3042,500,1
3043,3,3044,1300015,38.0,1,11820,3045,500,1
3046,3,3047,1300016,38.0,1,11820,3048,500,1
3049,3,3050,1300017,38.0,1,11820,3051,500,2
3052,3,3053,1300018,38.0,1,11820,3054,500,4
3055,3,3056,1300019,38.0,1,11820,3057,500,4
3058,3,3059,1300020,38.0,1,11820,3060,500,6
3061,3,3062,1300021,40.0,1,13050,3063,375,1
3064,3,3065,1300022,40.0,1,13050,3066,375,1
3067,3,3068,1300023,40.0,1,13050,3069,375,1
3070,3,3071,1300024,40.0,1,13050,3072,375,1
3073,3,3074,1300025,40.0,1,13050,3075,375,1
3076,3,3077,1300026,40.0,1,13050,3078,375,1
3079,3,3080,1300027,40.0,1,13050,3081,375,2
3082,3,3083,1300028,40.0,1,13050,3084,375,4
3085,3,3086,1300029,40.0,1,13050,3087,375,6
3088,3,3089,1300030,40.0,1,13050,3090,375,6
4001,1,4002,2100001,29.0,2,9360,4003,700,3
4004,1,4005,2100002,29.0,2,9360,4006,700,5
4007,1,4008,2100003,29.0,2,9360,4009,700,7
4010,1,4011,2100004,29.0,2,9360,4012,700,3
4013,1,4014,2100005,29.0,2,9360,4015,700,5
4016,1,4017,2100006,29.0,2,9360,4018,700,7
4019,1,4020,2100007,30.0,2,10590,4021,575,3
4022,1,4023,2100008,30.0,2,10590,4024,575,5
4025,1,4026,2100009,30.0,2,10590,4027,575,7
4028,1,4029,2100010,30.0,2,10590,4030,575,3
5001,2,5002,2200001,33.0,2,9360,5003,700,3
5004,2,5005,2200002,33.0,2,9360,5006,700,5
5007,2,5008,2200003,33.0,2,9360,5009,700,7
5010,2,5011,2200004,33.0,2,9360,5012,700,3
5013,2,5014,2200005,33.0,2,9360,5015,700,5
5016,2,5017,2200006,33.0,2,9360,5018,700,7
5019,2,5020,2200007,33.0,2,9360,5021,700,3
5022,2,5023,2200008,33.0,2,9360,5024,700,5
5025,2,5026,2200009,33.0,2,9360,5027,700,7
5028,2,5029,2200010,33.0,2,9360,5030,700,3
5031,2,5032,2200011,33.0,2,9360,5033,700,5
5034,2,5035,2200012,33.0,2,9360,5036,700,7
5037,2,5038,2200013,34.0,2,10590,5039,575,3
5040,2,5041,2200014,34.0,2,10590,5042,575,5
5043,2,5044,2200015,34.0,2,10590,5045,575,7
5046,2,5047,2200016,34.0,2,10590,5048,575,3
5049,2,5050,2200017,34.0,2,10590,5051,575,5
5052,2,5053,2200018,34.0,2,10590,5054,575,7
5055,2,5056,2200019,34.0,2,10590,5057,575,5
5058,2,5059,2200020,34.0,2,10590,5060,575,7
6001,3,6002,2300001,33.0,2,9360,6003,700,3
6004,3,6005,2300002,33.0,2,9360,6006,700,5
6007,3,6008,2300003,33.0,2,9360,6009,700,7
6010,3,6011,2300004,33.0,2,9360,6012,700,3
6013,3,6014,2300005,33.0,2,9360,6015,700,5
6016,3,6017,2300006,33.0,2,9360,6018,700,7
6019,3,6020,2300007,33.0,2,9360,6021,700,3
6022,3,6023,2300008,33.0,2,9360,6024,700,5
6025,3,6026,2300009,33.0,2,9360,6027,700,7
6028,3,6029,2300010,33.0,2,9360,6030,700,3
6031,3,6032,2300011,33.0,2,9360,6033,700,5
6034,3,6035,2300012,33.0,2,9360,6036,700,7
6037,3,6038,2300013,33.0,2,9360,6039,700,3
6040,3,6041,2300014,33.0,2,9360,6042,700,5
6043,3,6044,2300015,33.0,2,9360,6045,700,7
6046,3,6047,2300016,33.0,2,9360,6048,700,3
6049,3,6050,2300017,33.0,2,9360,6051,700,5
6052,3,6053,2300018,33.0,2,9360,6054,700,7
6055,3,6056,2300019,34.0,2,10590,6057,575,3
6058,3,6059,2300020,34.0,2,10590,6060,575,5
6061,3,6062,2300021,34.0,2,10590,6063,575,7
6064,3,6065,2300022,34.0,2,10590,6066,575,3
6067,3,6068,2300023,34.0,2,10590,6069,575,5
6070,3,6071,2300024,34.0,2,10590,6072,575,7
6073,3,6074,2300025,34.0,2,10590,6075,575,3
6076,3,6077,2300026,34.0,2,10590,6078,575,5
6079,3,6080,2300027,34.0,2,10590,6081,575,7
6082,3,6083,2300028,34.0,2,10590,6084,575,3
6085,3,6086,2300029,34.0,2,10590,6087,575,5
6088,3,6089,2300030,34.0,2,10590,6090,575,7
7001,1,7002,3100001,39.0,3,14280,7003,340,1
7004,1,7005,3100002,39.0,3,14280,7006,340,1
7007,1,7008,3100003,39.0,3,14280,7009,340,1
7010,1,7011,3100004,39.0,3,14280,7012,340,1
7013,1,7014,3100005,39.0,3,14280,7015,340,1
7016,1,7017,3100006,39.0,3,14280,7018,340,1
7019,1,7020,3100007,36.0,3,13050,7021,375,1
7022,1,7023,3100008,36.0,3,13050,7024,375,1
7025,1,7026,3100009,36.0,3,13050,7027,375,1
7028,1,7029,3100010,36.0,3,13050,7030,375,1
8001,2,8002,3200001,41.0,3,14280,8003,340,1
8004,2,8005,3200002,41.0,3,14280,8006,340,1
8007,2,8008,3200003,41.0,3,14280,8009,340,1
8010,2,8011,3200004,41.0,3,14280,8012,340,1
8013,2,8014,3200005,41.0,3,14280,8015,340,1
8016,2,8017,3200006,41.0,3,14280,8018,340,1
8019,2,8020,3200007,41.0,3,14280,8021,340,1
8022,2,8023,3200008,41.0,3,14280,8024,340,1
8025,2,8026,3200009,41.0,3,14280,8027,340,1
8028,2,8029,3200010,41.0,3,14280,8030,340,1
8031,2,8032,3200011,41.0,3,14280,8033,340,1
8034,2,8035,3200012,41.0,3,14280,8036,340,1
8037,2,8038,3200013,38.0,3,13050,8039,375,1
8040,2,8041,3200014,38.0,3,13050,8042,375,1
8043,2,8044,3200015,38.0,3,13050,8045,375,1
8046,2,8047,3200016,38.0,3,13050,8048,375,1
8049,2,8050,3200017,38.0,3,13050,8051,375,1
8052,2,8053,3200018,38.0,3,13050,8054,375,1
8055,2,8056,3200019,38.0,3,13050,8057,375,1
8058,2,8059,3200020,38.0,3,13050,8060,375,1
9001,3,9002,3300001,40.0,3,14280,9003,340,1
9004,3,9005,3300002,40.0,3,14280,9006,340,1
9007,3,9008,3300003,40.0,3,14280,9009,340,1
9010,3,9011,3300004,40.0,3,14280,9012,340,1
9013,3,9014,3300005,40.0,3,14280,9015,340,1
9016,3,9017,3300006,40.0,3,14280,9018,340,1
9019,3,9020,3300007,40.0,3,14280,9021,340,1
9022,3,9023,3300008,40.0,3,14280,9024,340,1
9025,3,9026,3300009,40.0,3,14280,9027,340,1
9028,3,9029,3300010,40.0,3,14280,9030,340,1
9031,3,9032,3300011,40.0,3,14280,9033,340,1
9034,3,9035,3300012,40.0,3,14280,9036,340,1
9037,3,9038,3300013,40.0,3,14280,9039,340,1
9040,3,9041,3300014,40.0,3,14280,9042,340,1
9043,3,9044,3300015,40.0,3,14280,9045,340,1
9046,3,9047,3300016,40.0,3,14280,9048,340,1
9049,3,9050,3300017,40.0,3,14280,9051,340,1
9052,3,9053,3300018,40.0,3,14280,9054,340,1
9055,3,9056,3300019,39.0,3,13050,9057,375,1
9058,3,9059,3300020,39.0,3,13050,9060,375,1
9061,3,9062,3300021,39.0,3,13050,9063,375,1
