condition_value_1,condition_type_2,id,condition_value_2,condition_type_3,name,condition_type_1,condition_value_3,constrain_group
1,2,1,1,3,"유일무이한",1,1,0
1,2,2,1,3,"완전무결한",1,1,0
1,2,3,1,3,"랜드솔 최고속의",1,1,1
1,2,4,1,3,"명경지수의",1,1,0
1,2,5,1,3,"사상 최고속의",1,1,0
1,2,6,1,3,"최강 최고속의",1,1,0
1,2,7,1,3,"얼티메이트",1,1,2
1,2,8,1,3,"백 점 만점",1,1,0
1,2,9,1,3,"최우수",1,1,0
1,2,10,1,3,"일기당천의",1,1,0
1,2,11,1,3,"유일무이한",1,1,0
1,2,12,1,3,"천하무쌍의",1,1,0
1,2,13,1,3,"태연자약의",1,0,0
1,2,14,1,3,"하이퍼",1,0,0
1,2,15,1,3,"광속의",1,0,0
1,2,16,1,3,"희대의",1,0,0
1,2,17,1,3,"극한의",1,0,0
1,2,18,1,3,"지고의",1,0,0
1,2,19,1,3,"빛나는",1,0,0
1,2,20,1,3,"백전 연마의",1,0,0
1,2,21,1,3,"질풍신뢰의",1,0,0
1,2,22,1,3,"전광석화의",1,0,0
1,2,23,0,3,"변환 자재의",1,1,0
1,2,24,0,3,"공전절후의",1,1,0
1,2,25,0,3,"리프리젠",1,1,0
1,2,26,0,3,"음속의",1,1,0
1,2,27,0,3,"상식 밖의",1,1,0
1,2,28,0,3,"사자분신의",1,1,0
1,2,29,0,3,"용맹 과감한",1,1,2
1,2,30,0,3,"위풍당당한",1,1,2
1,2,31,0,3,"급할수록 돌아가라",1,1,0
1,2,32,0,3,"무념무상",1,1,0
1,2,33,0,3,"꿈꾸는",1,0,0
1,2,34,0,3,"나이스",1,0,0
1,2,35,0,3,"고만고만한",1,0,0
1,2,36,0,3,"새잎 마크",1,0,2
1,2,37,0,3,"미래 있는",1,0,0
1,2,38,0,3,"신참",1,0,0
1,2,39,0,3,"신출내기",1,0,0
1,2,40,0,3,"느릿느릿",1,0,0
1,2,41,0,3,"신진기예의",1,0,0
1,2,42,0,3,"확고부동의",1,0,0
1,2,43,0,3,"칠전팔기의",1,0,0
1,2,44,0,3,"힘내",1,0,0
2,2,45,1,3,"선택된",1,1,0
2,2,46,1,3,"얼티메이트",1,1,2
2,2,47,1,3,"오션 블루",1,1,1
2,2,48,1,3,"바다에 사랑받는",1,1,2
2,2,49,1,3,"대해를 통치하는",1,1,2
2,2,50,1,3,"전설의",1,1,0
2,2,51,1,3,"세계를 뒤흔드는",1,1,2
2,2,52,1,3,"슈퍼 와일드",1,1,1
2,2,53,1,3,"신들린",1,1,0
2,2,54,1,3,"크게 차이 나는",1,1,2
2,2,55,1,3,"누구도 막을 수 없는",1,0,1
2,2,56,1,3,"피가 끓고 힘이 넘치는",1,0,2
2,2,57,1,3,"메가",1,0,0
2,2,58,1,3,"내추럴 본",1,0,1
2,2,59,1,3,"대해원의",1,0,0
2,2,60,1,3,"아드레날린 전개인",1,0,1
2,2,61,1,3,"오마산",1,0,0
2,2,62,1,3,"숙련된",1,0,0
2,2,63,1,3,"역전의",1,0,0
2,2,64,1,3,"물을 얻은",1,0,0
2,2,65,1,3,"초특급인",1,0,0
2,2,66,0,3,"여간내기가 아닌",1,1,2
2,2,67,0,3,"용맹한",1,1,0
2,2,68,0,3,"오로지 달리는",1,1,0
2,2,69,0,3,"눈에도 안 보이는",1,1,2
2,2,70,0,3,"거센 파도의",1,1,0
2,2,71,0,3,"레이지 오브",1,1,0
2,2,72,0,3,"승부욕 강한",1,1,2
2,2,73,0,3,"한창 클 때인",1,1,0
2,2,74,0,3,"파격적인",1,1,0
2,2,75,0,3,"날뛰는",1,1,0
2,2,76,0,3,"미쳐 날뛰는",1,1,0
2,2,77,0,3,"소문의",1,0,0
2,2,78,0,3,"해변가의",1,0,2
2,2,79,0,3,"원기 발랄",1,0,2
2,2,80,0,3,"한여름을 달리는",1,0,2
