diary_id,id,seq_num,start_pos,cue_name,seek_time,line_num,end_pos,command_param,sheet_name,command,type
15,1150001,1,0,vo_10011600_1501,0.0,0,0,0.0,vo_10011600,0,2
15,1150002,2,0,0,0.997402597402597,1,240,0.0,0,0,1
15,1150003,3,0,0,0.0,1,0,2.4974025974026,0,1,4
15,1150004,4,0,vo_10011600_1502,0.0,0,0,0.0,vo_10011600,0,2
15,1150005,5,0,0,0.748051948051948,2,180,0.0,0,0,1
15,1150006,6,0,0,0.0,2,0,0.848051948051948,0,1,4
15,1150007,7,0,vo_10011600_1503,0.0,0,0,0.0,vo_10011600,0,2
15,1150008,8,180,0,1.16363636363636,2,460,0.0,0,0,1
15,1150009,9,0,0,0.0,2,0,1.96363636363636,0,1,4
15,1150010,10,0,vo_10011600_1504,0.0,0,0,0.0,vo_10011600,0,2
15,1150011,11,0,0,2.07792207792208,3,500,0.0,0,0,1
15,1150012,12,0,0,0.0,3,0,3.47792207792208,0,1,4
15,1150013,13,0,vo_10011600_1505,0.0,0,0,0.0,vo_10011600,0,2
15,1150014,14,0,0,1.24675324675325,4,210,0.0,0,0,1
15,1150015,15,0,0,0.0,4,0,2.24675324675325,0,1,4
15,1150016,16,0,vo_10011600_1506,0.0,0,0,0.0,vo_10011600,0,2
15,1150017,17,210,0,1.95324675324675,4,770,0.0,0,0,1
15,1150018,18,0,0,0.0,4,0,1.95324675324675,0,1,4
15,1150019,19,0,vo_10011600_1507,0.0,0,0,0.0,vo_10011600,0,2
15,1150020,20,0,0,2.07792207792208,5,281,0.0,0,0,1
15,1150021,21,0,0,0.0,5,0,2.97792207792208,0,1,4
15,1150022,22,0,vo_10011600_1508,0.0,0,0,0.0,vo_10011600,0,2
15,1150023,23,281,0,1.12207792207792,5,770,0.0,0,0,1
15,1150024,24,0,0,0.0,5,0,2.02207792207792,0,1,4
15,1150025,25,0,vo_10011600_1509,0.0,0,0,0.0,vo_10011600,0,2
15,1150026,26,0,0,1.32987012987013,6,143,0.0,0,0,1
15,1150027,27,0,0,0.0,6,0,2.57987012987013,0,1,4
15,1150028,28,0,vo_10011600_1510,0.0,0,0,0.0,vo_10011600,0,2
15,1150029,29,143,0,1.87012987012987,6,770,0.0,0,0,1
15,1150030,30,0,0,0.0,6,0,2.87012987012987,0,1,4
15,1150031,31,0,vo_10011600_1511,0.0,0,0,0.0,vo_10011600,0,2
15,1150032,32,0,0,1.55844155844156,7,200,0.0,0,0,1
15,1150033,33,0,0,0.0,7,0,1.75844155844156,0,1,4
15,1150034,34,0,vo_10011600_1512,0.0,0,0,0.0,vo_10011600,0,2
15,1150035,35,200,0,1.26753246753247,7,680,0.0,0,0,1
15,1150036,36,0,0,0.0,7,0,2.51753246753247,0,1,4
15,1150037,37,0,vo_10011600_1513,0.0,0,0,0.0,vo_10011600,0,2
15,1150038,38,0,0,1.99480519480519,8,521,0.0,0,0,1
15,1150039,39,0,0,0.0,8,0,2.49480519480519,0,1,4
15,1150040,40,0,vo_10011600_1514,0.0,0,0,0.0,vo_10011600,0,2
15,1150041,41,521,0,1.03896103896104,8,730,0.0,0,0,1
