target_shape,bonus_id,description,target_category,effect_value,effect_target
1,10101010,"오믈렛에<1>HP+10%",1,10,1
1,10101011,"오믈렛에<1>HP+11%",1,11,1
1,10101012,"오믈렛에<1>HP+12%",1,12,1
1,10101013,"오믈렛에<1>HP+13%",1,13,1
1,10101014,"오믈렛에<1>HP+14%",1,14,1
1,10101015,"오믈렛에<1>HP+15%",1,15,1
1,10101016,"오믈렛에<1>HP+16%",1,16,1
1,10101017,"오믈렛에<1>HP+17%",1,17,1
1,10101018,"오믈렛에<1>HP+18%",1,18,1
1,10101019,"오믈렛에<1>HP+19%",1,19,1
1,10101020,"오믈렛에<1>HP+20%",1,20,1
1,10101021,"오믈렛에<1>HP+21%",1,21,1
1,10101022,"오믈렛에<1>HP+22%",1,22,1
1,10101023,"오믈렛에<1>HP+23%",1,23,1
1,10101024,"오믈렛에<1>HP+24%",1,24,1
1,10101025,"오믈렛에<1>HP+25%",1,25,1
1,10101026,"오믈렛에<1>HP+26%",1,26,1
1,10101027,"오믈렛에<1>HP+27%",1,27,1
1,10101028,"오믈렛에<1>HP+28%",1,28,1
1,10101029,"오믈렛에<1>HP+29%",1,29,1
1,10101030,"오믈렛에<1>HP+30%",1,30,1
1,10101031,"오믈렛에<1>HP+31%",1,31,1
1,10101032,"오믈렛에<1>HP+32%",1,32,1
1,10101033,"오믈렛에<1>HP+33%",1,33,1
1,10101034,"오믈렛에<1>HP+34%",1,34,1
1,10101035,"오믈렛에<1>HP+35%",1,35,1
1,10101036,"오믈렛에<1>HP+36%",1,36,1
1,10101037,"오믈렛에<1>HP+37%",1,37,1
1,10101038,"오믈렛에<1>HP+38%",1,38,1
1,10101039,"오믈렛에<1>HP+39%",1,39,1
1,10101040,"오믈렛에<1>HP+40%",1,40,1
1,10101041,"오믈렛에<1>HP+41%",1,41,1
1,10101042,"오믈렛에<1>HP+42%",1,42,1
1,10101043,"오믈렛에<1>HP+43%",1,43,1
1,10101044,"오믈렛에<1>HP+44%",1,44,1
1,10101045,"오믈렛에<1>HP+45%",1,45,1
1,10101046,"오믈렛에<1>HP+46%",1,46,1
1,10101047,"오믈렛에<1>HP+47%",1,47,1
1,10101048,"오믈렛에<1>HP+48%",1,48,1
1,10101049,"오믈렛에<1>HP+49%",1,49,1
1,10101050,"오믈렛에<1>HP+50%",1,50,1
1,10101051,"오믈렛에<1>HP+51%",1,51,1
1,10101052,"오믈렛에<1>HP+52%",1,52,1
1,10101053,"오믈렛에<1>HP+53%",1,53,1
1,10101054,"오믈렛에<1>HP+54%",1,54,1
1,10101055,"오믈렛에<1>HP+55%",1,55,1
1,10101056,"오믈렛에<1>HP+56%",1,56,1
1,10101057,"오믈렛에<1>HP+57%",1,57,1
1,10101058,"오믈렛에<1>HP+58%",1,58,1
1,10101059,"오믈렛에<1>HP+59%",1,59,1
1,10101060,"오믈렛에<1>HP+60%",1,60,1
1,10101061,"오믈렛에<1>HP+61%",1,61,1
1,10101062,"오믈렛에<1>HP+62%",1,62,1
1,10101063,"오믈렛에<1>HP+63%",1,63,1
1,10101064,"오믈렛에<1>HP+64%",1,64,1
1,10101065,"오믈렛에<1>HP+65%",1,65,1
1,10101066,"오믈렛에<1>HP+66%",1,66,1
1,10101067,"오믈렛에<1>HP+67%",1,67,1
1,10101068,"오믈렛에<1>HP+68%",1,68,1
1,10101069,"오믈렛에<1>HP+69%",1,69,1
1,10101070,"오믈렛에<1>HP+70%",1,70,1
1,10101071,"오믈렛에<1>HP+71%",1,71,1
1,10101072,"오믈렛에<1>HP+72%",1,72,1
1,10101073,"오믈렛에<1>HP+73%",1,73,1
1,10101074,"오믈렛에<1>HP+74%",1,74,1
1,10101075,"오믈렛에<1>HP+75%",1,75,1
1,10101076,"오믈렛에<1>HP+76%",1,76,1
1,10101077,"오믈렛에<1>HP+77%",1,77,1
1,10101078,"오믈렛에<1>HP+78%",1,78,1
1,10101079,"오믈렛에<1>HP+79%",1,79,1
1,10101080,"오믈렛에<1>HP+80%",1,80,1
1,10101081,"오믈렛에<1>HP+81%",1,81,1
1,10101082,"오믈렛에<1>HP+82%",1,82,1
1,10101083,"오믈렛에<1>HP+83%",1,83,1
1,10101084,"오믈렛에<1>HP+84%",1,84,1
1,10101085,"오믈렛에<1>HP+85%",1,85,1
1,10101086,"오믈렛에<1>HP+86%",1,86,1
1,10101087,"오믈렛에<1>HP+87%",1,87,1
1,10101088,"오믈렛에<1>HP+88%",1,88,1
1,10101089,"오믈렛에<1>HP+89%",1,89,1
1,10101090,"오믈렛에<1>HP+90%",1,90,1
1,10101091,"오믈렛에<1>HP+91%",1,91,1
1,10101092,"오믈렛에<1>HP+92%",1,92,1
1,10101093,"오믈렛에<1>HP+93%",1,93,1
1,10101094,"오믈렛에<1>HP+94%",1,94,1
1,10101095,"오믈렛에<1>HP+95%",1,95,1
1,10101096,"오믈렛에<1>HP+96%",1,96,1
1,10101097,"오믈렛에<1>HP+97%",1,97,1
1,10101098,"오믈렛에<1>HP+98%",1,98,1
1,10101099,"오믈렛에<1>HP+99%",1,99,1
1,10101100,"오믈렛에<1>HP+100%",1,100,1
2,10201010,"만두에<1>HP+10%",1,10,1
2,10201011,"만두에<1>HP+11%",1,11,1
2,10201012,"만두에<1>HP+12%",1,12,1
2,10201013,"만두에<1>HP+13%",1,13,1
2,10201014,"만두에<1>HP+14%",1,14,1
2,10201015,"만두에<1>HP+15%",1,15,1
2,10201016,"만두에<1>HP+16%",1,16,1
2,10201017,"만두에<1>HP+17%",1,17,1
2,10201018,"만두에<1>HP+18%",1,18,1
2,10201019,"만두에<1>HP+19%",1,19,1
2,10201020,"만두에<1>HP+20%",1,20,1
2,10201021,"만두에<1>HP+21%",1,21,1
2,10201022,"만두에<1>HP+22%",1,22,1
2,10201023,"만두에<1>HP+23%",1,23,1
2,10201024,"만두에<1>HP+24%",1,24,1
2,10201025,"만두에<1>HP+25%",1,25,1
2,10201026,"만두에<1>HP+26%",1,26,1
2,10201027,"만두에<1>HP+27%",1,27,1
2,10201028,"만두에<1>HP+28%",1,28,1
2,10201029,"만두에<1>HP+29%",1,29,1
2,10201030,"만두에<1>HP+30%",1,30,1
2,10201031,"만두에<1>HP+31%",1,31,1
2,10201032,"만두에<1>HP+32%",1,32,1
2,10201033,"만두에<1>HP+33%",1,33,1
2,10201034,"만두에<1>HP+34%",1,34,1
2,10201035,"만두에<1>HP+35%",1,35,1
2,10201036,"만두에<1>HP+36%",1,36,1
2,10201037,"만두에<1>HP+37%",1,37,1
2,10201038,"만두에<1>HP+38%",1,38,1
2,10201039,"만두에<1>HP+39%",1,39,1
2,10201040,"만두에<1>HP+40%",1,40,1
2,10201041,"만두에<1>HP+41%",1,41,1
2,10201042,"만두에<1>HP+42%",1,42,1
2,10201043,"만두에<1>HP+43%",1,43,1
2,10201044,"만두에<1>HP+44%",1,44,1
2,10201045,"만두에<1>HP+45%",1,45,1
2,10201046,"만두에<1>HP+46%",1,46,1
2,10201047,"만두에<1>HP+47%",1,47,1
2,10201048,"만두에<1>HP+48%",1,48,1
2,10201049,"만두에<1>HP+49%",1,49,1
2,10201050,"만두에<1>HP+50%",1,50,1
2,10201051,"만두에<1>HP+51%",1,51,1
2,10201052,"만두에<1>HP+52%",1,52,1
2,10201053,"만두에<1>HP+53%",1,53,1
2,10201054,"만두에<1>HP+54%",1,54,1
2,10201055,"만두에<1>HP+55%",1,55,1
2,10201056,"만두에<1>HP+56%",1,56,1
2,10201057,"만두에<1>HP+57%",1,57,1
2,10201058,"만두에<1>HP+58%",1,58,1
2,10201059,"만두에<1>HP+59%",1,59,1
2,10201060,"만두에<1>HP+60%",1,60,1
2,10201061,"만두에<1>HP+61%",1,61,1
2,10201062,"만두에<1>HP+62%",1,62,1
2,10201063,"만두에<1>HP+63%",1,63,1
2,10201064,"만두에<1>HP+64%",1,64,1
2,10201065,"만두에<1>HP+65%",1,65,1
2,10201066,"만두에<1>HP+66%",1,66,1
2,10201067,"만두에<1>HP+67%",1,67,1
2,10201068,"만두에<1>HP+68%",1,68,1
2,10201069,"만두에<1>HP+69%",1,69,1
2,10201070,"만두에<1>HP+70%",1,70,1
2,10201071,"만두에<1>HP+71%",1,71,1
2,10201072,"만두에<1>HP+72%",1,72,1
2,10201073,"만두에<1>HP+73%",1,73,1
2,10201074,"만두에<1>HP+74%",1,74,1
2,10201075,"만두에<1>HP+75%",1,75,1
2,10201076,"만두에<1>HP+76%",1,76,1
2,10201077,"만두에<1>HP+77%",1,77,1
2,10201078,"만두에<1>HP+78%",1,78,1
2,10201079,"만두에<1>HP+79%",1,79,1
2,10201080,"만두에<1>HP+80%",1,80,1
2,10201081,"만두에<1>HP+81%",1,81,1
2,10201082,"만두에<1>HP+82%",1,82,1
2,10201083,"만두에<1>HP+83%",1,83,1
2,10201084,"만두에<1>HP+84%",1,84,1
2,10201085,"만두에<1>HP+85%",1,85,1
2,10201086,"만두에<1>HP+86%",1,86,1
2,10201087,"만두에<1>HP+87%",1,87,1
2,10201088,"만두에<1>HP+88%",1,88,1
2,10201089,"만두에<1>HP+89%",1,89,1
2,10201090,"만두에<1>HP+90%",1,90,1
2,10201091,"만두에<1>HP+91%",1,91,1
2,10201092,"만두에<1>HP+92%",1,92,1
2,10201093,"만두에<1>HP+93%",1,93,1
2,10201094,"만두에<1>HP+94%",1,94,1
2,10201095,"만두에<1>HP+95%",1,95,1
2,10201096,"만두에<1>HP+96%",1,96,1
2,10201097,"만두에<1>HP+97%",1,97,1
2,10201098,"만두에<1>HP+98%",1,98,1
2,10201099,"만두에<1>HP+99%",1,99,1
2,10201100,"만두에<1>HP+100%",1,100,1
3,10301010,"타코야키에<1>HP+10%",1,10,1
3,10301011,"타코야키에<1>HP+11%",1,11,1
3,10301012,"타코야키에<1>HP+12%",1,12,1
3,10301013,"타코야키에<1>HP+13%",1,13,1
3,10301014,"타코야키에<1>HP+14%",1,14,1
3,10301015,"타코야키에<1>HP+15%",1,15,1
3,10301016,"타코야키에<1>HP+16%",1,16,1
3,10301017,"타코야키에<1>HP+17%",1,17,1
3,10301018,"타코야키에<1>HP+18%",1,18,1
3,10301019,"타코야키에<1>HP+19%",1,19,1
3,10301020,"타코야키에<1>HP+20%",1,20,1
3,10301021,"타코야키에<1>HP+21%",1,21,1
3,10301022,"타코야키에<1>HP+22%",1,22,1
3,10301023,"타코야키에<1>HP+23%",1,23,1
3,10301024,"타코야키에<1>HP+24%",1,24,1
3,10301025,"타코야키에<1>HP+25%",1,25,1
3,10301026,"타코야키에<1>HP+26%",1,26,1
3,10301027,"타코야키에<1>HP+27%",1,27,1
3,10301028,"타코야키에<1>HP+28%",1,28,1
3,10301029,"타코야키에<1>HP+29%",1,29,1
3,10301030,"타코야키에<1>HP+30%",1,30,1
3,10301031,"타코야키에<1>HP+31%",1,31,1
3,10301032,"타코야키에<1>HP+32%",1,32,1
3,10301033,"타코야키에<1>HP+33%",1,33,1
3,10301034,"타코야키에<1>HP+34%",1,34,1
3,10301035,"타코야키에<1>HP+35%",1,35,1
3,10301036,"타코야키에<1>HP+36%",1,36,1
3,10301037,"타코야키에<1>HP+37%",1,37,1
3,10301038,"타코야키에<1>HP+38%",1,38,1
