reward_type_3,icon_type,reward_num_1,clear_effect_flag,reward_num_2,reward_id_3,reward_id_1,clear_count,reward_num_4,reward_type_1,reward_id_2,reward_id_4,reward_type_5,dungeon_area_id,reward_num_3,reward_id_5,reward_type_2,reward_type_4,reward_num_5
4,1,500,1,1,140001,90008,5,10,2,140000,90005,12,32001,2,94002,4,2,500000
2,1,200,1,2,25001,91002,10,500000,8,140001,94002,0,32001,1,0,4,12,0
4,2,500,1,1,140001,90008,15,5,2,140000,90005,12,32001,2,94002,4,2,750000
2,2,300,1,2,25001,91002,20,750000,8,140001,94002,0,32001,1,0,4,12,0
4,2,500,1,1,140001,90008,25,5,2,140000,90005,12,32001,2,94002,4,2,750000
2,3,500,1,2,25001,91002,30,750000,8,140001,94002,0,32001,1,0,4,12,0
4,3,750,1,1,140001,90008,35,5,2,140000,90005,12,32001,2,94002,4,2,1000000
2,4,1000,1,2,25001,90008,40,1000000,2,140001,94002,0,32001,1,0,4,12,0
4,4,1250,1,1,140001,90008,45,5,2,140000,90005,12,32001,2,94002,4,2,2000000
2,4,1500,1,2,25001,90008,50,2000000,2,140001,94002,0,32001,1,0,4,12,0
4,1,500,1,1,140001,90008,5,10,2,140000,90005,12,32002,2,94002,4,2,500000
4,1,200,1,1,140001,91002,10,1,8,21951,25001,12,32002,2,94002,2,2,500000
4,2,700,1,1,140001,90008,15,5,2,140000,90005,12,32002,2,94002,4,2,750000
2,2,300,1,2,25001,91002,20,750000,8,140001,94002,0,32002,1,0,4,12,0
4,2,700,1,1,140001,90008,25,5,2,140000,90005,12,32002,2,94002,4,2,750000
2,3,500,1,2,25001,91002,30,750000,8,140001,94002,0,32002,1,0,4,12,0
4,3,1000,1,1,140001,90008,35,5,2,140000,90005,12,32002,2,94002,4,2,1000000
2,4,1000,1,2,25001,90008,40,1000000,2,140001,94002,0,32002,1,0,4,12,0
4,4,1250,1,1,140001,90008,45,5,2,140000,90005,12,32002,2,94002,4,2,2000000
2,4,1500,1,2,25001,90008,50,2000000,2,140001,94002,0,32002,1,0,4,12,0
4,1,500,1,1,140001,90008,5,10,2,140000,90005,12,32003,2,94002,4,2,500000
4,1,200,1,1,140001,91002,10,1,8,21951,25001,12,32003,2,94002,2,2,500000
4,2,700,1,1,140001,90008,15,5,2,140000,90005,12,32003,2,94002,4,2,750000
2,2,300,1,2,25001,91002,20,750000,8,140001,94002,0,32003,1,0,4,12,0
4,2,700,1,1,140001,90008,25,5,2,140000,90005,12,32003,2,94002,4,2,750000
2,3,500,1,2,25001,91002,30,750000,8,140001,94002,0,32003,1,0,4,12,0
4,3,1000,1,1,140001,90008,35,5,2,140000,90005,12,32003,2,94002,4,2,1000000
2,4,1000,1,2,25001,90008,40,1000000,2,140001,94002,0,32003,1,0,4,12,0
4,4,1250,1,1,140001,90008,45,5,2,140000,90005,12,32003,2,94002,4,2,2000000
2,4,1500,1,2,25001,90008,50,2000000,2,140001,94002,0,32003,1,0,4,12,0
4,1,500,1,1,140001,90008,5,10,2,140000,90005,12,32004,2,94002,4,2,500000
4,1,200,1,1,140001,91002,10,1,8,21951,25001,12,32004,2,94002,2,2,500000
4,2,700,1,1,140001,90008,15,5,2,140000,90005,12,32004,2,94002,4,2,750000
2,2,300,1,2,25001,91002,20,750000,8,140001,94002,0,32004,1,0,4,12,0
4,2,700,1,1,140001,90008,25,5,2,140000,90005,12,32004,2,94002,4,2,750000
2,3,500,1,2,25001,91002,30,750000,8,140001,94002,0,32004,1,0,4,12,0
4,3,1000,1,1,140001,90008,35,5,2,140000,90005,12,32004,2,94002,4,2,1000000
2,4,1000,1,2,25001,90008,40,1000000,2,140001,94002,0,32004,1,0,4,12,0
4,4,1250,1,1,140001,90008,45,5,2,140000,90005,12,32004,2,94002,4,2,2000000
2,4,1500,1,2,25001,90008,50,2000000,2,140001,94002,0,32004,1,0,4,12,0
4,1,500,1,1,140001,90008,5,10,2,140000,90005,12,32005,2,94002,4,2,500000
4,1,200,1,1,140001,91002,10,1,8,21951,25001,12,32005,2,94002,2,2,500000
4,2,700,1,1,140001,90008,15,5,2,140000,90005,12,32005,2,94002,4,2,750000
2,2,300,1,2,25001,91002,20,750000,8,140001,94002,0,32005,1,0,4,12,0
4,2,700,1,1,140001,90008,25,5,2,140000,90005,12,32005,2,94002,4,2,750000
2,3,500,1,2,25001,91002,30,750000,8,140001,94002,0,32005,1,0,4,12,0
4,3,1000,1,1,140001,90008,35,5,2,140000,90005,12,32005,2,94002,4,2,1000000
2,4,1000,1,2,25001,90008,40,1000000,2,140001,94002,0,32005,1,0,4,12,0
4,4,1250,1,1,140001,90008,45,5,2,140000,90005,12,32005,2,94002,4,2,2000000
2,4,1500,1,2,25001,90008,50,2000000,2,140001,94002,0,32005,1,0,4,12,0
4,1,500,1,1,140001,90008,5,10,2,140000,90005,12,32006,2,94002,4,2,500000
4,1,200,1,1,140001,91002,10,1,8,21951,25001,12,32006,2,94002,2,2,500000
4,2,700,1,1,140001,90008,15,5,2,140000,90005,12,32006,2,94002,4,2,750000
2,2,300,1,2,25001,91002,20,750000,8,140001,94002,0,32006,1,0,4,12,0
4,2,700,1,1,140001,90008,25,5,2,140000,90005,12,32006,2,94002,4,2,750000
2,3,500,1,2,25001,91002,30,750000,8,140001,94002,0,32006,1,0,4,12,0
4,3,1000,1,1,140001,90008,35,5,2,140000,90005,12,32006,2,94002,4,2,1000000
2,4,1000,1,2,25001,90008,40,1000000,2,140001,94002,0,32006,1,0,4,12,0
4,4,1250,1,1,140001,90008,45,5,2,140000,90005,12,32006,2,94002,4,2,2000000
2,4,1500,1,2,25001,90008,50,2000000,2,140001,94002,0,32006,1,0,4,12,0
2,1,500,1,15,90005,90008,5,500000,2,140001,94002,0,32007,10,0,4,12,0
4,1,100,1,1,140001,91002,10,1,8,21951,25001,12,32007,5,94002,2,2,500000
2,2,1000,1,15,90005,90008,15,750000,2,140001,94002,0,32007,5,0,4,12,0
2,2,150,1,5,25001,91002,20,750000,8,140001,94002,0,32007,1,0,4,12,0
2,2,1500,1,15,90005,90008,25,750000,2,140001,94002,0,32007,5,0,4,12,0
4,3,250,1,3000,140001,91002,30,1,8,90008,25001,12,32007,5,94002,2,2,750000
2,3,3500,1,15,90005,90008,35,1000000,2,140001,94002,0,32007,5,0,4,12,0
2,4,4000,1,5,25001,90008,40,1000000,2,140001,94002,0,32007,1,0,4,12,0
