diary_id,condition_boss_count,contents_type,sub_title,condition_time,diary_date,condition_story_id,forced_release_time
1,0,0,"어떻게 된 거지……?","2020/09/29 15:00:00",1,5023000,"2030/01/01 1:00:00"
2,0,0,"안녕하세요를 말하지 못해서","2020/09/29 15:00:00",2,5023001,"2030/01/01 1:00:00"
3,0,0,"큰일 났다!","2020/09/29 15:00:00",3,5023002,"2030/01/01 1:00:00"
4,0,0,"유니 씨는 이런 사람","2020/09/30 5:00:00",4,5023002,"2030/01/01 1:00:00"
5,0,0,"클로에 씨는 이런 사람","2020/09/30 5:00:00",5,5023002,"2030/01/01 1:00:00"
6,0,0,"치에루 씨는 이런 사람","2020/09/30 5:00:00",6,5023002,"2030/01/01 1:00:00"
7,0,0,"지적인 유니 씨","2020/10/01 5:00:00",7,5023003,"2030/01/01 1:00:00"
8,0,0,"친절한 클로에 씨","2020/10/01 5:00:00",8,5023003,"2030/01/01 1:00:00"
9,0,0,"동경하는 치에루 씨","2020/10/01 5:00:00",9,5023003,"2030/01/01 1:00:00"
10,0,0,"특별강좌 연습","2020/10/02 5:00:00",10,5023003,"2030/01/01 1:00:00"
11,0,0,"드디어 특별강좌","2020/10/02 5:00:00",11,5023004,"2030/01/01 1:00:00"
12,0,0,"역시 BB단의 단장님!","2020/10/02 5:00:00",12,5023005,"2030/01/01 1:00:00"
13,0,0,"만드라고라로 패닉!","2020/10/02 5:00:00",13,5023006,"2030/01/01 1:00:00"
14,0,0,"마지막 날","2020/10/13 5:00:00",14,5023007,"2030/01/01 1:00:00"
15,0,1,"","2020/10/13 15:00:00",0,5023000,"2030/01/01 1:00:00"
16,0,1,"","2020/10/13 15:00:00",0,5023000,"2030/01/01 1:00:00"
17,0,1,"","2020/10/13 15:00:00",0,5023000,"2030/01/01 1:00:00"
