description,recommend_level,quest_position_x,reward_group_id,recovery_hp_rate,open_area_id,dungeon_area_id,quest_position_y,content_release_story,icon_id,recovery_tp_rate,dungeon_name,initial_clear_story,open_quest_id,dungeon_type
"구름 위로 치솟은 높은 산맥",10,195,501010001,400,0,31001,45,4003001,200010,400,"운해의 산맥",4003002,11002012,1
"깊은 숲 속에 있는 거대한 나무",10,-110,501010002,300,0,31002,30,4003003,200020,300,"밀림의 거목",4003004,11005013,1
"낭떠러지 절벽에서 발견된 유적",10,-570,501010003,200,0,31003,-190,4003005,200030,200,"절벽의 유적",4003006,11007014,1
"드넓은 바다에 솟은 수수께끼의 거탑",10,750,501010004,100,0,31004,-30,4003007,200040,100,"창해의 고탑",4003008,11011017,1
"독기가 휘몰아치는 어둠 속 산봉우리",10,465,501010005,100,0,31005,20,4003009,200050,100,"독기의 암릉",4003010,11014014,1
"엄봉에 머무는 용의 침상",10,360,501010006,100,0,31006,90,4003011,200060,100,"녹용의 해령",4003012,11026014,1
"천공의 파수꾼이 고요히 잠든 성스러운 성",10,130,501010007,100,0,31007,90,4003013,200070,100,"천상의 부유성",4003014,11035014,1
"모래 대폭포가 떨어진 끝의 도시",10,-50,501010008,100,0,31008,120,4003017,200080,100,"사폭의 저도",4003018,11047014,1
"감청의 바닥에 군림하는 해왕의 성채",10,-360,501010009,100,0,31009,70,4003019,200090,100,"감청의 왕채",4003020,11057014,1
"사계를 채색한 여우 신령의 선경",10,0,501010010,100,0,31010,0,4003021,0,0,"사채의 영봉",4003022,11062014,1
"기간 한정 던전 돌파에 도전",10,0,0,100,31006,32001,0,4003015,0,100,"스페셜 던전",4003016,0,1
"기간 한정 던전 돌파에 도전",10,0,0,100,31006,32002,0,0,0,100,"스페셜 던전",0,0,1
"기간 한정 던전 돌파에 도전",10,0,0,100,31006,32003,0,0,0,100,"스페셜 던전",0,0,1
"기간 한정 던전 돌파에 도전",10,0,0,100,31006,32004,0,0,0,100,"스페셜 던전",0,0,1
"기간 한정 던전 돌파에 도전",10,0,0,100,31006,32005,0,0,0,100,"스페셜 던전",0,0,1
"기간 한정 던전 돌파에 도전",10,0,0,100,31006,32006,0,0,0,100,"스페셜 던전",0,0,1
"기간 한정 던전 돌파에 도전",10,0,0,100,31006,32007,0,0,0,100,"스페셜 던전",0,0,1
"기간 한정 던전 돌파에 도전",10,0,0,100,31006,32008,0,0,0,100,"스페셜 던전",0,0,1
"기간 한정 던전 돌파에 도전",10,0,0,100,31006,32009,0,0,0,100,"스페셜 던전",0,0,1
"기간 한정 던전 돌파에 도전",10,0,0,100,31006,32010,0,0,0,100,"스페셜 던전",0,0,1
"기간 한정 던전 돌파에 도전",10,0,0,100,31006,32011,0,0,0,100,"스페셜 던전",0,0,1
"기간 한정 던전 돌파에 도전",10,0,0,100,31006,32012,0,0,0,100,"스페셜 던전",0,0,1
