scroll_width,event_id,tutorial_param_2,area_disp,area_id,tutorial_param_1,area_name,sheet_id,map_type,scroll_height,que_id,additional_effect,map_id,open_tutorial_id
0,20001,0,1,20001101,0,"타르굼 지방",bgm_M32,201,0,bgm_M32,0,1,0
0,20001,0,1,20001201,0,"타르굼 지방",bgm_M32,201,0,bgm_M32,0,0,0
0,20002,0,1,20002101,0,"마시나 지방",bgm_M98,201,0,bgm_M98_2,0,0,0
0,20002,0,1,20002201,0,"마시나 지방",bgm_M98,201,0,bgm_M98_2,0,0,0
0,20003,0,1,20003101,0,"랜드솔 교외",bgm_M106,201,0,bgm_M106,0,0,0
0,20003,0,1,20003201,0,"랜드솔 교외",bgm_M106,201,0,bgm_M106,0,0,0
0,20004,0,1,20004101,0,"타파스 해안 주변",bgm_M112,201,0,bgm_M112,0,0,0
0,20004,0,1,20004201,0,"타파스 해안 주변",bgm_M112,201,0,bgm_M112,0,0,0
0,20005,0,1,20005101,0,"일시온의 외딴섬",bgm_M121,201,0,bgm_M121,0,0,0
0,20005,0,1,20005201,0,"일시온의 외딴섬",bgm_M121,201,0,bgm_M121,0,0,0
85,20006,0,1,20006101,0,"왕도 랜드솔",bgm_M128,201,0,bgm_M128,0,0,0
0,20006,0,1,20006201,0,"왕도 랜드솔",bgm_M128,201,0,bgm_M128,0,0,0
0,20007,0,1,20007101,0,"랜드솔 교외",bgm_M135,201,0,bgm_M135,0,1,0
0,20007,208,1,20007102,202,"영혼의 세계",bgm_M29,201,80,bgm_M29,0,2,1
0,20007,209,1,20007103,202,"랜드솔 중심부",bgm_M135,201,0,bgm_M135,1,3,1
0,20007,0,1,20007201,0,"랜드솔 교외",bgm_M135,201,0,bgm_M135,31,1,0
35,20008,0,1,20008101,0,"랜드솔 근교",bgm_M162,201,0,bgm_M162,0,0,0
0,20008,0,1,20008201,0,"랜드솔 근교",bgm_M162,201,0,bgm_M162,0,0,0
110,20009,0,1,20009101,0,"사렌디아 구호원 내부",bgm_M171,201,0,bgm_M171,11,1,0
0,20009,0,1,20009201,0,"왕도 랜드솔",bgm_M171,201,0,bgm_M171,0,1,0
1,20010,0,1,20010101,0,"신전으로 가는 길",bgm_M182,201,180,bgm_M182,0,1,0
0,20010,0,1,20010201,0,"신전으로 가는 길",bgm_M182,201,0,bgm_M182,0,1,0
0,20011,0,1,20011101,0,"왕도 랜드솔",bgm_M189,201,0,bgm_M189,0,1,0
110,20011,0,1,20011102,0,"키친 스타디움",bgm_M189,201,0,bgm_M189,0,2,0
0,20011,0,1,20011201,0,"키친 스타디움",bgm_M189,201,0,bgm_M189,0,1,0
115,20012,0,1,20012101,0,"왕도 랜드솔",bgm_M206,201,0,bgm_M206,0,1,0
0,20012,0,1,20012201,0,"왕도 랜드솔",bgm_M206,201,0,bgm_M206,0,1,0
100,20013,0,1,20013101,0,"가스트로스 산",bgm_M215,201,0,bgm_M215,0,1,0
0,20013,208,1,20013102,202,"빛의 틈",bgm_M215,201,0,bgm_M215,11,2,1
0,20013,0,1,20013201,0,"빛의 틈",bgm_M215,201,0,bgm_M215,0,1,0
120,20014,0,1,20014101,0,"오에도 마을",bgm_M223,201,0,bgm_M223,0,1,0
0,20014,0,1,20014201,0,"오에도 마을",bgm_M223,201,0,bgm_M223,0,1,0
98,20015,0,1,20015101,0,"선레인 해변",bgm_M237,201,0,bgm_M237,12,1,0
0,20015,0,1,20015201,0,"선레인 해변",bgm_M237,201,0,bgm_M237,0,0,0
150,20016,0,1,20016101,0,"마호마호 왕국 피서지?",bgm_M245,201,0,bgm_M245_02,0,0,0
0,20016,0,1,20016201,0,"마호마호 왕국 피서지?",bgm_M245,201,0,bgm_M245_02,0,0,0
70,20017,0,1,20017101,0,"성 테레사 여학원",bgm_M254,201,0,bgm_M254,0,1,0
0,20017,0,1,20017201,0,"성 테레사 여학원",bgm_M254,201,0,bgm_M254,0,0,0
0,20018,0,1,20018101,0,"테라 하우스 주변",bgm_M265,201,0,bgm_M265_Top,0,1,0
0,20018,0,1,20018102,202,"고스트 글레이브",bgm_M265,201,0,bgm_M265_Top,0,2,1
0,20018,0,1,20018201,0,"고스트 글레이브",bgm_M265,201,0,bgm_M265_Top,0,1,0
90,20019,0,1,20019101,0,"엘피스 섬 개척 캠프 일대",bgm_M273,201,0,bgm_M273,0,0,0
0,20019,0,1,20019201,0,"엘피스 섬 개척 캠프 일대",bgm_M273,201,0,bgm_M273,0,0,0
0,20020,0,1,20020101,0,"왕도 랜드솔 교외",bgm_M281,201,0,bgm_M281,0,1,0
0,20020,0,1,20020102,0,"왕도 랜드솔 중심부",bgm_M281,201,0,bgm_M281,11,2,0
0,20020,0,1,20020201,0,"왕도 랜드솔 중심부",bgm_M281,201,0,bgm_M281,0,1,0
30,20021,0,1,20021101,0,"길드 레이스 1구역→2구역",bgm_M294,201,0,bgm_M294,0,1,0
30,20021,0,1,20021102,0,"길드 레이스 3구역→4구역",bgm_M294,201,0,bgm_M294,0,2,0
0,20021,0,1,20021201,0,"길드 레이스 3구역→4구역",bgm_M294,201,0,bgm_M294,0,1,0
87,20022,0,1,20022101,0,"왕도 랜드솔",bgm_M316,201,0,bgm_M316,0,1,0
0,20022,0,1,20022201,0,"왕도 랜드솔",bgm_M316,201,0,bgm_M316,0,1,0
45,20023,0,1,20023101,0,"성 테레사 여학원",bgm_M343,201,0,bgm_M343,0,1,0
0,20023,0,1,20023201,0,"성 테레사 여학원",bgm_M343,201,0,bgm_M343,0,0,0
0,20024,0,1,20024101,0,"엘리자베스 파크",bgm_M351,201,0,bgm_M351,0,1,0
0,20024,0,1,20024102,0,"왕도 랜드솔",bgm_M351,201,0,bgm_M351,0,2,0
0,20024,0,1,20024103,0,"엘리자베스 파크",bgm_M351,201,0,bgm_M351,0,3,0
0,20024,0,1,20024201,0,"엘리자베스 파크",bgm_M351,201,0,bgm_M351,0,1,0
200,20025,0,1,20025101,0,"이상한 나라",bgm_M375,201,0,bgm_M375,0,0,0
100,20025,0,1,20025201,0,"이상한 나라",bgm_M375,201,0,bgm_M375,0,0,0
90,20026,0,1,20026101,0,"위시 비치 주변",bgm_M380A,201,0,bgm_M380A,0,1,0
0,20026,0,1,20026102,0,"별이 내리는 은하수",bgm_M380B,201,0,bgm_M380B_02,0,2,0
0,20026,0,1,20026201,0,"별이 내리는 은하수",bgm_M380B,201,0,bgm_M380B_02,0,0,0
115,20027,0,1,20027101,0,"비치 볼 파크",bgm_M393,201,0,bgm_M393,0,0,0
