top_description,event_id,description_1,unit_id,description_2,id,condition_mission_id
"보스 토벌로 오픈!\n앞으로 {0}마리",10004,"[3C404E]이벤트를 진행하여 보스에게 도전\n보스 토벌을 계속 진행하면 한정 캐릭터 획득!![-]",107601,"[3C404E]보스 토벌(전체 난이도 공통)로 오픈!\n앞으로 [FFBB00,CE4F00]{0}[-]마리[-]",1,71004025
"보스 토벌로 오픈!\n앞으로 {0}마리",10005,"[3C404E]이벤트를 진행하여 보스에게 도전\n보스 토벌을 계속 진행하면 한정 캐릭터 획득!![-]",108001,"[3C404E]보스 토벌(전체 난이도 공통)로 오픈!\n앞으로 [FFBB00,CE4F00]{0}[-]마리[-]",2,71005025
"보스 NORMAL 토벌로 오픈!",10007,"[3C404E]이벤트를 진행하여 보스에 도전! \n보스 NORMAL을 토벌하면 한정 캐릭터 획득![-]",108201,"[3C404E]보스 NORMAL 토벌로 오픈!",3,71007031
"보스 NORMAL 토벌로 오픈!",10009,"[3C404E]이벤트를 진행하여 보스에 도전! \n보스 NORMAL을 토벌하면 한정 캐릭터 획득![-]",108501,"[3C404E]보스 NORMAL 토벌로 오픈!",4,71009031
"보스 NORMAL 토벌로 오픈!",10010,"[3C404E]이벤트를 진행하여 보스에 도전! \n보스 NORMAL을 토벌하면 한정 캐릭터 획득![-]",108901,"[3C404E]보스 NORMAL 토벌로 오픈!",5,71010031
"보스 NORMAL 토벌로 오픈!",10011,"[3C404E]이벤트를 진행하여 보스에 도전! \n보스 NORMAL을 토벌하면 한정 캐릭터 획득![-]",109001,"[3C404E]보스 NORMAL 토벌로 오픈!",6,71011031
"보스 NORMAL 토벌로 오픈!",10013,"[3C404E]이벤트를 진행하여 보스에 도전! \n보스 NORMAL을 토벌하면 한정 캐릭터 획득![-]",109301,"[3C404E]보스 NORMAL 토벌로 오픈!",7,71013031
"보스 NORMAL 토벌로 오픈!",10017,"[3C404E]이벤트를 진행하여 보스에 도전! \n보스 NORMAL을 토벌하면 한정 캐릭터 획득![-]",109801,"[3C404E]보스 NORMAL 토벌로 오픈!",8,71017031
"보스 NORMAL 토벌로 오픈!",10019,"[3C404E]이벤트를 진행하여 보스에 도전! \n보스 NORMAL을 토벌하면 한정 캐릭터 획득![-]",110101,"[3C404E]보스 NORMAL 토벌로 오픈!",9,71019031
"보스 NORMAL 토벌로 오픈!",20004,"[3C404E]이벤트를 진행하여 보스에 도전! \n보스 NORMAL을 토벌하면 한정 캐릭터 획득![-]",107601,"[3C404E]보스 NORMAL 토벌로 오픈!",10,72004021
"보스 NORMAL 토벌로 오픈!",10021,"[3C404E]이벤트를 진행하여 보스에 도전! \n보스 NORMAL을 토벌하면 한정 캐릭터 획득![-]",110501,"[3C404E]보스 NORMAL 토벌로 오픈!",11,71021035
"보스 NORMAL 토벌로 오픈!",20005,"[3C404E]이벤트를 진행하여 보스에 도전! \n보스 NORMAL을 토벌하면 한정 캐릭터 획득![-]",108001,"[3C404E]보스 NORMAL 토벌로 오픈!",12,72005021
"보스 NORMAL 토벌로 오픈!",10025,"[3C404E]이벤트를 진행하여 보스에 도전! \n보스 NORMAL을 토벌하면 한정 캐릭터 획득![-]",111201,"[3C404E]보스 NORMAL 토벌로 오픈!",13,71025031
"보스 NORMAL 토벌로 오픈!",10026,"[3C404E]이벤트를 진행하여 보스에 도전! \n보스 NORMAL을 토벌하면 한정 캐릭터 획득![-]",108201,"[3C404E]보스 NORMAL 토벌로 오픈!",15,71026031
"보스 NORMAL 토벌로 오픈!",10029,"[3C404E]이벤트를 진행하여 보스에 도전! \n보스 NORMAL을 토벌하면 한정 캐릭터 획득![-]",111601,"[3C404E]보스 NORMAL 토벌로 오픈!",16,71029031
"보스 NORMAL 토벌로 오픈!",10030,"[3C404E]이벤트를 진행하여 보스에 도전! \n보스 NORMAL을 토벌하면 한정 캐릭터 획득![-]",108501,"[3C404E]보스 NORMAL 토벌로 오픈!",17,71030031
"보스 NORMAL 토벌로 오픈!",10031,"[3C404E]이벤트를 진행하여 보스에 도전! \n보스 NORMAL을 토벌하면 한정 캐릭터 획득![-]",112101,"[3C404E]보스 NORMAL 토벌로 오픈!",18,71031031
"보스 NORMAL 토벌로 오픈!",10032,"[3C404E]이벤트를 진행하여 보스에 도전! \n보스 NORMAL을 토벌하면 한정 캐릭터 획득![-]",108901,"[3C404E]보스 NORMAL 토벌로 오픈!",19,71032031
"보스 NORMAL 토벌로 오픈!",10033,"[3C404E]이벤트를 진행하여 보스에 도전! \n보스 NORMAL을 토벌하면 한정 캐릭터 획득![-]",112301,"[3C404E]보스 NORMAL 토벌로 오픈!",20,71033031
