threshold_pt_1,bonus_pos_2,time_pt_rate,win_pt,bonus_param_2,threshold_pt_2,bonus_pos_1,bonus_param_1,quest_id
20000,0,50,5000,0,30000,0,0,100111
20000,0,50,5000,0,30000,0,0,100112
20000,0,50,5000,0,30000,0,0,100113
30000,0,125,12500,0,45000,0,0,100121
30000,0,125,12500,0,45000,0,0,100122
30000,0,125,12500,0,45000,0,0,100123
40000,0,200,20000,0,60000,0,0,100131
40000,0,200,20000,0,60000,0,0,100132
40000,0,200,20000,0,60000,0,0,100133
20000,0,50,5000,0,30000,0,0,100211
20000,0,50,5000,0,30000,0,0,100212
20000,0,50,5000,0,30000,0,0,100213
30000,0,125,12500,0,45000,0,0,100221
30000,0,125,12500,0,45000,0,0,100222
30000,0,125,12500,0,45000,0,0,100223
40000,0,200,20000,0,60000,0,0,100231
40000,0,200,20000,0,60000,0,0,100232
40000,0,200,20000,0,60000,0,0,100233
20000,0,50,5000,0,30000,0,0,100311
20000,0,50,5000,0,30000,0,0,100312
20000,0,50,5000,0,30000,0,0,100313
30000,0,125,12500,0,45000,0,0,100321
30000,0,125,12500,0,45000,0,0,100322
30000,0,125,12500,0,45000,0,0,100323
40000,0,200,20000,0,60000,0,0,100331
40000,0,200,20000,0,60000,0,0,100332
40000,0,200,20000,0,60000,0,0,100333
20000,0,50,5000,0,30000,0,0,100411
20000,0,50,5000,0,30000,0,0,100412
20000,0,50,5000,0,30000,0,0,100413
30000,0,125,12500,0,45000,0,0,100421
30000,0,125,12500,0,45000,0,0,100422
30000,0,125,12500,0,45000,0,0,100423
40000,0,200,20000,0,60000,0,0,100431
40000,0,200,20000,0,60000,0,0,100432
40000,0,200,20000,0,60000,0,0,100433
20000,0,50,5000,0,30000,0,0,100511
20000,0,50,5000,0,30000,0,0,100512
20000,0,50,5000,0,30000,0,0,100513
30000,0,125,12500,0,45000,0,0,100521
30000,0,125,12500,0,45000,0,0,100522
30000,0,125,12500,0,45000,0,0,100523
40000,0,200,20000,0,60000,0,0,100531
40000,0,200,20000,0,60000,0,0,100532
40000,0,200,20000,0,60000,0,0,100533
20000,0,50,5000,0,30000,0,0,100611
20000,0,50,5000,0,30000,0,0,100612
20000,0,50,5000,0,30000,0,0,100613
30000,0,125,12500,0,45000,0,0,100621
30000,0,125,12500,0,45000,0,0,100622
30000,0,125,12500,0,45000,0,0,100623
40000,0,200,20000,0,60000,0,0,100631
40000,0,200,20000,0,60000,0,0,100632
40000,0,200,20000,0,60000,0,0,100633
20000,0,50,5000,0,30000,0,0,100711
20000,0,50,5000,0,30000,0,0,100712
20000,0,50,5000,0,30000,0,0,100713
30000,0,125,12500,0,45000,0,0,100721
30000,0,125,12500,0,45000,0,0,100722
30000,0,125,12500,0,45000,0,0,100723
40000,0,200,20000,0,60000,0,0,100731
40000,0,200,20000,0,60000,0,0,100732
40000,0,200,20000,0,60000,0,0,100733
20000,0,50,5000,0,30000,0,0,100811
20000,0,50,5000,0,30000,0,0,100812
20000,0,50,5000,0,30000,0,0,100813
30000,0,125,12500,0,45000,0,0,100821
30000,0,125,12500,0,45000,0,0,100822
30000,0,125,12500,0,45000,0,0,100823
40000,0,200,20000,0,60000,0,0,100831
40000,0,200,20000,0,60000,0,0,100832
40000,0,200,20000,0,60000,0,0,100833
20000,0,50,5000,0,30000,0,0,100911
20000,0,50,5000,0,30000,0,0,100912
20000,0,50,5000,0,30000,0,0,100913
30000,0,125,12500,0,45000,0,0,100921
30000,0,125,12500,0,45000,0,0,100922
30000,0,125,12500,0,45000,0,0,100923
40000,0,200,20000,0,60000,0,0,100931
40000,0,200,20000,0,60000,0,0,100932
40000,0,200,20000,0,60000,0,0,100933
