drop_reward_group_id,clear_reward_group_id,limit_time,area_level,nemesis_id,release_time,wave_group_id,quest_id
376010001,276010001,90,1,1,"2025/11/18 14:00:00",760100011,76010001
376010002,276010002,90,2,1,"2025/11/18 14:00:00",760100021,76010002
376010003,276010003,90,3,1,"2025/11/18 14:00:00",760100031,76010003
376010004,276010004,90,4,1,"2025/11/18 14:00:00",760100041,76010004
376010005,276010005,90,5,1,"2025/11/18 14:00:00",760100051,76010005
376020001,276020001,90,1,2,"2025/11/18 14:00:00",760200011,76020001
376020002,276020002,90,2,2,"2025/11/18 14:00:00",760200021,76020002
376020003,276020003,90,3,2,"2025/11/18 14:00:00",760200031,76020003
376020004,276020004,90,4,2,"2025/11/18 14:00:00",760200041,76020004
376020005,276020005,90,5,2,"2025/11/18 14:00:00",760200051,76020005
