param_03,command_type,param_01,param_04,param_02,param_08,drama_id,param_06,param_05,param_07,command_id
70,5,10,-165,1,dsb_idle_normal,1010801,2,-345,0,1010801001
70,5,4,165,2,dsb_idle_worry,1010801,2,-345,1,1010801002
70,5,10,-215,99,dsb_lago,1010801,2,-350,0,1010801003
0,31,1,0,1,"",1010801,1,1,"",1010801004
0,31,3,0,3,"",1010801,1,1,"",1010801005
0,31,4,0,4,"",1010801,1,1,"",1010801006
0,31,14,0,10,"",1010801,1,1,"",1010801007
0,31,24,0,20,"",1010801,1,1,"",1010801008
155,31,34,-168,30,"",1010801,1,1,"",1010801009
-155,31,34,-168,31,"",1010801,1,1,"",1010801010
-222,31,42,-175,32,"",1010801,1,1,"",1010801011
0,31,40,0,40,"",1010801,0,1,"",1010801012
"",13,1,"",170,"",1010801,"","","",1010801013
"",13,2,"",170,"",1010801,"","","",1010801014
"",91,0,"","","",1010801,"","","",1010801015
1,23,se_10044200,"",se_10044200_cmn_amb,"",1010801,"","","",1010801016
0,23,se_10044200,"",se_10044200_cmn_steam,"",1010801,"","","",1010801017
"",93,6,"",0,"",1010801,"","","",1010801018
1,23,se_10044200,"",se_10044200_hotspring_04,"",1010801,"","","",1010801019
"",93,1.5,"",0,"",1010801,"","","",1010801020
1,3,2,"",dsb_talk_anger_Ex8,"",1010801,0.5,"","",1010801021
0,21,vo_dsb_1010801,0,vo_dsb_1001,"",1010801,"","","",1010801022
10,11,2,1,"뜨, 뜨거워욧~!!\n여기 물 온도는 이상해입니다……\n어떻게 된 겁니까, 보스!?",0.2,1010801,0,1,0,1010801023
"",91,0,"","","",1010801,"","","",1010801024
1,3,2,"",dsb_idle_worry,"",1010801,0.5,"","",1010801025
1,3,1,"",dsb_talk_worry_Ex3,"",1010801,0.5,"","",1010801026
0,21,vo_dsb_1010801,0,vo_dsb_1002,"",1010801,"","","",1010801027
10,11,1,1,"지금은 보스가 아니라\n젊은 여주인이라고 불러줬으면 좋겠는데~?",0.2,1010801,0,1,0,1010801028
"",91,0,"","","",1010801,"","","",1010801029
1,3,1,"",dsb_idle_normal,"",1010801,0.5,"","",1010801030
0,3,2,dsb_talk_doya_sing_loop,dsb_talk_doya_sing,"",1010801,0.5,1,0.5,1010801031
0,21,vo_dsb_1010801,0,vo_dsb_1003,"",1010801,"","","",1010801032
10,11,2,1,"켁.\n뭐~가 젊은 여주인입니까……\n근성이 삐뚤어진 할망구 여주인인 주제에.",0.2,1010801,0,1,0,1010801033
"",91,0,"","","",1010801,"","","",1010801034
1,3,2,"",dsb_idle_doya_blink,"",1010801,0.5,"","",1010801035
1,3,1,"",dsb_talk_sad2_talkjoy2,"",1010801,0.5,"","",1010801036
0,21,vo_dsb_1010801,0,vo_dsb_1004,"",1010801,"","","",1010801037
10,11,1,1,"이노리……\n지금 무슨 말 했니?",0.2,1010801,0,1,0,1010801038
"",91,0,"","","",1010801,"","","",1010801039
1,3,1,"",dsb_idle_normal,"",1010801,0.5,"","",1010801040
0,3,2,dsb_talk_surprise1_2,dsb_surprise_inori,"",1010801,0.2,1,0.5,1010801041
0,21,vo_dsb_1010801,0,vo_dsb_1005,"",1010801,"","","",1010801042
