start_time,login_bonus_type,name,adv_id,end_time,login_bonus_id
"2021-08-27 05:00:00",9,"히요리 「생일 스토리」",1001500,"2021-08-28 04:59:59",9100101
"2022-08-27 05:00:00",9,"히요리 「생일 스토리」",1001501,"2022/08/28 4:59:59",9100102
"2023-08-27 05:00:00",9,"히요리 「생일 스토리」",19414,"2023/08/28 4:59:59",9100103
"2021-04-05 05:00:00",9,"유이 「생일 스토리」",1002500,"2021-04-06 04:59:59",9100201
"2022-04-05 05:00:00",9,"유이 「생일 스토리」",1002501,"2022-04-06 04:59:59",9100202
"2023-04-05 05:00:00",9,"유이 「생일 스토리」",5014,"2023-04-06 04:59:59",9100203
"2022-01-12 05:00:00",9,"레이 「생일 스토리」",1003500,"2022-01-13 04:59:59",9100301
"2023-01-12 05:00:00",9,"레이 「생일 스토리」",1003501,"2023/01/13 4:59:59",9100302
"2024-01-12 05:00:00",9,"레이 「생일 스토리」",33214,"2024/01/13 4:59:59",9100303
"2021-08-10 05:00:00",9,"미소기 「생일 스토리」",1004500,"2021-08-11 04:59:59",9100401
"2022-08-10 05:00:00",9,"미소기 「생일 스토리」",1004501,"2022/08/11 4:59:59",9100402
"2023-08-10 05:00:00",9,"미소기 「생일 스토리」",17714,"2023/08/11 4:59:59",9100403
"2021-11-25 05:00:00",9,"마츠리 「생일 스토리」",1005500,"2021-11-26 04:59:59",9100501
"2022-11-25 05:00:00",9,"마츠리 「생일 스토리」",1005501,"2022/11/26 4:59:59",9100502
"2023-11-25 05:00:00",9,"마츠리 「생일 스토리」",28414,"2023/11/26 4:59:59",9100503
"2021-11-22 05:00:00",9,"요리&아카리 「생일 스토리」",1006500,"2021-11-23 04:59:59",9100601
"2022-11-22 05:00:00",9,"요리&아카리 「생일 스토리」",1006501,"2022-11-23 04:59:59",9100602
"2023-11-22 05:00:00",9,"요리&아카리 「생일 스토리」",28114,"2023-11-23 04:59:59",9100603
"2022-01-23 05:00:00",9,"미야코 「생일 스토리」",1007500,"2022-01-24 04:59:59",9100701
"2023-01-23 05:00:00",9,"미야코 「생일 스토리」",1007501,"2023/01/24 4:59:59",9100702
"2024-01-23 05:00:00",9,"미야코 「생일 스토리」",34314,"2024/01/24 4:59:59",9100703
"2021-10-10 05:00:00",9,"유키 「생일 스토리」",1008500,"2021-10-11 04:59:59",9100801
"2022-10-10 05:00:00",9,"유키 「생일 스토리」",1008501,"2022/10/11 4:59:59",9100802
"2023-10-10 05:00:00",9,"유키 「생일 스토리」",23814,"2023/10/11 4:59:59",9100803
"2021-07-05 05:00:00",9,"안나 「생일 스토리」",1009500,"2021-07-06 04:59:59",9100901
"2022-07-05 05:00:00",9,"안나 「생일 스토리」",1009501,"2022/07/06 4:59:59",9100902
"2023-07-05 05:00:00",9,"안나 「생일 스토리」",14114,"2023/07/06 4:59:59",9100903
"2021-09-22 05:00:00",9,"마호 「생일 스토리」",1010500,"2021-09-23 04:59:59",9101001
"2022/09/22 5:00:00",9,"마호 「생일 스토리」",1010501,"2022/09/23 4:59:59",9101002
"2023/09/22 5:00:00",9,"마호 「생일 스토리」",22014,"2023/09/23 4:59:59",9101003
"2021-08-25 05:00:00",9,"리노 「생일 스토리」",1011500,"2021-08-26 04:59:59",9101101
"2022-08-25 05:00:00",9,"리노 「생일 스토리」",1011501,"2022/08/26 4:59:59",9101102
"2023-08-25 05:00:00",9,"리노 「생일 스토리」",19214,"2023/08/26 4:59:59",9101103
"2021-12-24 05:00:00",9,"하츠네 「생일 스토리」",1012500,"2021-12-25 04:59:59",9101201
"2022-12-24 05:00:00",9,"하츠네 「생일 스토리」",1012501,"2022/12/25 4:59:59",9101202
"2023-12-24 05:00:00",9,"하츠네 「생일 스토리」",31314,"2023/12/25 4:59:59",9101203
"2021-08-21 05:00:00",9,"나나카 「생일 스토리」",1013500,"2021-08-22 04:59:59",9101301
"2022-08-21 05:00:00",9,"나나카 「생일 스토리」",1013501,"2022/08/22 4:59:59",9101302
"2023-08-21 05:00:00",9,"나나카 「생일 스토리」",18814,"2023/08/22 4:59:59",9101303
"2021-11-03 05:00:00",9,"카스미 「생일 스토리」",1014500,"2021-11-04 04:59:59",9101401
"2022-11-03 05:00:00",9,"카스미 「생일 스토리」",1014501,"2022-11-04 04:59:59",9101402
"2023-11-03 05:00:00",9,"카스미 「생일 스토리」",26224,"2023-11-04 04:59:59",9101403
"2021-09-05 05:00:00",9,"미사토 「생일 스토리」",1015500,"2021-09-06 04:59:59",9101501
"2022/09/05 5:00:00",9,"미사토 「생일 스토리」",1015501,"2022/09/06 4:59:59",9101502
"2023/09/05 5:00:00",9,"미사토 「생일 스토리」",20314,"2023/09/06 4:59:59",9101503
"2021-04-10 05:00:00",9,"스즈나 「생일 스토리」",1016500,"2021-04-11 04:59:59",9101601
"2022-04-10 05:00:00",9,"스즈나 「생일 스토리」",1016501,"2022-04-11 04:59:59",9101602
"2023-04-10 05:00:00",9,"스즈나 「생일 스토리」",5514,"2023-04-11 04:59:59",9101603
"2021-07-07 05:00:00",9,"카오리 「생일 스토리」",1017500,"2021-07-08 04:59:59",9101701
"2022-07-07 05:00:00",9,"카오리 「생일 스토리」",1017501,"2022/07/08 4:59:59",9101702
"2023-07-07 05:00:00",9,"카오리 「생일 스토리」",14314,"2023/07/08 4:59:59",9101703
"2021-08-14 05:00:00",9,"이오 「생일 스토리」",1018500,"2021-08-15 04:59:59",9101801
"2022-08-14 05:00:00",9,"이오 「생일 스토리」",1018501,"2022/08/15 4:59:59",9101802
"2023-08-14 05:00:00",9,"이오 「생일 스토리」",18114,"2023/08/15 4:59:59",9101803
"2021-04-03 05:00:00",9,"미미 「생일 스토리」",1020500,"2021-04-04 04:59:59",9102001
"2022-04-03 05:00:00",9,"미미 「생일 스토리」",1020501,"2022-04-04 04:59:59",9102002
"2023-04-03 05:00:00",9,"미미 「생일 스토리」",4814,"2023-04-04 04:59:59",9102003
"2021-06-09 05:00:00",9,"쿠루미 「생일 스토리」",1021500,"2021-06-10 04:59:59",9102101
"2022-06-09 05:00:00",9,"쿠루미 「생일 스토리」",1021501,"2022-06-10 04:59:59",9102102
"2023-06-09 05:00:00",9,"쿠루미 「생일 스토리」",11514,"2023-06-10 04:59:59",9102103
"2021-05-10 05:00:00",9,"아야네 「생일 스토리」",1023500,"2021-05-11 04:59:59",9102301
"2022-05-10 05:00:00",9,"아야네 「생일 스토리」",1023501,"2022-05-11 04:59:59",9102302
"2023-05-10 05:00:00",9,"아야네 「생일 스토리」",8514,"2023-05-11 04:59:59",9102303
"2021-12-12 05:00:00",9,"스즈메 「생일 스토리」",1025500,"2021-12-13 04:59:59",9102501
"2022-12-12 05:00:00",9,"스즈메 「생일 스토리」",1025501,"2022/12/13 4:59:59",9102502
"2023-12-12 05:00:00",9,"스즈메 「생일 스토리」",30114,"2023/12/13 4:59:59",9102503
"2022-01-01 05:00:00",9,"린 「생일 스토리」",1026500,"2022-01-02 04:59:59",9102601
"2023-01-01 05:00:00",9,"린 「생일 스토리」",1026501,"2023-01-02 04:59:59",9102602
"2024-01-01 05:00:00",9,"린 「생일 스토리」",32114,"2024-01-02 04:59:59",9102603
"2021-07-30 05:00:00",9,"에리코 「생일 스토리」",1027500,"2021-07-31 04:59:59",9102701
"2022-07-30 05:00:00",9,"에리코 「생일 스토리」",1027501,"2022/07/31 4:59:59",9102702
"2023-07-30 05:00:00",9,"에리코 「생일 스토리」",16614,"2023/07/31 4:59:59",9102703
"2021-10-04 05:00:00",9,"사렌 「생일 스토리」",1028500,"2021-10-05 04:59:59",9102801
"2022-10-04 05:00:00",9,"사렌 「생일 스토리」",1028501,"2022/10/05 4:59:59",9102802
"2023-10-04 05:00:00",9,"사렌 「생일 스토리」",23214,"2023/10/05 4:59:59",9102803
