gacha_bonus_id,id,unit_id,end_time,exchange_id,pickup_gacha_id,start_time,rarity
0,1,106101,"2020/04/01 14:59:59",27,0,"2020/03/18 15:00:00",3
0,2,101401,"2020/04/16 14:59:59",28,0,"2020/04/01 15:00:00",3
0,3,105501,"2020/04/29 14:59:59",29,0,"2020/04/16 15:00:00",1
0,4,106301,"2020/04/29 14:59:59",29,0,"2020/04/16 15:00:00",3
0,5,101501,"2020/04/29 14:59:59",29,0,"2020/04/16 15:00:00",2
0,6,103601,"2020/05/13 14:59:59",30,0,"2020/04/29 15:00:00",3
0,7,104901,"2020/05/13 14:59:59",30,0,"2020/04/29 15:00:00",3
0,8,104401,"2020/05/13 14:59:59",30,0,"2020/04/29 15:00:00",3
0,9,100701,"2020/05/13 14:59:59",30,0,"2020/04/29 15:00:00",2
0,10,104601,"2020/05/13 14:59:59",30,0,"2020/04/29 15:00:00",2
0,11,102701,"2020/05/13 14:59:59",30,0,"2020/04/29 15:00:00",2
0,12,100301,"2020/05/13 14:59:59",30,0,"2020/04/29 15:00:00",1
0,13,103401,"2020/05/13 14:59:59",30,0,"2020/04/29 15:00:00",1
0,14,100101,"2020/05/13 14:59:59",30,0,"2020/04/29 15:00:00",1
0,15,109201,"2020/05/28 14:59:59",31,0,"2020/05/13 15:00:00",3
0,16,109401,"2020/06/02 14:59:59",32,0,"2020/05/28 15:00:00",3
0,17,109501,"2020/06/09 14:59:59",33,0,"2020/06/02 15:00:00",3
0,18,107101,"2020/06/09 14:59:59",33,0,"2020/06/02 15:00:00",3
0,19,109501,"2020/06/15 14:59:59",34,0,"2020/06/09 15:00:00",3
0,20,103601,"2020/06/17 14:59:59",35,0,"2020/06/15 15:00:00",3
0,21,102001,"2020/06/17 14:59:59",35,0,"2020/06/15 15:00:00",2
0,22,100401,"2020/06/17 14:59:59",35,0,"2020/06/15 15:00:00",1
0,23,109601,"2020/06/30 14:59:59",36,0,"2020/06/17 15:00:00",3
0,24,109701,"2020/07/15 14:59:59",37,0,"2020/06/30 15:00:00",3
0,25,104401,"2020/07/17 14:59:59",38,0,"2020/07/15 15:00:00",3
0,26,101001,"2020/07/17 14:59:59",38,0,"2020/07/15 15:00:00",3
0,27,101701,"2020/07/17 14:59:59",38,0,"2020/07/15 15:00:00",2
0,28,109901,"2020/07/30 14:59:59",39,0,"2020/07/17 15:00:00",3
0,29,110001,"2020/08/13 14:59:59",40,0,"2020/07/30 15:00:00",3
0,30,107501,"2020/08/18 14:59:59",41,0,"2020/08/13 15:00:00",3
0,31,107801,"2020/08/18 14:59:59",41,0,"2020/08/13 15:00:00",3
0,32,110301,"2020/08/31 14:59:59",42,0,"2020/08/18 15:00:00",3
0,33,110401,"2020/09/10 14:59:59",43,0,"2020/08/31 15:00:00",3
0,34,107701,"2020/09/14 14:59:59",44,0,"2020/09/10 15:00:00",3
0,35,107901,"2020/09/14 14:59:59",44,0,"2020/09/10 15:00:00",3
0,36,110601,"2020/09/25 14:59:59",45,0,"2020/09/14 15:00:00",3
0,37,104401,"2020/09/29 14:59:59",46,0,"2020/09/25 15:00:00",3
0,38,100601,"2020/09/29 14:59:59",46,0,"2020/09/25 15:00:00",2
0,39,100701,"2020/09/29 14:59:59",46,0,"2020/09/25 15:00:00",2
0,40,103101,"2020/09/29 14:59:59",46,0,"2020/09/25 15:00:00",2
0,41,102201,"2020/09/29 14:59:59",46,0,"2020/09/25 15:00:00",1
0,42,107001,"2020/10/02 14:59:59",47,0,"2020/09/29 15:00:00",3
0,43,106101,"2020/10/02 14:59:59",47,0,"2020/09/29 15:00:00",3
0,44,107101,"2020/10/02 14:59:59",47,0,"2020/09/29 15:00:00",3
0,45,110701,"2020/10/12 14:59:59",48,0,"2020/10/02 15:00:00",3
0,46,105701,"2020/10/15 14:59:59",49,0,"2020/10/12 15:00:00",3
