enemy_local_position_y_1,enemy_position_x_4,enemy_local_scale_2,background,quest_detail_bg_position,enemy_local_scale_3,reward_image_5,enemy_local_scale_1,enemy_position_x_1,quest_id,reward_image_1,quest_detail_bg_id,enemy_local_position_y_3,enemy_position_x_3,enemy_local_scale_4,enemy_position_x_5,enemy_local_position_y_4,enemy_position_x_2,reward_image_4,enemy_local_scale_5,enemy_local_position_y_5,enemy_local_position_y_2,wave_bgm_sheet,reward_image_3,wave_bgm,reward_image_2
0,188,0.8,100198,0,0.8,0,0.8,-379,92407010,70001,100198,0,-1,0.8,377,0,-190,0,0.8,0,0,bgm_MC131,99010,bgm_MC131,25021
0,188,0.8,100198,0,0.8,0,0.8,-379,92407020,70001,100198,0,-1,0.8,377,0,-190,0,0.8,0,0,bgm_MC131,99010,bgm_MC131,25021
0,188,0.8,100198,0,0.8,0,0.8,-379,92407030,70001,100198,0,-1,0.8,377,0,-190,0,0.8,0,0,bgm_MC131,99010,bgm_MC131,25021
0,188,0.8,101822,0,0.8,0,0.8,-379,92408010,70001,101822,0,-1,0.8,377,0,-190,0,0.8,0,0,bgm_MC132,99010,bgm_MC132,25021
0,188,0.8,101822,0,0.8,0,0.8,-379,92408020,70001,101822,0,-1,0.8,377,0,-190,0,0.8,0,0,bgm_MC132,99010,bgm_MC132,25021
0,188,0.8,101822,0,0.8,0,0.8,-379,92408030,70001,101822,0,-1,0.8,377,0,-190,0,0.8,0,0,bgm_MC132,99010,bgm_MC132,25021
0,188,0.8,101191,0,0.8,0,0.8,-379,92409010,70003,101191,0,-1,0.8,377,0,-190,0,0.8,0,0,bgm_MC135,99010,bgm_MC135,25021
0,188,0.8,101191,0,0.8,0,0.8,-379,92409020,70003,101191,0,-1,0.8,377,0,-190,0,0.8,0,0,bgm_MC135,99010,bgm_MC135,25021
0,188,0.8,101191,0,0.8,0,0.8,-379,92409030,70003,101191,0,-1,0.8,377,0,-190,0,0.8,0,0,bgm_MC135,99010,bgm_MC135,25021
0,188,0.8,103013,0,0.8,0,0.8,-379,92410010,70004,103013,0,-1,0.8,377,0,-190,0,0.8,0,0,bgm_MC134,99010,bgm_MC134,25021
0,188,0.8,103013,0,0.8,0,0.8,-379,92410020,70004,103013,0,-1,0.8,377,0,-190,0,0.8,0,0,bgm_MC134,99010,bgm_MC134,25021
0,188,0.8,103013,0,0.8,0,0.8,-379,92410030,70004,103013,0,-1,0.8,377,0,-190,0,0.8,0,0,bgm_MC134,99010,bgm_MC134,25021
0,188,0.8,100198,0,0.8,0,0.8,-379,92411010,70005,100198,0,-1,0.8,377,0,-190,0,0.8,0,0,bgm_MC131,99010,bgm_MC131,25021
0,188,0.8,100198,0,0.8,0,0.8,-379,92411020,70005,100198,0,-1,0.8,377,0,-190,0,0.8,0,0,bgm_MC131,99010,bgm_MC131,25021
0,188,0.8,100198,0,0.8,0,0.8,-379,92411030,70005,100198,0,-1,0.8,377,0,-190,0,0.8,0,0,bgm_MC131,99010,bgm_MC131,25021
0,188,0.8,101621,0,0.8,0,0.8,-379,92412010,70006,101621,0,-1,0.8,377,0,-190,0,0.8,0,0,bgm_MC133,99010,bgm_MC133,25021
0,188,0.8,101621,0,0.8,0,0.8,-379,92412020,70006,101621,0,-1,0.8,377,0,-190,0,0.8,0,0,bgm_MC133,99010,bgm_MC133,25021
0,188,0.8,101621,0,0.8,0,0.8,-379,92412030,70006,101621,0,-1,0.8,377,0,-190,0,0.8,0,0,bgm_MC133,99010,bgm_MC133,25021
0,188,0.8,101822,0,0.8,0,0.8,-379,92414010,70008,101822,0,-1,0.8,377,0,-190,0,0.8,0,0,bgm_MC132,99010,bgm_MC132,25021
0,188,0.8,101822,0,0.8,0,0.8,-379,92414020,70008,101822,0,-1,0.8,377,0,-190,0,0.8,0,0,bgm_MC132,99010,bgm_MC132,25021
0,188,0.8,101822,0,0.8,0,0.8,-379,92414030,70008,101822,0,-1,0.8,377,0,-190,0,0.8,0,0,bgm_MC132,99010,bgm_MC132,25021
0,188,0.8,101191,0,0.8,0,0.8,-379,92501010,70007,101191,0,-1,0.8,377,0,-190,0,0.8,0,0,bgm_MC135,99010,bgm_MC135,25021
0,188,0.8,101191,0,0.8,0,0.8,-379,92501020,70007,101191,0,-1,0.8,377,0,-190,0,0.8,0,0,bgm_MC135,99010,bgm_MC135,25021
0,188,0.8,101191,0,0.8,0,0.8,-379,92501030,70007,101191,0,-1,0.8,377,0,-190,0,0.8,0,0,bgm_MC135,99010,bgm_MC135,25021
