reward_image_2,quest_id,camera_size_2,add_treasure_num,stamina,enemy_image_5,wave_bgm_que_id_1,area_id,reward_image_3,camera_size_1,enemy_image_1,enemy_image_4,limit_time,story_id_wavestart_2,story_id_wavestart_1,quest_detail_bg_position,start_time,wave_bgm_sheet_id_3,wave_group_id_2,rank_reward_group,lv_reward_flag,wave_group_id_3,wave_bgm_sheet_id_1,daily_limit,reward_image_4,background_1,end_time,love,position_x,clear_reward_group,quest_name,enemy_image_2,wave_bgm_sheet_id_2,quest_detail_bg_id,story_id_waveend_2,background_3,story_id_waveend_1,reward_image_5,team_exp,unit_exp,wave_bgm_que_id_2,icon_id,story_id_wavestart_3,wave_group_id_1,story_id_waveend_3,position_y,reward_image_1,stamina_start,enemy_image_3,limit_team_level,background_2,wave_bgm_que_id_3,camera_size_3
101281,11001001,0.0,0,6,0,bgm_M06,11001,101581,0.0,101010104,0,90,0,0,0,"2015/12/17 15:00:00",bgm_M06,110010012,211001000,0,110010013,bgm_M06,0,0,100021,"2030/12/31 14:59:59",6,-500,110010011,"주노 평야 1-1",101010103,bgm_M06,100022,0,100023,0,0,8,96,bgm_M06,100050,0,110010011,0,-20,101011,1,101010102,0,100022,bgm_M06,0.0
101521,11001002,0.0,0,8,0,bgm_M06,11001,101551,0.0,101010202,101010202,90,0,0,0,"2015/12/17 15:00:00",bgm_M06,110010022,211001000,0,110010023,bgm_M06,0,0,100061,"2030/12/31 14:59:59",8,-330,110010021,"주노 평야 1-2",101010203,bgm_M06,100062,0,100063,0,0,8,120,bgm_M06,100010,0,110010021,0,30,101251,1,101010203,0,100062,bgm_M06,0.0
101431,11001003,0.0,0,8,0,bgm_M06,11001,101611,0.0,101010304,0,90,0,0,0,"2015/12/17 15:00:00",bgm_M06,110010032,211001000,0,110010033,bgm_M06,0,0,100067,"2030/12/31 14:59:59",8,-220,110010031,"주노 평야 1-3",101010303,bgm_M06,100068,0,100069,0,0,8,120,bgm_M06,100010,0,110010031,0,-100,101161,1,101010303,0,100068,bgm_M06,0.0
101371,11001004,0.0,0,8,0,bgm_M06,11001,101551,0.0,101010404,0,90,0,0,0,"2015/12/17 15:00:00",bgm_M06,110010042,211001000,0,110010043,bgm_M06,0,0,100111,"2030/12/31 14:59:59",8,-135,110010041,"주노 평야 1-4",101010403,bgm_M06,100112,0,100113,0,0,8,120,bgm_M06,100050,0,110010041,0,30,101101,1,101010402,0,100112,bgm_M06,0.0
101521,11001005,0.0,0,8,0,bgm_M06,11001,101011,0.0,101010503,101010505,90,0,0,0,"2015/12/17 15:00:00",bgm_M06,110010052,211001000,0,110010053,bgm_M06,0,0,100072,"2030/12/31 14:59:59",8,-43,110010051,"주노 평야 1-5",101010504,bgm_M06,100073,0,100074,0,0,8,120,bgm_M06,100010,0,110010051,0,-75,101161,1,101010504,0,100073,bgm_M06,0.0
101431,11001006,0.0,0,8,0,bgm_M06,11001,101401,0.0,101010606,0,90,0,0,0,"2015/12/17 15:00:00",bgm_M06,110010062,211001000,0,110010063,bgm_M06,0,0,100111,"2030/12/31 14:59:59",8,100,110010061,"주노 평야 1-6",101010605,bgm_M06,100112,0,100113,0,0,8,120,bgm_M06,100050,0,110010061,0,-101,101071,1,101010601,0,100112,bgm_M06,0.0
101251,11001007,0.0,0,8,0,bgm_M06,11001,101611,0.0,101010706,101010704,90,0,0,0,"2015/12/17 15:00:00",bgm_M06,110010072,211001000,0,110010073,bgm_M06,0,0,100111,"2030/12/31 14:59:59",8,227,110010071,"주노 평야 1-7",101010705,bgm_M06,100112,0,100113,0,0,8,120,bgm_M06,100050,0,110010071,0,-48,101191,1,101010705,0,100112,bgm_M06,0.0
101281,11001008,0.0,0,8,0,bgm_M06,11001,122311,0.0,101010805,0,90,0,0,0,"2015/12/17 15:00:00",bgm_M06,110010082,211001000,0,110010083,bgm_M06,0,0,100077,"2030/12/31 14:59:59",8,188,110010081,"주노 평야 1-8",101010804,bgm_M06,100078,0,100079,0,0,8,120,bgm_M06,100010,0,110010081,0,70,101101,1,101010804,0,100078,bgm_M06,0.0
101551,11001009,0.0,0,8,0,bgm_M06,11001,122371,0.0,101010906,101010904,90,0,0,0,"2015/12/17 15:00:00",bgm_M06,110010092,211001000,0,110010093,bgm_M06,0,0,100014,"2030/12/31 14:59:59",8,360,110010091,"주노 평야 1-9",101010905,bgm_M06,100015,0,100016,0,0,8,120,bgm_M06,100020,0,110010091,0,25,101131,1,101010902,0,100015,bgm_M06,0.0
101401,11001010,0.0,0,8,0,bgm_M17_02,11001,102611,0.0,101011001,0,90,0,0,0,"2015/12/17 15:00:00",bgm_M63,110010102,211001000,0,110010103,bgm_M17,0,0,100357,"2030/12/31 14:59:59",8,455,110010101,"주노 평야 1-10",0,bgm_M17,100358,0,100359,0,0,8,120,bgm_M17_02,100020,9001105,110010101,9001106,-120,101011,1,0,0,100358,bgm_M63,0.0
