unit_search_id,unit_id_1,mural_offset_x,unlock_time,pre_drama_id,post_drama_id,bg_id,date_id,birthday_login_bonus_id,draw_end_to_center,wac_id,effect_id,mural_group_id,idle_drama_id,unit_id_2
1,0,540.0,"2023/03/16 5:00:00",111,112,100,11,0,0,2816,1,0,113,0
2,0,493.0,"2023/03/17 5:00:00",211,212,100,21,0,0,2816,1,0,213,0
3,0,458.0,"2023/03/17 5:00:00",311,312,100,31,0,0,2816,1,0,313,0
4,0,420.0,"2023/03/17 5:00:00",411,412,100,41,0,0,2816,1,0,413,0
5,0,380.0,"2023/03/17 5:00:00",511,512,100,51,0,0,2816,1,0,513,0
6,0,340.0,"2023/03/18 5:00:00",611,612,100,61,0,0,2816,1,0,613,0
7,0,430.0,"2023/03/18 5:00:00",711,712,100,71,0,0,2816,1,1,713,0
8,0,402.0,"2023/03/18 5:00:00",811,812,100,81,0,0,2816,1,1,813,0
9,0,302.0,"2023/03/18 5:00:00",911,912,100,91,0,0,2816,1,1,913,0
10,0,264.0,"2023/03/18 5:00:00",1011,1012,100,101,0,0,2816,1,1,1013,0
11,0,225.0,"2023/03/19 5:00:00",1111,1112,100,111,0,0,2816,1,1,1113,0
12,0,328.0,"2023/03/19 5:00:00",1211,1212,100,121,0,0,2816,1,1,1213,0
13,0,280.0,"2023/03/19 5:00:00",1311,1312,100,131,0,0,2816,1,1,1313,0
14,0,269.0,"2023/03/19 5:00:00",1411,1412,100,141,0,0,2816,1,1,1413,0
15,0,180.0,"2023/03/20 5:00:00",1511,1512,100,151,0,0,2816,1,1,1513,0
16,0,138.0,"2023/03/20 5:00:00",1611,1612,100,161,0,0,2816,1,1,1613,0
17,0,97.0,"2023/03/20 5:00:00",1711,1712,100,171,0,0,2816,1,1,1713,0
18,0,56.0,"2023/03/21 5:00:00",1811,1812,100,181,0,0,2816,1,1,1813,0
19,0,150.0,"2023/03/21 5:00:00",1911,1912,100,191,0,0,2816,1,1,1913,0
20,0,100.0,"2023/03/21 5:00:00",2011,2012,100,201,0,0,2816,1,1,2013,0
21,0,15.0,"2023/03/21 5:00:00",2111,2112,100,211,0,0,2816,1,1,2113,0
22,0,-25.0,"2023/03/22 5:00:00",2211,2212,100,221,0,0,2816,1,1,2213,0
23,0,-66.0,"2023/03/22 5:00:00",2311,2312,100,231,0,0,2816,1,1,2313,0
24,0,-107.0,"2023/03/22 5:00:00",2411,2412,100,241,0,0,2816,1,1,2413,0
25,0,-149.0,"2023/03/22 5:00:00",2511,2512,100,251,0,0,2816,1,1,2513,0
26,0,-188.0,"2023/03/23 5:00:00",2611,2612,100,261,0,0,2816,1,1,2613,0
27,0,-96.0,"2023/03/23 5:00:00",2711,2712,100,271,0,0,2816,1,1,2713,0
28,0,-133.0,"2023/03/23 5:00:00",2811,2812,100,281,0,0,2816,1,1,2813,0
29,0,-174.0,"2023/03/24 5:00:00",2911,2912,100,291,0,0,2816,1,1,2913,0
30,0,-230.0,"2023/03/24 5:00:00",3011,3012,100,301,0,0,2816,1,1,3013,0
31,0,-272.0,"2023/03/24 5:00:00",3111,3112,100,311,0,0,2816,1,1,3113,0
