param_04,param_01,param_03,command_id,param_05,param_07,param_02,command_type,param_08,drama_id,param_06
-421,1,110,11010001,-209.3,0,110931,1,nyx_idle_normal,101,1.35
121.8,1,110,11010002,-182.5,0,104831,1,nyx_idle_normal,101,1.35
227.7,1,110,11010003,-182.5,0,104631,1,nyx_idle_normal,101,1.35
340.3,1,110,11010004,-182.5,1,103231,1,nyx_talk_normal,101,1.35
449.6,1,110,11010005,-182.5,1,103431,1,nyx_idle_normal,101,1.35
-421,2,120,11010006,-209.3,0,2,5,NoItem,101,1.35
0,1,0,11010007,1,"",1,31,"",101,1
0,15,-300,11010008,1,"",3,31,"",101,0
0,15,-300,11010009,1.5,"",4,31,"",101,0
"",bgm_M347,"",11010010,"","",bgm_M347,25,"",101,""
"",2,"",11010011,"","","",93,"",101,""
nyx_101_chieru_loop,2,0,11010012,1,"",nyx_101_chieru_01,3,"",101,0.2
nyx_101_chieru_loop,110931,0,11010013,1,"",nyx_101_chieru_01,3,"",101,0.2
"",110931,10,11010014,"","","치에룬♪\n처음에는 아무튼\n임팩트!",11,"",101,""
"",0.4,"",11010015,"","","",93,"",101,""
"",3,"",11010016,"","",0,32,"",101,""
"",3,"",11010017,"","",1,32,"",101,""
"",11010014,"",11010018,"","","",91,"",101,""
"",110931,10,11010019,"","","강력한 첫 치에루로\n심사위원의 하트를\n거머쥘 아이예요",11,"",101,""
"",1,"",11010020,"","","",93,"",101,""
"",103231,1,11010021,"","",nyx_idle_joy1,3,"",101,0.2
"",104631,1,11010022,"","",nyx_cmn_05,3,"",101,0.2
"",11010019,"",11010023,"","","",91,"",101,""
nyx_101_chieru_loop,2,0,11010024,1,"",nyx_101_chieru_01,3,"",101,0.2
nyx_101_chieru_loop,110931,0,11010025,1,"",nyx_101_chieru_01,3,"",101,0.2
"",110931,7,11010026,"","","치에룬♪\n아니, 아직 더 할 수 있어…\n치에☆루운~!",11,"",101,""
"",0.4,"",11010027,"","","",93,"",101,""
"",3,"",11010028,"","",0,32,"",101,""
"",3,"",11010029,"","",1,32,"",101,""
"",0.6,"",11010030,"","","",93,"",101,""
"",103431,1,11010031,"","",nyx_talk_bitter,3,"",101,0.2
"",104631,1,11010032,"","",nyx_cmn_04,3,"",101,0.2
"",2,"",11010033,"","","",93,"",101,""
nyx_101_chieru_loop,2,0,11010034,1,"",nyx_101_chieru_02,3,"",101,0.2
nyx_101_chieru_loop,110931,0,11010035,1,"",nyx_101_chieru_02,3,"",101,0.2
"",0.4,"",11010036,"","","",93,"",101,""
"",3,"",11010037,"","",0,32,"",101,""
"",4,"",11010038,"","",1,32,"",101,""
"",11010026,"",11010039,"","","",91,"",101,""
"",103431,1,11010040,"","",nyx_idle_bitter,3,"",101,0.2
"",104831,1,11010041,"","",nyx_talk_sad,3,"",101,0.2
"",104831,10,11010042,"","","저, 저기…\n복도 쪽에서\n무슨 소리가 들리지 않아?",11,"",101,""
"",0,"",11010043,"","","",91,"",101,""
"",110931,"",11010044,"","",1,4,"",101,""
"",2,"",11010045,"","",1,4,"",101,""
nyx_101_chieru_loop,2,0,11010046,1,"",nyx_101_chieru_02,3,"",101,0.2
nyx_101_chieru_loop,110931,0,11010047,1,"",nyx_101_chieru_02,3,"",101,0.2
"",104831,1,11010048,"","",nyx_idle_sad,3,"",101,0.2
"",104631,1,11010049,"","",nyx_talk_sad,3,"",101,0.2
"",104631,10,11010050,"","","뭔가 치에루 치에루\n하는 소리가 들린다냥…\n무섭다냥…",11,"",101,""
"",0,"",11010051,"","","",91,"",101,""
"",104631,1,11010052,"","",nyx_idle_sad,3,"",101,0.2
"",103431,1,11010053,"","",nyx_talk_sad,3,"",101,0.2
"",103431,10,11010054,"","","학교의 칠대 불가사의\n같은 걸까…\n지, 집에 가고 싶어…",11,"",101,""
"",0,"",11010055,"","","",91,"",101,""
"",103431,1,11010056,"","",nyx_idle_sad,3,"",101,0.2
"",103231,1,11010057,"","",nyx_talk_joy2,3,"",101,0.2
"",103231,10,11010058,"","","재밌네요!\n뭐가 나올지\n두근거려요!",11,"",101,""
"",0,"",11010059,"","","",91,"",101,""
"",0.4,"",11010060,"","","",93,"",101,""
"",110931,"",11010061,"","",0,4,"",101,""
"",2,"",11010062,"","",0,4,"",101,""
nyx_101_chieru_loop,110931,0,11010063,1,"",nyx_101_chieru_01,3,"",101,0.2
nyx_101_chieru_loop,2,0,11010064,1,"",nyx_101_chieru_01,3,"",101,0.2
"",104831,1,11010065,"","",1,12,"",101,""
nyx_idle_sad,104831,0,11010066,1,0.2,nyx_talk_sad,3,"",101,0.2
"",0.4,"",11010067,"","","",93,"",101,""
"",3,"",11010068,"","",0,32,"",101,""
"",3,"",11010069,"","",1,32,"",101,""
"",1.6,"",11010070,"","","",93,"",101,""
"",104631,1,11010071,"","",15,12,"",101,""
nyx_idle_sad,104631,0,11010072,1,0.2,nyx_talk_sad,3,"",101,0.2
"",3,"",11010073,"","","",93,"",101,""
"",110931,"",11010074,"","",1,4,"",101,""
"",2,"",11010075,"","",1,4,"",101,""
nyx_101_chieru_loop,110931,0,11010076,1,"",nyx_101_chieru_02,3,"",101,0.2
nyx_101_chieru_loop,2,0,11010077,1,"",nyx_101_chieru_02,3,"",101,0.2
"",103231,1,11010078,"","",10,12,"",101,""
nyx_idle_joy1,103231,0,11010079,1,0.2,nyx_talk_joy1,3,"",101,0.2
"",2,"",11010080,"","","",93,"",101,""
"",103431,1,11010081,"","",2,12,"",101,""
nyx_idle_sad,103431,0,11010082,1,0.2,nyx_talk_sad,3,"",101,0.2
"",2.5,"",11010083,"","","",93,"",101,""
"",11010060,"",11010084,"","","",101,"",101,""
-362,1,110,11020001,-209.3,1,110831,1,nyx_102_chloe_01,102,1.35
90,1,110,11020002,-182.5,0,104831,1,nyx_102_mifuyu_01,102,1.35
220,1,110,11020003,-182.5,0,104631,1,nyx_idle_normal,102,1.35
336,1,110,11020004,-182.5,1,103231,1,nyx_talk_normal,102,1.35
457,1,110,11020005,-182.5,1,103431,1,nyx_idle_normal,102,1.35
0,1,0,11020006,1,"",1,31,"",102,1
-362,2,120,11020007,-209.3,0,2,5,NoItem,102,1.35
"",bgm_M347,"",11020008,"","",bgm_M347,25,"",102,""
"",2,"",11020009,"","","",93,"",102,""
