floor_num,dungeon_area_id,enemy_name
6,32001,"일렉트로 기가스"
7,32001,"괴란의 암흑기사"
8,32001,"라이라이"
9,32001,"니들 크리퍼"
10,32001,"백양・흑월의 수호상"
6,32002,"일렉트로 기가스"
7,32002,"괴란의 암흑기사"
8,32002,"라이라이"
9,32002,"니들 크리퍼"
10,32002,"백양・흑월의 수호상"
6,32003,"하이 가르그"
7,32003,"커스 올램"
8,32003,"와일드 그리핀"
9,32003,"쟈칼 시프"
10,32003,"백양・흑월의 수호상"
6,32004,"마스터 우끼끼"
7,32004,"킬링 오르카"
8,32004,"랜드 슬로우스"
9,32004,"매드 베어"
10,32004,"라스 드래곤"
6,32005,"이와노즈치"
7,32005,"호수 기린"
8,32005,"와이번"
9,32005,"마담 프리즘"
10,32005,"라스 드래곤"
6,32006,"로드 이블리"
7,32006,"홍극조"
8,32006,"라이라이"
9,32006,"오크 치프"
10,32006,"라스 드래곤"
6,32007,"일렉트로 기가스"
7,32007,"크리스탈 골렘"
8,32007,"랜드 슬로우스"
9,32007,"소드 코브라"
10,32007,"울티마 가디언"
6,32008,"마스터 우끼끼"
7,32008,"커스 올램"
8,32008,"고블린 라이더"
9,32008,"라이덴"
10,32008,"울티마 가디언"
6,32009,"이와노즈치"
7,32009,"홍극조"
8,32009,"와이번"
9,32009,"트라이 로커"
10,32009,"울티마 가디언"
6,32010,"마스터 우끼끼"
7,32010,"고블린 마이스터"
8,32010,"프로스트 하운드"
9,32010,"스카이 왈큐레"
10,32010,"고블린 로드"
6,32011,"괴란의 암흑기사"
7,32011,"상처 난 문어"
8,32011,"고블린 그레이트"
9,32011,"타이탄 터틀"
10,32011,"고블린 로드"
6,32012,"하이 가르그"
7,32012,"커스 올램"
8,32012,"와일드 그리핀"
9,32012,"옵시디언 와이번"
10,32012,"고블린 로드"
