id,maximum_chunk_size_1,maximum_chunk_size_loop_3,gacha_id,maximum_chunk_size_3,end_time,introduction_number,maximum_chunk_size_2,start_time,maximum_chunk_size_loop_1,maximum_chunk_size_loop_2
1,380000,0,30001,0,"2019/03/27 14:59:59",1,0,"2015/04/01 15:00:00",380000,0
2,380000,0,30002,0,"2019/04/19 14:59:59",1,0,"2019/03/27 15:00:00",380000,0
3,380000,0,30003,0,"2019/05/02 14:59:59",1,0,"2019/04/19 15:00:00",380000,0
4,380000,0,30004,0,"2019/05/16 14:59:59",1,0,"2019/05/02 15:00:00",380000,0
5,380000,0,30005,0,"2019/05/29 14:59:59",1,0,"2019/05/16 15:00:00",380000,0
6,380000,0,30006,0,"2019/06/13 14:59:59",1,0,"2019/05/29 15:00:00",380000,0
7,380000,0,30007,0,"2019/06/27 14:59:59",1,0,"2019/06/13 15:00:00",380000,0
8,380000,0,30008,0,"2019/07/16 14:59:59",1,0,"2019/06/27 15:00:00",380000,0
9,380000,0,30009,0,"2019/07/30 14:59:59",1,0,"2019/07/16 15:00:00",380000,0
10,380000,0,30010,0,"2019/08/14 14:59:59",1,0,"2019/07/30 15:00:00",380000,0
11,380000,0,30011,0,"2019/08/29 14:59:59",1,0,"2019/08/14 15:00:00",380000,0
12,380000,0,30012,0,"2019/09/17 14:59:59",1,0,"2019/08/29 15:00:00",380000,0
13,380000,0,30014,0,"2019/10/01 15:00:59",1,0,"2019/10/01 15:00:00",380000,0
14,380000,0,40001,0,"2019/10/01 14:59:59",1,0,"2019/09/17 15:00:00",380000,0
15,380000,0,30014,0,"2019/10/15 14:59:59",1,0,"2019/10/01 15:00:00",380000,0
16,380000,0,30015,0,"2019/10/30 14:59:59",1,0,"2019/10/15 15:00:00",380000,0
17,380000,0,30016,0,"2019/11/13 14:59:59",1,0,"2019/10/30 15:00:00",380000,0
18,380000,0,30017,0,"2019/11/28 14:59:59",1,0,"2019/11/13 15:00:00",380000,0
19,380000,0,50018,0,"2019/12/03 14:59:59",2,380000,"2019/11/28 15:00:00",0,380000
20,380000,0,30019,0,"2019/12/17 14:59:59",1,0,"2019/12/03 15:00:00",380000,0
21,380000,0,30020,0,"2019/12/31 14:59:59",1,0,"2019/12/17 15:00:00",380000,0
22,380000,0,30021,0,"2020/01/16 14:59:59",1,0,"2019/12/31 15:00:00",380000,0
23,380000,0,30022,0,"2020/01/30 14:59:59",1,0,"2020/01/16 15:00:00",380000,0
24,380000,0,50023,0,"2020/02/03 14:59:59",2,380000,"2020/01/30 15:00:00",0,380000
25,380000,0,30025,0,"2020/02/27 14:59:59",1,0,"2020/02/13 15:00:00",380000,0
26,380000,0,30026,0,"2020/03/18 14:59:59",1,0,"2020/02/27 15:00:00",380000,0
27,380000,0,50027,0,"2020/04/01 14:59:59",2,380000,"2020/03/18 15:00:00",0,380000
28,380000,0,30028,0,"2020/04/16 14:59:59",1,0,"2020/04/01 15:00:00",380000,0
29,380000,0,30029,0,"2020/04/29 14:59:59",1,0,"2020/04/16 15:00:00",380000,0
30,380000,0,30030,0,"2020/05/13 14:59:59",1,0,"2020/04/29 15:00:00",380000,0
31,380000,0,30031,0,"2020/05/28 14:59:59",1,0,"2020/05/13 15:00:00",380000,0
32,380000,0,30032,0,"2020/06/02 14:59:59",1,0,"2020/05/28 15:00:00",380000,0
33,380000,0,50033,0,"2020/06/09 14:59:59",2,380000,"2020/06/02 15:00:00",0,380000
34,380000,0,30035,0,"2020/06/17 14:59:59",1,0,"2020/06/15 15:00:00",380000,0
35,380000,0,30036,0,"2020/06/30 14:59:59",1,0,"2020/06/17 15:00:00",380000,0
36,380000,0,30037,0,"2020/07/15 14:59:59",1,0,"2020/06/30 15:00:00",380000,0
37,380000,0,30038,0,"2020/07/17 14:59:59",1,0,"2020/07/15 15:00:00",380000,0
38,380000,0,30039,0,"2020/07/30 14:59:59",1,0,"2020/07/17 15:00:00",380000,0
39,380000,0,30040,0,"2020/08/13 14:59:59",1,0,"2020/07/30 15:00:00",380000,0
40,380000,0,30041,0,"2020/08/18 14:59:59",1,0,"2020/08/13 15:00:00",380000,0
41,380000,0,30042,0,"2020/08/31 14:59:59",1,0,"2020/08/18 15:00:00",380000,0
42,380000,0,30043,0,"2020/09/10 14:59:59",1,0,"2020/08/31 15:00:00",380000,0
43,380000,0,30044,0,"2020/09/14 14:59:59",1,0,"2020/09/10 15:00:00",380000,0
44,380000,0,40002,0,"2020/09/25 14:59:59",1,0,"2020/09/14 15:00:00",380000,0
45,380000,0,30046,0,"2020/09/29 14:59:59",1,0,"2020/09/25 15:00:00",380000,0
46,380000,0,50047,0,"2020/10/02 14:59:59",2,380000,"2020/09/29 15:00:00",0,380000
47,380000,0,30048,0,"2020/10/12 14:59:59",1,0,"2020/10/02 15:00:00",380000,0
48,380000,0,30049,0,"2020/10/15 14:59:59",1,0,"2020/10/12 15:00:00",380000,0
49,380000,0,30050,0,"2020/10/28 14:59:59",1,0,"2020/10/15 15:00:00",380000,0
50,380000,0,50051,0,"2020/10/29 14:59:59",2,380000,"2020/10/28 15:00:00",0,380000
51,380000,0,30052,0,"2020/11/11 14:59:59",1,0,"2020/10/29 15:00:00",380000,0
52,380000,0,30053,0,"2020/11/16 14:59:59",1,0,"2020/11/11 15:00:00",380000,0
53,380000,0,30054,0,"2020/11/30 14:59:59",1,0,"2020/11/16 15:00:00",380000,0
54,380000,0,30055,0,"2020/12/11 14:59:59",1,0,"2020/11/30 15:00:00",380000,0
55,380000,0,30056,0,"2020/12/15 14:59:59",1,0,"2020/12/11 15:00:00",380000,0
56,380000,0,30057,0,"2020/12/29 14:59:59",1,0,"2020/12/15 15:00:00",380000,0
57,380000,0,30058,0,"2021/01/11 14:59:59",1,0,"2020/12/29 15:00:00",380000,0
58,380000,0,30059,0,"2021/01/18 14:59:59",1,0,"2021/01/11 15:00:00",380000,0
59,380000,0,30060,0,"2021/01/28 14:59:59",1,0,"2021/01/18 15:00:00",380000,0
60,380000,0,50061,0,"2021/01/31 14:59:59",2,380000,"2021/01/28 15:00:00",0,380000
61,380000,0,30063,0,"2021/02/15 14:59:59",1,0,"2021/02/08 15:00:00",380000,0
62,380000,0,30064,0,"2021/03/02 14:59:59",1,0,"2021/02/15 15:00:00",380000,0
63,380000,0,30065,0,"2021/03/12 14:59:59",1,0,"2021/03/02 15:00:00",380000,0
64,380000,0,30066,0,"2021/03/16 14:59:59",1,0,"2021/03/12 15:00:00",380000,0
65,380000,0,50067,0,"2021/03/26 14:59:59",2,380000,"2021/03/16 15:00:00",0,380000
66,380000,0,30068,0,"2021/03/30 14:59:59",1,0,"2021/03/26 15:00:00",380000,0
67,380000,0,30069,0,"2021/04/12 14:59:59",1,0,"2021/03/30 15:00:00",380000,0
68,380000,0,30070,0,"2021/04/25 14:59:59",1,0,"2021/04/12 15:00:00",380000,0
69,380000,0,30071,0,"2021/04/29 14:59:59",1,0,"2021/04/25 15:00:00",380000,0
70,380000,0,30072,0,"2021/05/11 14:59:59",1,0,"2021/04/29 15:00:00",380000,0
71,380000,0,30073,0,"2021/05/17 14:59:59",1,0,"2021/05/11 15:00:00",380000,0
72,380000,0,30074,0,"2021/05/25 14:59:59",1,0,"2021/05/17 15:00:00",380000,0
73,380000,0,30075,0,"2021/05/31 14:59:59",1,0,"2021/05/25 15:00:00",380000,0
74,380000,0,30076,0,"2021/06/10 14:59:59",1,0,"2021/05/31 15:00:00",380000,0
75,380000,0,30077,0,"2021/06/15 14:59:59",1,0,"2021/06/10 15:00:00",380000,0
76,380000,0,30078,0,"2021/07/01 14:59:59",1,0,"2021/06/15 15:00:00",380000,0
77,380000,0,50079,0,"2021/07/04 14:59:59",2,380000,"2021/07/01 15:00:00",0,380000
78,380000,0,30080,0,"2021/07/12 14:59:59",1,0,"2021/07/04 15:00:00",380000,0
79,380000,0,30081,0,"2021/07/19 14:59:59",1,0,"2021/07/12 15:00:00",380000,0
80,380000,0,30082,0,"2021/07/27 14:59:59",1,0,"2021/07/19 15:00:00",380000,0
81,380000,0,30083,0,"2021/08/02 14:59:59",1,0,"2021/07/27 15:00:00",380000,0
82,380000,0,50084,0,"2021/08/05 14:59:59",2,380000,"2021/08/02 15:00:00",0,380000
83,380000,0,30085,0,"2021/08/12 14:59:59",1,0,"2021/08/05 15:00:00",380000,0
84,380000,0,30086,0,"2021/08/17 14:59:59",1,0,"2021/08/12 15:00:00",380000,0
85,380000,0,30087,0,"2021/08/23 14:59:59",1,0,"2021/08/17 15:00:00",380000,0
86,380000,0,30088,0,"2021/08/28 14:59:59",1,0,"2021/08/23 15:00:00",380000,0
87,380000,0,30089,0,"2021/09/01 14:59:59",1,0,"2021/08/28 15:00:00",380000,0
88,380000,0,30090,0,"2021/09/11 14:59:59",1,0,"2021/09/01 15:00:00",380000,0
89,380000,0,30091,0,"2021/09/16 14:59:59",1,0,"2021/09/11 15:00:00",380000,0
90,380000,0,40003,0,"2021/09/27 14:59:59",1,0,"2021/09/16 15:00:00",380000,0
91,380000,0,30093,0,"2021/10/02 14:59:59",1,0,"2021/09/27 15:00:00",380000,0
92,380000,0,50094,0,"2021/10/05 14:59:59",2,380000,"2021/10/02 15:00:00",0,380000
93,380000,0,30095,0,"2021/10/16 14:59:59",1,0,"2021/10/05 15:00:00",380000,0
94,380000,0,30096,0,"2021/10/21 14:59:59",1,0,"2021/10/16 15:00:00",380000,0
95,380000,0,30097,0,"2021/11/01 14:59:59",1,0,"2021/10/21 15:00:00",380000,0
96,380000,0,30098,0,"2021/11/11 14:59:59",1,0,"2021/11/01 15:00:00",380000,0
97,380000,0,30099,0,"2021/11/16 14:59:59",1,0,"2021/11/11 15:00:00",380000,0
98,380000,0,30100,0,"2021/11/26 14:59:59",1,0,"2021/11/16 15:00:00",380000,0
99,380000,0,30101,0,"2021/12/01 14:59:59",1,0,"2021/11/26 15:00:00",380000,0
100,380000,0,30102,0,"2021/12/10 14:59:59",1,0,"2021/12/01 15:00:00",380000,0
101,380000,0,30103,0,"2021/12/21 14:59:59",1,0,"2021/12/10 15:00:00",380000,0
102,380000,0,30104,0,"2021/12/30 14:59:59",1,0,"2021/12/21 15:00:00",380000,0
103,380000,0,30105,0,"2022/01/09 14:59:59",1,0,"2021/12/30 15:00:00",380000,0
104,380000,0,30106,0,"2022/01/20 14:59:59",1,0,"2022/01/09 15:00:00",380000,0
105,380000,0,30107,0,"2022/01/28 14:59:59",1,0,"2022/01/20 15:00:00",380000,0
106,380000,0,50108,0,"2022/01/31 14:59:59",2,380000,"2022/01/28 15:00:00",0,380000
107,380000,0,30109,0,"2022/02/09 14:59:59",1,0,"2022/01/31 15:00:00",380000,0
108,380000,0,30110,0,"2022/02/14 14:59:59",1,0,"2022/02/09 15:00:00",380000,0
109,380000,0,30111,0,"2022/02/19 14:59:59",1,0,"2022/02/14 15:00:00",380000,0
110,380000,0,30112,0,"2022/02/28 14:59:59",1,0,"2022/02/19 15:00:00",380000,0
111,380000,0,30113,0,"2022/03/10 14:59:59",1,0,"2022/02/28 15:00:00",380000,0
112,380000,0,30114,0,"2022/03/15 14:59:59",1,0,"2022/03/10 15:00:00",380000,0
113,380000,0,40004,0,"2022/03/23 14:59:59",1,0,"2022/03/15 15:00:00",380000,0
114,380000,0,30117,0,"2022/03/28 14:59:59",2,380000,"2022/03/23 15:00:00",380000,380000
115,380000,0,50119,0,"2022/03/31 14:59:59",2,380000,"2022/03/28 15:00:00",0,380000
